# Source: GET https://external-api.kalshi.com/trade-api/v2/series/KXCPI/markets/KXCPI-26AUG-T0.8/candlesticks?start_ts=1784505600&end_ts=1789257600&period_interval=1440
# Market: KXCPI-26AUG-T0.8 "Will CPI rise more than 0.8% in August 2026?" result=no, settlement_ts=2026-09-11T13:28:53.706257Z
# Retrieved 2026-09-19 (UTC). 44 daily bars; bars end at 04:00 UTC (US-market day boundary).
# price_* = executed trade prices; yes_bid_close/yes_ask_close = closing bid/ask quotes for the bar.
# Cross-check: SUM(volume) = 22306.56 == market record volume_fp; last open_interest 15842.78 == market record OI.
end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,volume,open_interest,yes_bid_close,yes_ask_close
1784865600,,,,,,,0.00,0.00,0.01,0.99
1784952000,,,,,,,0.00,0.00,0.01,0.99
1785038400,,,,,,,0.00,0.00,0.01,0.99
1785124800,,,,,,,0.00,0.00,0.01,0.99
1785211200,,,,,,,0.00,0.00,0.01,0.99
1785297600,,,,,,,0.00,0.00,0.01,0.31
1785384000,,,,,,,0.00,0.00,0.02,0.97
1785470400,,,,,,,0.00,0.00,0.02,0.13
1785556800,,,,,,,0.00,0.00,0.01,0.31
1785643200,0.31,0.31,0.31,0.31,0.31,,13.0,13.0,0.01,0.32
1785729600,,,,,,0.31,0.00,13.0,0.01,0.32
1785816000,,,,,,0.31,0.00,13.0,0.01,0.21
1785902400,,,,,,0.31,0.00,13.0,0.02,0.19
1785988800,0.01,0.18,0.01,0.18,0.0656,0.31,375.0,284.0,0.00,0.17
1786075200,,,,,,0.18,0.00,284.0,0.00,0.18
1786507200,0.18,0.18,0.18,0.18,0.18,0.18,27.78,311.78,0.00,0.18
1786593600,,,,,,0.18,0.00,311.78,0.00,0.01
1786766400,0.01,0.1,0.01,0.1,0.0598,0.18,82.78,332.78,0.00,0.1
1786852800,,,,,,0.1,0.00,332.78,0.00,0.18
1786939200,0.18,0.32,0.18,0.32,0.2628,0.1,25.0,337.78,0.00,0.33
1787025600,0.04,0.04,0.04,0.04,0.04,0.32,1.0,338.78,0.00,0.04
1787112000,,,,,,0.04,0.00,338.78,0.00,0.04
1787198400,,,,,,0.04,0.00,338.78,0.00,0.04
1787284800,0.04,0.04,0.04,0.04,0.04,0.04,55.0,338.78,0.00,0.07
1787371200,0.07,0.07,0.07,0.07,0.07,0.04,3.0,341.78,0.00,0.12
1787457600,0.33,0.37,0.2,0.37,0.2971,0.07,209.0,405.78,0.00,0.38
1787544000,0.38,0.38,0.38,0.38,0.38,0.37,45.0,450.78,0.00,0.4
1787630400,0.04,0.13,0.04,0.13,0.0522,0.38,79.0,529.78,0.01,0.11
1787716800,,,,,,0.13,0.00,529.78,0.00,0.4
1787803200,,,,,,0.13,0.00,529.78,0.00,0.1
1787889600,0.04,0.08,0.03,0.08,0.0618,0.13,4572.0,3051.78,0.00,0.08
1787976000,0.02,0.02,0.02,0.02,0.02,0.08,14.0,3065.78,0.00,0.03
1788062400,,,,,,0.02,0.00,3065.78,0.00,0.02
1788235200,0.01,0.01,0.01,0.01,0.01,0.02,83.0,3065.78,0.00,0.03
1788321600,0.02,0.02,0.02,0.02,0.02,0.01,17.0,3082.78,0.00,0.02
1788408000,,,,,,0.02,0.00,3082.78,0.00,0.02
1788580800,0.02,0.02,0.02,0.02,0.02,0.02,470.0,3552.78,0.00,0.02
1788667200,0.02,0.02,0.02,0.02,0.02,0.02,142.0,3694.78,0.00,0.02
1788753600,0.02,0.02,0.02,0.02,0.02,0.02,332.0,4026.78,0.00,0.02
1788840000,0.02,0.09,0.02,0.02,0.0482,0.02,14177.0,14303.78,0.00,0.02
1788926400,0.02,0.02,0.01,0.01,0.0167,0.02,135.0,14393.78,0.00,0.01
1789012800,0.01,0.03,0.01,0.01,0.0106,0.01,1252.0,15645.78,0.00,0.01
1789099200,0.01,0.02,0.01,0.01,0.011,0.01,197.0,15842.78,0.00,0.01
1789185600,,,,,,0.01,0.00,15842.78,0.00,1.0
