end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790049660,0.16,0.16,0.16,0.16,0.12,0.16,50.0,50.0
1790049720,0.16,0.16,0.16,0.16,0.13,0.15,62.0,112.0
1790049780,,,,,0.13,0.16,0.0,112.0
1790049840,,,,,0.13,0.17,0.0,112.0
1790049900,0.16,0.21,0.15,0.15,0.14,0.15,1997.3,2109.3
1790049960,,,,,0.14,0.15,0.0,2109.3
1790050020,,,,,0.13,0.14,0.0,2109.3
1790050080,,,,,0.14,0.15,0.0,2109.3
1790050140,,,,,0.14,0.15,0.0,2109.3
1790050200,0.15,0.19,0.15,0.16,0.16,0.18,102.5,2209.8
1790050260,,,,,0.17,0.18,0.0,2209.8
1790050320,0.17,0.18,0.17,0.18,0.17,0.18,101.0,2310.8
1790050380,,,,,0.18,0.19,0.0,2310.8
1790050440,0.18,0.18,0.18,0.18,0.18,0.19,1.0,2311.8
1790050500,0.19,0.19,0.19,0.19,0.18,0.2,24.9,2336.7
1790050560,0.18,0.18,0.18,0.18,0.19,0.2,2.0,2337.7
1790050620,0.2,0.2,0.19,0.19,0.17,0.2,291.91,2629.61
1790050680,0.18,0.19,0.18,0.19,0.18,0.19,66.8,2679.41
1790050740,0.18,0.18,0.18,0.18,0.18,0.19,2.0,2679.41
1790050800,,,,,0.19,0.2,0.0,2679.41
1790050860,0.19,0.19,0.19,0.19,0.19,0.2,4.0,2679.41
1790050920,0.2,0.21,0.2,0.21,0.2,0.21,180.31,2859.72
1790050980,0.2,0.2,0.2,0.2,0.2,0.21,30.0,2859.72
1790051040,0.21,0.21,0.21,0.21,0.2,0.21,127.25,2986.97
1790051100,0.21,0.21,0.21,0.21,0.2,0.22,109.51,2991.48
1790051160,0.21,0.21,0.21,0.21,0.2,0.21,225.61,3217.09
1790051220,,,,,0.21,0.23,0.0,3217.09
1790051280,0.22,0.22,0.22,0.22,0.21,0.23,4.31,3221.4
1790051340,0.22,0.23,0.2,0.2,0.2,0.21,52.12,3227.4
1790051400,0.21,0.21,0.21,0.21,0.21,0.22,78.0,3239.96
1790051460,0.23,0.39,0.23,0.24,0.24,0.25,1673.36,4899.76
1790051520,0.24,0.24,0.24,0.24,0.24,0.25,1.0,4899.76
1790051580,0.25,0.25,0.24,0.24,0.24,0.25,12.8,4903.56
1790051640,0.24,0.25,0.24,0.24,0.24,0.25,38.0,4913.56
1790051700,0.24,0.24,0.22,0.22,0.21,0.22,80.89,4914.56
1790051760,,,,,0.24,0.25,0.0,4914.56
1790051820,0.25,0.25,0.25,0.25,0.24,0.25,109.6,5024.16
1790051880,0.25,0.26,0.25,0.26,0.26,0.27,236.65,5043.16
1790051940,0.27,0.27,0.27,0.27,0.27,0.28,100.0,5143.16
1790052000,0.26,0.26,0.26,0.26,0.27,0.29,1.0,5144.16
1790052060,0.29,0.29,0.29,0.29,0.29,0.3,5.0,5149.16
1790052120,,,,,0.27,0.3,0.0,5149.16
1790052180,0.31,0.31,0.31,0.31,0.3,0.31,153.85,5303.01
1790052240,0.31,0.32,0.31,0.32,0.32,0.33,47.78,5350.79
1790052300,0.32,0.32,0.32,0.32,0.3,0.32,102.0,5350.79
1790052360,0.31,0.32,0.29,0.3,0.29,0.32,171.92,5522.71
1790052420,0.29,0.29,0.27,0.29,0.28,0.3,43.13,5511.34
1790052480,0.3,0.3,0.26,0.27,0.28,0.31,134.17,5645.51
1790052540,0.29,0.29,0.27,0.27,0.26,0.27,12.32,5650.23
1790052600,0.26,0.34,0.26,0.31,0.31,0.32,238.2,5805.72
1790052660,0.32,0.32,0.18,0.22,0.2,0.22,360.54,5754.47
1790052720,0.19,0.19,0.19,0.19,0.3,0.34,43.0,5711.47
1790052780,0.34,0.43,0.34,0.43,0.42,0.43,341.62,5535.16
1790052840,0.4,0.44,0.36,0.44,0.39,0.43,248.14,5700.88
1790052900,0.38,0.43,0.33,0.43,0.39,0.43,383.24,5576.86
1790052960,0.43,0.57,0.15,0.15,0.14,0.19,1152.44,5674.25
1790053020,0.17,0.2,0.1,0.1,0.1,0.16,415.24,5580.87
1790053080,0.1,0.14,0.01,0.06,0.02,0.05,1818.25,4599.3
1790053140,0.05,0.05,0.01,0.01,0.0,0.01,78.08,4671.24
1790053260,,,,,0.0,1.0,0.0,4671.24
