end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790181960,0.51,0.63,0.41,0.48,0.48,0.49,159244.27,92467.07
1790182020,0.49,0.52,0.31,0.32,0.31,0.32,118165.25,162076.4
1790182080,0.32,0.34,0.24,0.26,0.25,0.26,124055.15,231824.67
1790182140,0.26,0.26,0.14,0.16,0.15,0.16,95170.68,269928.01
1790182200,0.15,0.16,0.08,0.11,0.1,0.11,128496.68,323041.98
1790182260,0.1,0.15,0.055,0.12,0.11,0.12,147259.59,352851.3
1790182320,0.12,0.15,0.044,0.073,0.073,0.074,153175.17,371874.85
1790182380,0.073,0.11,0.056,0.063,0.063,0.064,148522.19,423100.55
1790182440,0.063,0.09,0.022,0.085,0.084,0.085,230524.21,441480.94
1790182500,0.085,0.11,0.037,0.06,0.059,0.06,153017.87,479057.61
1790182560,0.059,0.07,0.016,0.026,0.025,0.026,135806.68,513796.89
1790182620,0.026,0.05,0.011,0.05,0.049,0.05,141905.6,530961.77
1790182680,0.05,0.16,0.01,0.012,0.01,0.012,251352.69,549768.06
1790182740,0.012,0.051,0.001,0.002,0.001,0.002,438847.35,629838.01
1790182800,0.002,0.002,0.001,0.001,0.0,0.001,400235.9,946246.61
1790182860,,,,,0.0,1.0,0.0,946246.61
