end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790262060,0.52,0.58,0.38,0.55,0.57,0.58,5170.11,3713.67
1790262120,0.57,0.72,0.57,0.65,0.64,0.65,3746.99,6072.21
1790262180,0.64,0.67,0.4,0.4,0.39,0.4,2693.13,6389.27
1790262240,0.4,0.63,0.4,0.61,0.62,0.63,4872.24,7482.53
1790262300,0.63,0.8,0.62,0.74,0.74,0.75,6083.71,9885.73
1790262360,0.74,0.85,0.73,0.76,0.75,0.76,4056.97,11483.71
1790262420,0.76,0.9,0.76,0.88,0.88,0.89,4258.13,12788.06
1790262480,0.88,0.9,0.82,0.85,0.85,0.86,5112.01,15795.62
1790262540,0.85,0.947,0.84,0.927,0.927,0.928,4984.24,17542.57
1790262600,0.928,0.945,0.89,0.904,0.91,0.913,2863.58,18377.47
1790262660,0.912,0.97,0.87,0.87,0.85,0.87,8930.17,20679.31
1790262720,0.85,0.989,0.84,0.988,0.988,0.989,6853.4,22537.1
1790262780,0.989,0.998,0.971,0.99,0.994,0.995,17624.91,30109.99
1790262840,0.994,0.999,0.99,0.999,0.999,1.0,8703.98,32258.94
1790262900,0.999,0.999,0.999,0.999,0.999,1.0,19390.18,51484.37
1790262960,,,,,0.0,1.0,0.0,51484.37
