end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790330460,0.59,0.69,0.59,0.64,0.64,0.66,6952.15,4972.72
1790330520,0.64,0.65,0.54,0.58,0.57,0.58,7108.22,7576.56
1790330580,0.56,0.63,0.48,0.63,0.61,0.62,6005.34,9879.56
1790330640,0.61,0.64,0.48,0.53,0.52,0.53,4076.77,10958.27
1790330700,0.53,0.66,0.53,0.63,0.61,0.62,4401.06,11835.02
1790330760,0.62,0.89,0.61,0.88,0.88,0.89,12828.59,16741.24
1790330820,0.89,0.9,0.78,0.9,0.89,0.9,6304.08,19281.64
1790330880,0.9,0.917,0.83,0.87,0.86,0.87,11063.6,23605.14
1790330940,0.87,0.984,0.85,0.981,0.977,0.981,28445.86,28894.33
1790331000,0.981,0.987,0.972,0.976,0.976,0.979,8763.63,35007.46
1790331060,0.976,0.982,0.967,0.979,0.973,0.981,7763.38,38651.75
1790331120,0.976,0.99,0.971,0.99,0.989,0.99,20325.77,40653.9
1790331180,0.989,0.997,0.989,0.996,0.996,0.997,16058.76,47151.57
1790331240,0.996,0.999,0.996,0.999,0.999,1.0,16175.13,58258.5
1790331300,0.999,0.999,0.999,0.999,0.999,1.0,4959.84,63169.39
1790331360,,,,,0.0,1.0,0.0,63169.39
