end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789830000,0.15,0.16,0.12,0.16,0.14,0.15,37.58,26.58
1789833600,0.15,0.23,0.15,0.23,0.24,0.25,564.86,585.44
1789837200,0.25,0.42,0.25,0.29,0.27,0.28,708.04,1291.17
1789840800,0.28,0.3,0.27,0.29,0.29,0.32,268.09,1553.21
1789844400,0.3,0.39,0.3,0.36,0.35,0.37,1061.28,2543.41
1789848000,0.36,0.41,0.35,0.35,0.34,0.35,224.7,2669.84
1789851600,0.34,0.34,0.3,0.31,0.3,0.31,168.67,2789.76
1789855200,0.29,0.29,0.27,0.28,0.27,0.28,8.24,2794.0
1789858800,0.26,0.28,0.22,0.28,0.26,0.28,1081.13,3653.13
1789862400,0.26,0.3,0.21,0.26,0.26,0.27,557.09,4114.76
1789866000,0.27,0.3,0.23,0.23,0.21,0.23,477.81,4349.61
1789869600,0.23,0.3,0.23,0.29,0.29,0.3,1639.39,5299.49
1789873200,0.3,0.33,0.3,0.33,0.32,0.33,153.02,5408.51
1789876800,0.33,0.37,0.27,0.34,0.34,0.35,1167.06,6102.65
1789880400,0.34,0.37,0.32,0.33,0.33,0.34,766.82,6645.1
1789884000,0.34,0.35,0.3,0.33,0.32,0.33,1006.02,7314.57
1789887600,0.33,0.39,0.33,0.36,0.36,0.37,791.23,7982.57
1789891200,0.36,0.37,0.29,0.32,0.31,0.32,1486.76,9109.1
1789894800,0.32,0.4,0.28,0.35,0.34,0.35,2025.9,10786.94
1789898400,0.34,0.39,0.3,0.33,0.32,0.33,524.65,11110.49
1789902000,0.33,0.41,0.27,0.39,0.39,0.4,2097.38,11969.33
1789905600,0.4,0.41,0.28,0.3,0.29,0.3,1277.6,12448.54
1789909200,0.3,0.46,0.27,0.27,0.27,0.28,1311.18,13296.6
1789912800,0.28,0.3,0.26,0.29,0.28,0.29,369.82,13591.64
1789916400,0.28,0.29,0.21,0.22,0.22,0.23,1069.84,14075.04
1789920000,0.23,0.23,0.16,0.16,0.15,0.16,989.37,14645.4
1789923600,0.16,0.17,0.1,0.15,0.14,0.15,8614.15,22258.82
1789927200,0.15,0.32,0.15,0.32,0.31,0.32,7420.77,23463.08
1789930800,0.31,0.35,0.07,0.09,0.08,0.09,16106.92,26737.74
1789934400,0.08,0.11,0.01,0.01,0.0,0.01,54390.97,73881.71
1789938000,0.01,0.01,0.01,0.01,0.0,0.01,965.6,74828.72
1789941600,0.01,0.01,0.01,0.01,0.0,0.01,331.98,75160.7
1789945200,0.01,0.01,0.01,0.01,0.0,0.01,1496.29,76656.99
1789948800,0.01,0.01,0.01,0.01,0.0,0.01,95.55,76750.5
1789952400,0.01,0.01,0.01,0.01,0.0,0.01,724.64,77451.1
1789956000,,,,,0.0,0.01,0.0,77451.1
1789959600,0.01,0.01,0.01,0.01,0.0,0.01,474.12,77925.22
1789963200,0.01,0.01,0.01,0.01,0.0,0.01,146.53,78064.66
1789966800,0.01,0.01,0.01,0.01,0.0,0.01,748.13,78812.79
1789970400,0.01,0.01,0.01,0.01,0.0,0.01,399.0,79211.79
1789974000,0.01,0.01,0.01,0.01,0.0,0.01,10.0,79211.79
1789977600,0.01,0.01,0.01,0.01,0.0,0.01,66.0,79277.79
1789981200,,,,,0.0,1.0,0.0,79277.79
