end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790002800,0.05,0.05,0.05,0.05,0.04,0.05,80.0,80.0
1790006400,0.04,0.05,0.04,0.05,0.05,0.06,42.0,122.0
1790010000,0.05,0.06,0.05,0.06,0.06,0.07,78.14,200.14
1790013600,0.07,0.07,0.07,0.07,0.05,0.06,10.7,210.84
1790017200,0.06,0.07,0.06,0.07,0.06,0.07,252.0,462.84
1790020800,0.07,0.1,0.07,0.08,0.07,0.08,746.62,1043.32
1790024400,0.08,0.15,0.08,0.15,0.14,0.15,561.46,1519.85
1790028000,0.15,0.15,0.12,0.14,0.13,0.14,137.64,1649.49
1790031600,0.13,0.16,0.13,0.13,0.13,0.15,218.78,1799.11
1790035200,0.13,0.16,0.11,0.16,0.14,0.15,556.15,2273.49
1790038800,0.14,0.18,0.11,0.14,0.12,0.13,1415.6,2789.73
1790042400,0.12,0.13,0.09,0.12,0.11,0.13,1255.82,3708.27
1790046000,0.13,0.16,0.11,0.12,0.11,0.13,854.92,4371.19
1790049600,0.12,0.18,0.12,0.16,0.15,0.16,1253.84,5398.57
1790053200,0.15,0.17,0.14,0.17,0.16,0.17,429.22,5682.66
1790056800,0.17,0.19,0.16,0.19,0.17,0.19,1102.94,6474.99
1790060400,0.19,0.2,0.14,0.16,0.17,0.19,782.01,7000.2
1790064000,0.18,0.23,0.17,0.22,0.21,0.22,861.25,7679.44
1790067600,0.22,0.23,0.17,0.19,0.17,0.19,504.89,7875.66
1790071200,0.17,0.2,0.14,0.15,0.14,0.16,694.52,8284.24
1790074800,0.14,0.21,0.14,0.19,0.16,0.18,747.16,8623.23
1790078400,0.16,0.22,0.15,0.2,0.19,0.21,835.92,9063.9
1790082000,0.21,0.28,0.19,0.22,0.22,0.23,1830.31,10564.88
1790085600,0.23,0.33,0.2,0.24,0.23,0.24,3078.62,12766.92
1790089200,0.24,0.29,0.13,0.22,0.21,0.22,3219.3,15105.08
1790092800,0.21,0.28,0.17,0.22,0.2,0.22,1980.47,16434.07
1790096400,0.2,0.28,0.12,0.17,0.18,0.2,5172.0,19180.01
1790100000,0.19,0.22,0.12,0.12,0.12,0.13,4395.74,21661.11
1790103600,0.12,0.22,0.08,0.12,0.12,0.14,9319.56,25424.98
1790107200,0.14,0.2,0.05,0.07,0.05,0.06,13468.75,31832.43
1790110800,0.05,0.06,0.01,0.01,0.0,0.01,12784.28,36496.5
1790114400,0.01,0.01,0.01,0.01,0.0,0.01,8584.09,44834.55
1790118000,0.01,0.01,0.01,0.01,0.0,0.01,2626.96,47461.51
1790121600,0.01,0.01,0.01,0.01,0.0,0.01,1180.46,48632.33
1790125200,0.01,0.01,0.01,0.01,0.0,0.01,800.32,49380.45
1790128800,0.01,0.01,0.01,0.01,0.0,0.01,664.62,50035.07
1790132400,0.01,0.01,0.01,0.01,0.0,0.01,394.04,50409.11
1790136000,0.01,0.01,0.01,0.01,0.0,0.01,813.22,51222.33
1790139600,0.01,0.01,0.01,0.01,0.0,0.01,1229.55,52451.88
1790143200,0.01,0.01,0.01,0.01,0.0,0.01,1167.87,53579.75
1790146800,0.01,0.01,0.01,0.01,0.0,0.01,687.98,54267.73
1790150400,0.01,0.01,0.01,0.01,0.0,0.01,633.59,54901.32
1790154000,,,,,0.0,1.0,0.0,54901.32
