end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790262000,0.14,0.14,0.1,0.11,0.1,0.11,142.55,142.55
1790265600,0.1,0.11,0.1,0.11,0.1,0.11,188.92,317.93
1790269200,0.11,0.14,0.1,0.14,0.13,0.14,155.63,437.1
1790272800,0.13,0.15,0.13,0.14,0.15,0.16,140.93,578.03
1790276400,0.16,0.16,0.15,0.15,0.15,0.16,283.36,861.39
1790280000,0.15,0.16,0.14,0.14,0.14,0.15,62.96,872.21
1790283600,0.15,0.16,0.15,0.15,0.14,0.15,121.44,938.36
1790287200,0.14,0.18,0.14,0.18,0.18,0.19,432.99,1107.39
1790290800,0.18,0.2,0.16,0.2,0.18,0.19,222.67,1275.96
1790294400,0.18,0.22,0.16,0.19,0.19,0.21,270.83,1428.27
1790298000,0.19,0.25,0.19,0.25,0.25,0.26,214.39,1597.26
1790301600,0.25,0.28,0.24,0.25,0.24,0.25,480.36,1953.88
1790305200,0.25,0.25,0.17,0.2,0.19,0.21,174.07,2080.46
1790308800,0.2,0.21,0.18,0.2,0.19,0.2,145.71,2153.61
1790312400,0.19,0.24,0.18,0.24,0.21,0.24,246.85,2342.5
1790316000,0.22,0.26,0.22,0.26,0.25,0.26,291.77,2634.27
1790319600,0.26,0.27,0.19,0.22,0.21,0.22,346.54,2912.68
1790323200,0.22,0.24,0.18,0.19,0.19,0.2,443.21,3072.64
1790326800,0.19,0.2,0.18,0.18,0.17,0.18,122.89,3080.37
1790330400,0.17,0.21,0.16,0.16,0.15,0.16,286.39,3235.68
1790334000,0.16,0.19,0.14,0.18,0.17,0.18,275.9,3449.47
1790337600,0.18,0.32,0.18,0.27,0.26,0.27,733.57,4053.29
1790341200,0.27,0.39,0.25,0.37,0.34,0.37,1587.72,5397.04
1790344800,0.37,0.37,0.25,0.31,0.29,0.31,3187.84,7455.4
1790348400,0.3,0.38,0.16,0.22,0.22,0.24,3852.29,7515.72
1790352000,0.23,0.4,0.21,0.34,0.32,0.34,1407.19,8430.3
1790355600,0.32,0.48,0.23,0.27,0.25,0.31,2950.89,9123.65
1790359200,0.26,0.31,0.01,0.01,0.0,0.01,7289.33,11648.62
1790362800,0.01,0.01,0.01,0.01,0.0,0.01,7188.78,17485.8
1790366400,0.01,0.01,0.01,0.01,0.0,0.01,3033.23,20499.88
1790370000,0.01,0.01,0.01,0.01,0.0,0.01,907.94,21407.82
1790373600,0.01,0.01,0.01,0.01,0.0,0.01,2337.0,23744.82
1790377200,0.01,0.01,0.01,0.01,0.0,0.01,187.02,23931.84
1790380800,0.01,0.01,0.01,0.01,0.0,0.01,4354.43,28286.27
1790384400,0.01,0.01,0.01,0.01,0.0,0.01,467.56,28753.83
1790388000,0.01,0.01,0.01,0.01,0.0,0.01,1050.51,29804.34
1790391600,0.01,0.01,0.01,0.01,0.0,0.01,2435.83,32240.17
1790395200,0.01,0.01,0.01,0.01,0.0,0.01,814.15,33054.32
1790398800,0.01,0.01,0.01,0.01,0.0,0.01,74.0,33128.32
1790402400,,,,,0.0,1.0,0.0,33128.32
