end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789830000,0.55,0.63,0.5,0.62,0.61,0.62,413.8,376.8
1789833600,0.62,0.62,0.61,0.62,0.61,0.62,42.32,418.8
1789837200,0.62,0.64,0.62,0.64,0.64,0.65,78.26,490.8
1789840800,0.65,0.68,0.65,0.66,0.65,0.66,267.4,729.98
1789844400,0.66,0.66,0.65,0.66,0.65,0.66,29.99,759.97
1789848000,0.66,0.74,0.66,0.72,0.72,0.73,698.09,1425.39
1789851600,0.73,0.8,0.73,0.78,0.77,0.78,386.6,1774.86
1789855200,0.77,0.79,0.76,0.76,0.76,0.77,635.72,2347.14
1789858800,0.77,0.77,0.76,0.76,0.76,0.77,84.0,2412.14
1789862400,0.77,0.8,0.77,0.78,0.77,0.78,517.61,2858.49
1789866000,0.77,0.77,0.73,0.73,0.72,0.73,260.01,2900.79
1789869600,0.73,0.73,0.71,0.71,0.71,0.72,21.3,2912.08
1789873200,0.71,0.72,0.7,0.71,0.7,0.71,48.51,2926.25
1789876800,0.69,0.7,0.65,0.7,0.7,0.71,519.38,3250.5
1789880400,0.71,0.92,0.71,0.85,0.85,0.87,2241.22,4993.76
1789884000,0.85,0.88,0.82,0.86,0.83,0.85,289.68,5174.52
1789887600,0.85,0.9,0.82,0.83,0.82,0.83,582.46,5599.33
1789891200,0.82,0.83,0.78,0.8,0.79,0.8,273.87,5789.73
1789894800,0.8,0.85,0.8,0.84,0.83,0.84,67.03,5855.63
1789898400,0.83,0.87,0.78,0.86,0.86,0.87,256.84,5920.59
1789902000,0.87,0.89,0.85,0.89,0.89,0.9,277.21,5843.87
1789905600,0.89,0.9,0.82,0.87,0.87,0.88,363.73,5966.76
1789909200,0.87,0.88,0.84,0.85,0.84,0.85,1022.4,6634.78
1789912800,0.85,0.91,0.8,0.9,0.89,0.9,1420.51,7800.15
1789916400,0.89,0.93,0.85,0.87,0.87,0.89,1335.96,8302.2
1789920000,0.89,0.91,0.84,0.87,0.85,0.87,444.42,8588.89
1789923600,0.87,0.98,0.87,0.98,0.98,0.99,5674.27,12104.53
1789927200,0.99,0.99,0.95,0.96,0.96,0.97,770.96,12305.24
1789930800,0.97,0.99,0.95,0.97,0.96,0.98,1723.8,13309.76
1789934400,0.96,0.98,0.93,0.97,0.95,0.98,1752.04,14685.15
1789938000,0.97,0.98,0.89,0.95,0.95,0.98,2976.23,15884.57
1789941600,0.98,0.99,0.85,0.95,0.89,0.95,2867.39,16022.58
1789945200,0.95,0.99,0.84,0.98,0.96,0.98,2302.22,17226.41
1789948800,0.98,0.99,0.95,0.99,0.97,1.0,4025.31,19788.47
1789952400,0.97,0.99,0.96,0.99,0.99,1.0,667.6,19202.05
1789956000,0.99,0.99,0.97,0.99,0.98,0.99,380.63,19164.44
1789959600,0.98,0.99,0.95,0.96,0.96,0.98,1797.26,19407.47
1789963200,0.99,0.99,0.96,0.99,0.97,0.99,543.92,19628.9
1789966800,0.99,0.99,0.96,0.99,0.98,1.0,606.21,20096.9
1789970400,,,,,0.0,1.0,0.0,20096.9
