end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789916400,0.23,0.24,0.23,0.24,0.32,0.33,10.0,10.0
1789920000,0.32,0.34,0.25,0.27,0.28,0.29,282.0,291.0
1789923600,0.29,0.31,0.29,0.3,0.28,0.29,167.79,458.79
1789927200,0.29,0.31,0.29,0.31,0.3,0.31,38.0,486.79
1789930800,0.31,0.38,0.31,0.36,0.36,0.37,149.02,624.48
1789934400,0.36,0.38,0.36,0.38,0.37,0.38,69.0,681.48
1789938000,0.37,0.38,0.36,0.38,0.38,0.39,35.64,717.12
1789941600,0.38,0.46,0.37,0.46,0.45,0.46,548.18,1211.11
1789945200,0.46,0.5,0.46,0.5,0.49,0.5,51.18,1260.29
1789948800,0.5,0.5,0.49,0.49,0.48,0.49,84.45,1291.84
1789952400,0.49,0.53,0.49,0.53,0.52,0.53,280.68,1562.5
1789956000,0.53,0.55,0.5,0.51,0.5,0.51,216.73,1627.97
1789959600,0.51,0.56,0.5,0.53,0.52,0.53,1306.3,2765.26
1789963200,0.53,0.59,0.53,0.55,0.53,0.54,296.52,3048.58
1789966800,0.53,0.53,0.49,0.51,0.49,0.51,458.33,3272.52
1789970400,0.5,0.51,0.49,0.51,0.5,0.51,55.36,3326.83
1789974000,0.51,0.51,0.49,0.49,0.48,0.5,92.61,3377.68
1789977600,0.49,0.52,0.49,0.51,0.49,0.51,96.47,3466.15
1789981200,0.5,0.5,0.45,0.46,0.45,0.46,200.68,3616.19
1789984800,0.45,0.5,0.43,0.5,0.49,0.5,396.43,3982.27
1789988400,0.5,0.61,0.49,0.61,0.58,0.61,1092.74,5013.43
1789992000,0.59,0.65,0.59,0.61,0.6,0.61,538.48,5335.54
1789995600,0.61,0.65,0.55,0.62,0.6,0.63,867.48,5817.15
1789999200,0.63,0.67,0.6,0.63,0.62,0.63,1278.27,6894.61
1790002800,0.62,0.71,0.62,0.67,0.67,0.7,1213.21,7909.83
1790006400,0.67,0.76,0.61,0.74,0.74,0.76,1943.9,8944.49
1790010000,0.74,0.91,0.7,0.87,0.87,0.88,3003.16,10418.56
1790013600,0.87,0.93,0.24,0.24,0.23,0.24,3292.01,11174.52
1790017200,0.23,0.85,0.02,0.7,0.71,0.73,18244.47,14538.76
1790020800,0.73,0.95,0.67,0.91,0.89,0.91,10842.82,18621.67
1790024400,0.91,0.95,0.01,0.01,0.0,0.01,7700.04,24814.47
1790028000,0.01,0.01,0.01,0.01,0.0,0.01,1517.97,26326.44
1790031600,0.01,0.01,0.01,0.01,0.0,0.01,2010.84,28330.49
1790035200,0.01,0.01,0.01,0.01,0.0,0.01,470.59,28799.08
1790038800,0.01,0.01,0.01,0.01,0.0,0.01,1677.1,30457.69
1790042400,0.01,0.01,0.01,0.01,0.0,0.01,192.02,30649.71
1790046000,0.01,0.01,0.01,0.01,0.0,0.01,1323.71,31973.42
1790049600,0.01,0.01,0.01,0.01,0.0,0.01,2521.05,34494.27
1790053200,0.01,0.01,0.01,0.01,0.0,0.01,633.0,35127.27
1790056800,,,,,0.0,1.0,0.0,35127.27
