end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790262000,0.15,0.18,0.13,0.18,0.17,0.2,37.0,37.0
1790265600,0.24,0.25,0.17,0.17,0.18,0.21,54.02,84.8
1790269200,,,,,0.21,0.22,0.0,84.8
1790272800,0.22,0.25,0.22,0.24,0.21,0.24,106.83,147.69
1790276400,0.22,0.26,0.22,0.22,0.2,0.23,56.0,197.69
1790280000,0.2,0.3,0.19,0.19,0.19,0.2,57.67,254.36
1790283600,0.19,0.19,0.19,0.19,0.19,0.2,4.0,258.36
1790287200,0.19,0.21,0.19,0.2,0.19,0.2,30.0,287.36
1790290800,0.19,0.23,0.19,0.2,0.2,0.21,32.71,314.46
1790294400,0.2,0.2,0.18,0.19,0.18,0.19,63.36,372.43
1790298000,0.19,0.19,0.18,0.18,0.18,0.19,14.0,386.43
1790301600,0.18,0.25,0.16,0.16,0.16,0.17,290.84,676.27
1790305200,0.17,0.18,0.17,0.17,0.16,0.17,71.14,747.41
1790308800,0.16,0.18,0.16,0.18,0.17,0.18,37.11,770.17
1790312400,0.17,0.2,0.17,0.2,0.19,0.22,54.03,814.2
1790316000,0.21,0.24,0.21,0.24,0.22,0.23,116.74,928.94
1790319600,0.23,0.23,0.19,0.2,0.17,0.21,46.0,966.94
1790323200,0.19,0.19,0.18,0.18,0.18,0.21,4.79,966.94
1790326800,0.21,0.25,0.21,0.21,0.21,0.23,108.9,1064.37
1790330400,0.25,0.29,0.25,0.29,0.28,0.3,60.82,1100.73
1790334000,0.29,0.29,0.21,0.28,0.28,0.29,434.13,1371.45
1790337600,0.28,0.31,0.23,0.23,0.24,0.25,180.12,1448.09
1790341200,0.25,0.3,0.24,0.3,0.3,0.31,398.72,1743.66
1790344800,0.3,0.34,0.28,0.28,0.27,0.28,275.25,1975.37
1790348400,0.27,0.29,0.21,0.21,0.2,0.21,348.74,1983.57
1790352000,0.2,0.3,0.2,0.28,0.27,0.28,284.78,2136.32
1790355600,0.25,0.27,0.2,0.27,0.24,0.27,161.38,2290.7
1790359200,0.27,0.44,0.11,0.11,0.12,0.13,964.87,2902.43
1790362800,0.1,0.12,0.01,0.01,0.0,0.01,3902.48,6179.37
1790366400,0.01,0.01,0.01,0.01,0.0,0.01,1965.89,8143.26
1790370000,0.01,0.01,0.01,0.01,0.0,0.01,238.51,8236.77
1790373600,0.01,0.01,0.01,0.01,0.0,0.01,66.0,8302.77
1790377200,0.01,0.01,0.01,0.01,0.0,0.01,467.59,8770.36
1790380800,,,,,0.0,0.01,0.0,8770.36
1790384400,0.01,0.01,0.01,0.01,0.0,0.01,1399.0,10169.36
1790388000,0.01,0.01,0.01,0.01,0.0,0.01,298.0,10467.36
1790395200,0.01,0.01,0.01,0.01,0.0,0.01,832.0,11299.36
1790398800,0.01,0.01,0.01,0.01,0.0,0.01,37.0,11336.36
1790402400,,,,,0.0,1.0,0.0,11336.36
