end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790262000,0.27,0.27,0.25,0.27,0.24,0.29,6.0,5.0
1790265600,0.29,0.33,0.27,0.33,0.33,0.36,102.4,107.4
1790269200,0.33,0.33,0.33,0.33,0.33,0.34,6.0,113.4
1790272800,0.34,0.38,0.34,0.38,0.38,0.4,73.11,186.51
1790276400,0.4,0.42,0.4,0.42,0.41,0.42,51.1,237.61
1790280000,0.42,0.45,0.39,0.45,0.44,0.45,115.35,322.96
1790283600,0.45,0.46,0.44,0.45,0.45,0.46,34.0,355.96
1790287200,0.43,0.46,0.43,0.44,0.44,0.45,54.16,410.12
1790290800,0.45,0.48,0.44,0.48,0.47,0.48,105.64,510.76
1790294400,0.48,0.48,0.46,0.47,0.46,0.47,181.11,691.87
1790298000,0.46,0.48,0.46,0.48,0.47,0.49,57.0,733.87
1790301600,0.49,0.51,0.48,0.51,0.5,0.52,61.32,795.19
1790305200,0.52,0.64,0.51,0.53,0.51,0.52,880.17,1652.13
1790308800,0.54,0.54,0.5,0.53,0.51,0.53,84.04,1728.17
1790312400,0.53,0.55,0.51,0.55,0.54,0.55,208.88,1929.1
1790316000,0.54,0.55,0.51,0.54,0.5,0.53,72.55,2000.65
1790319600,0.51,0.51,0.49,0.51,0.5,0.51,108.16,2037.65
1790323200,0.5,0.53,0.46,0.46,0.4,0.44,196.75,2131.3
1790326800,0.44,0.46,0.43,0.46,0.46,0.47,89.15,2205.52
1790330400,0.46,0.55,0.44,0.55,0.54,0.56,179.03,2377.05
1790334000,0.55,0.55,0.35,0.35,0.34,0.35,384.95,2515.2
1790337600,0.35,0.37,0.34,0.35,0.33,0.34,321.57,2786.82
1790341200,0.34,0.57,0.34,0.39,0.38,0.39,833.96,3227.64
1790344800,0.38,0.39,0.2,0.2,0.2,0.21,885.2,3419.29
1790348400,0.17,0.38,0.17,0.37,0.37,0.39,669.94,4013.49
1790352000,0.38,0.5,0.38,0.5,0.49,0.5,571.34,4215.8
1790355600,0.5,0.64,0.42,0.45,0.44,0.45,405.04,4405.93
1790359200,0.45,0.61,0.4,0.6,0.5,0.52,202.46,4533.86
1790362800,0.55,0.64,0.51,0.57,0.58,0.64,436.58,4653.19
1790366400,0.64,0.75,0.61,0.64,0.65,0.67,678.31,4927.41
1790370000,0.67,0.98,0.55,0.95,0.93,0.98,1962.93,6214.34
1790373600,0.98,0.99,0.87,0.99,0.99,1.0,2283.15,6649.93
1790377200,0.99,0.99,0.99,0.99,0.99,1.0,184.2,6742.93
1790380800,0.99,0.99,0.99,0.99,0.99,1.0,4.49,6742.93
1790384400,0.99,0.99,0.99,0.99,0.99,1.0,54.13,6742.93
1790388000,0.99,0.99,0.99,0.99,0.99,1.0,29.38,6743.93
1790391600,0.99,0.99,0.99,0.99,0.99,1.0,60.0,6743.93
1790395200,0.99,0.99,0.99,0.99,0.99,1.0,10.92,6743.93
1790398800,0.99,0.99,0.99,0.99,0.99,1.0,286.19,6743.93
1790402400,,,,,0.0,1.0,0.0,6743.93
