end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790175600,0.34,0.34,0.34,0.34,0.43,0.5,2.0,2.0
1790179200,0.45,0.45,0.4,0.4,0.43,0.46,2.0,4.0
1790182800,0.4,0.43,0.4,0.43,0.45,0.46,5.0,9.0
1790186400,0.46,0.47,0.41,0.41,0.4,0.42,166.0,173.3
1790190000,0.42,0.42,0.41,0.41,0.4,0.41,38.0,182.3
1790193600,0.41,0.44,0.41,0.43,0.43,0.45,39.7,222.0
1790197200,0.45,0.47,0.45,0.47,0.46,0.47,31.0,222.0
1790200800,0.47,0.47,0.46,0.47,0.46,0.47,30.0,227.0
1790204400,0.42,0.44,0.42,0.44,0.43,0.44,33.0,260.0
1790208000,0.41,0.42,0.3,0.32,0.3,0.31,176.0,423.7
1790211600,0.31,0.31,0.31,0.31,0.3,0.31,5.0,428.7
1790215200,0.31,0.32,0.31,0.32,0.3,0.32,15.97,443.9
1790218800,,,,,0.31,0.33,0.0,443.9
1790222400,0.31,0.35,0.31,0.35,0.31,0.35,3.73,443.9
1790226000,0.37,0.37,0.37,0.37,0.34,0.39,15.52,443.9
1790229600,0.35,0.39,0.35,0.39,0.39,0.4,64.0,467.9
1790233200,0.4,0.46,0.4,0.46,0.46,0.47,73.71,478.9
1790236800,,,,,0.46,0.5,0.0,478.9
1790244000,0.47,0.57,0.47,0.53,0.53,0.58,131.27,538.1
1790247600,0.53,0.53,0.37,0.39,0.41,0.43,702.76,1108.3
1790251200,0.43,0.47,0.43,0.47,0.49,0.5,59.59,1109.8
1790254800,0.5,0.55,0.5,0.55,0.54,0.55,134.43,1179.49
1790258400,0.55,0.64,0.55,0.64,0.63,0.64,184.59,1287.82
1790262000,0.63,0.63,0.01,0.01,0.0,0.01,4444.52,4020.38
1790265600,0.01,0.01,0.01,0.01,0.0,0.01,619.7,4020.38
1790269200,0.01,0.01,0.01,0.01,0.0,0.01,903.6,4394.44
1790272800,0.01,0.01,0.01,0.01,0.0,0.01,193.34,4581.47
1790276400,0.01,0.01,0.01,0.01,0.0,0.01,376.51,4707.98
1790283600,,,,,0.0,0.01,0.0,4707.98
1790290800,,,,,0.0,0.01,0.0,4707.98
1790294400,0.01,0.01,0.01,0.01,0.0,0.01,33.0,4740.98
1790301600,,,,,0.0,0.01,0.0,4740.98
1790305200,0.01,0.01,0.01,0.01,0.0,0.01,2.0,4740.98
1790308800,,,,,0.0,0.01,0.0,4740.98
1790312400,,,,,0.0,0.01,0.0,4740.98
1790316000,,,,,0.0,1.0,0.0,4740.98
