end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789606800,,,,,0.35,0.42,0.0,0.0
1789610400,,,,,0.4,0.41,0.0,0.0
1789624800,,,,,0.39,0.42,0.0,0.0
1789628400,,,,,0.39,0.42,0.0,0.0
1789632000,,,,,0.39,0.43,0.0,0.0
1789639200,,,,,0.39,0.42,0.0,0.0
1789642800,,,,,0.4,0.41,0.0,0.0
1789646400,,,,,0.4,0.41,0.0,0.0
1789650000,,,,,0.4,0.41,0.0,0.0
1789653600,,,,,0.4,0.41,0.0,0.0
1789657200,,,,,0.4,0.41,0.0,0.0
1789660800,,,,,0.4,0.41,0.0,0.0
1789664400,,,,,0.4,0.41,0.0,0.0
1789668000,,,,,0.4,0.41,0.0,0.0
1789671600,,,,,0.4,0.41,0.0,0.0
1789675200,,,,,0.4,0.41,0.0,0.0
1789678800,,,,,0.4,0.41,0.0,0.0
1789682400,,,,,0.4,0.41,0.0,0.0
1789686000,,,,,0.4,0.41,0.0,0.0
1789689600,,,,,0.4,0.41,0.0,0.0
1789693200,,,,,0.4,0.41,0.0,0.0
1789696800,,,,,0.4,0.41,0.0,0.0
1789700400,,,,,0.4,0.41,0.0,0.0
1789704000,0.41,0.42,0.41,0.42,0.4,0.41,2.32,2.32
1789711200,,,,,0.4,0.41,0.0,2.32
1789714800,,,,,0.4,0.41,0.0,2.32
1789718400,,,,,0.4,0.41,0.0,2.32
1789722000,,,,,0.4,0.42,0.0,2.32
1789725600,,,,,0.4,0.42,0.0,2.32
1789729200,,,,,0.4,0.41,0.0,2.32
1789732800,,,,,0.4,0.41,0.0,2.32
1789736400,,,,,0.4,0.41,0.0,2.32
1789740000,0.41,0.42,0.4,0.4,0.39,0.42,144.0,2.59
1789743600,,,,,0.39,0.42,0.0,2.59
1789747200,,,,,0.39,0.41,0.0,2.59
1789750800,0.4,0.4,0.4,0.4,0.39,0.41,2.0,4.59
1789754400,,,,,0.4,0.41,0.0,4.59
1789758000,0.41,0.41,0.41,0.41,0.4,0.43,102.0,106.32
1789761600,,,,,0.4,0.43,0.0,106.32
1789765200,0.43,0.43,0.43,0.43,0.4,0.43,11.4,117.72
1789768800,,,,,0.41,0.42,0.0,117.72
1789772400,,,,,0.41,0.42,0.0,117.72
1789776000,0.42,0.42,0.42,0.42,0.41,0.42,80.0,197.72
1789779600,0.42,0.42,0.42,0.42,0.41,0.42,67.95,265.67
1789783200,,,,,0.41,0.42,0.0,265.67
1789786800,0.42,0.42,0.42,0.42,0.41,0.42,116.66,382.33
1789790400,0.42,0.42,0.42,0.42,0.41,0.42,21.0,403.33
1789794000,0.41,0.42,0.41,0.42,0.41,0.42,12.67,404.6
1789797600,0.42,0.42,0.42,0.42,0.41,0.42,6.99,411.59
1789801200,0.42,0.42,0.42,0.42,0.41,0.42,2.33,411.59
1789804800,0.42,0.42,0.42,0.42,0.41,0.42,408.36,744.61
1789808400,0.42,0.42,0.42,0.42,0.41,0.42,58.33,802.94
1789812000,0.42,0.42,0.42,0.42,0.41,0.42,6.91,809.85
1789815600,0.42,0.42,0.42,0.42,0.41,0.42,29.7,839.55
1789819200,0.42,0.42,0.41,0.41,0.41,0.42,266.3,1094.19
1789822800,0.42,0.42,0.42,0.42,0.41,0.42,34.98,1129.17
1789826400,0.42,0.42,0.41,0.42,0.41,0.42,157.99,1270.5
1789830000,0.42,0.42,0.42,0.42,0.41,0.42,307.34,1577.84
1789833600,0.42,0.42,0.42,0.42,0.41,0.42,2048.35,3626.19
1789837200,0.42,0.42,0.42,0.42,0.41,0.42,100.84,3727.03
1789840800,0.42,0.42,0.42,0.42,0.41,0.42,205.19,3932.22
1789844400,0.42,0.42,0.41,0.42,0.41,0.42,914.1,4393.54
1789848000,0.42,0.42,0.42,0.42,0.41,0.42,106.16,4499.7
1789851600,0.42,0.42,0.41,0.42,0.41,0.42,3977.31,8467.01
1789855200,0.42,0.42,0.41,0.42,0.41,0.42,537.37,8825.03
1789858800,0.42,0.42,0.42,0.42,0.41,0.42,669.16,9494.19
1789862400,0.42,0.42,0.41,0.42,0.41,0.42,2568.89,11965.41
1789866000,0.41,0.42,0.31,0.41,0.4,0.41,25047.01,32841.11
1789869600,0.41,0.81,0.41,0.53,0.52,0.53,169307.55,115181.66
1789873200,0.53,0.75,0.15,0.18,0.17,0.18,331114.04,301870.28
1789876800,0.19,0.4,0.06,0.06,0.06,0.07,817318.86,773434.57
