end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789606800,,,,,0.55,0.64,0.0,0.0
1789610400,,,,,0.56,0.6,0.0,0.0
1789624800,,,,,0.55,0.64,0.0,0.0
1789628400,0.61,0.61,0.61,0.61,0.6,0.61,1.0,1.0
1789632000,,,,,0.4,0.64,0.0,1.0
1789639200,,,,,0.57,0.61,0.0,1.0
1789642800,,,,,0.58,0.6,0.0,1.0
1789646400,,,,,0.58,0.6,0.0,1.0
1789650000,,,,,0.58,0.6,0.0,1.0
1789653600,,,,,0.58,0.59,0.0,1.0
1789660800,0.59,0.59,0.59,0.59,0.58,0.6,9.31,10.31
1789664400,0.6,0.6,0.6,0.6,0.59,0.6,15.0,25.31
1789668000,,,,,0.59,0.6,0.0,25.31
1789671600,,,,,0.59,0.6,0.0,25.31
1789675200,,,,,0.59,0.6,0.0,25.31
1789678800,,,,,0.59,0.6,0.0,25.31
1789682400,,,,,0.59,0.6,0.0,25.31
1789686000,,,,,0.59,0.6,0.0,25.31
1789689600,0.6,0.6,0.6,0.6,0.59,0.6,32.87,58.18
1789693200,,,,,0.59,0.6,0.0,58.18
1789696800,0.59,0.59,0.59,0.59,0.58,0.59,14.0,72.18
1789700400,,,,,0.58,0.59,0.0,72.18
1789704000,0.59,0.59,0.59,0.59,0.59,0.61,297.07,369.25
1789707600,0.61,0.61,0.59,0.59,0.58,0.61,118.0,371.25
1789711200,,,,,0.58,0.61,0.0,371.25
1789714800,,,,,0.58,0.59,0.0,371.25
1789718400,,,,,0.58,0.59,0.0,371.25
1789722000,,,,,0.58,0.59,0.0,371.25
1789725600,,,,,0.58,0.59,0.0,371.25
1789729200,0.59,0.59,0.59,0.59,0.58,0.59,50.12,421.37
1789732800,,,,,0.6,0.61,0.0,421.37
1789736400,,,,,0.6,0.61,0.0,421.37
1789740000,0.61,0.61,0.61,0.61,0.58,0.61,7.92,429.29
1789743600,0.61,0.61,0.61,0.61,0.58,0.61,148.0,577.29
1789747200,,,,,0.58,0.61,0.0,577.29
1789750800,0.61,0.61,0.61,0.61,0.59,0.6,58.0,635.29
1789754400,0.61,0.61,0.61,0.61,0.59,0.6,312.0,947.29
1789758000,0.6,0.6,0.6,0.6,0.59,0.6,3.28,950.57
1789761600,,,,,0.59,0.6,0.0,950.57
1789765200,0.6,0.6,0.6,0.6,0.59,0.6,8.21,958.78
1789768800,0.6,0.6,0.6,0.6,0.59,0.6,27.32,986.1
1789772400,0.6,0.6,0.59,0.6,0.58,0.6,168.43,1144.96
1789776000,0.58,0.59,0.58,0.59,0.58,0.59,41.46,1176.96
1789779600,0.59,0.59,0.59,0.59,0.58,0.59,46.18,1223.14
1789783200,0.59,0.59,0.59,0.59,0.58,0.59,58.47,1281.61
1789786800,0.59,0.59,0.58,0.59,0.58,0.59,138.6,1396.88
1789790400,0.59,0.59,0.58,0.59,0.58,0.59,458.54,1747.42
1789794000,0.59,0.59,0.58,0.59,0.58,0.59,1503.75,2900.93
1789797600,0.59,0.59,0.59,0.59,0.58,0.59,4209.47,7110.4
1789801200,0.59,0.59,0.59,0.59,0.58,0.59,1188.48,8298.88
1789804800,0.59,0.59,0.59,0.59,0.58,0.59,197.77,8496.65
1789808400,0.59,0.59,0.59,0.59,0.58,0.59,1507.36,10004.01
1789812000,0.59,0.59,0.58,0.59,0.58,0.59,2146.55,11567.38
1789815600,0.59,0.59,0.59,0.59,0.58,0.59,384.26,11951.64
1789819200,0.59,0.59,0.59,0.59,0.58,0.59,663.69,12615.33
1789822800,0.59,0.59,0.59,0.59,0.58,0.59,916.11,13531.44
1789826400,0.59,0.59,0.59,0.59,0.58,0.59,2172.76,15704.2
1789830000,0.58,0.59,0.58,0.59,0.58,0.59,5974.47,21666.98
1789833600,0.59,0.59,0.58,0.59,0.58,0.59,2554.96,24180.17
1789837200,0.59,0.59,0.58,0.59,0.58,0.59,4958.81,28975.24
1789840800,0.59,0.59,0.58,0.59,0.58,0.59,4105.89,33031.01
1789844400,0.59,0.59,0.59,0.59,0.58,0.59,8965.53,41664.52
1789848000,0.59,0.59,0.59,0.59,0.58,0.59,3179.22,43488.74
1789851600,0.59,0.59,0.58,0.59,0.58,0.59,5943.23,49427.97
1789855200,0.59,0.59,0.58,0.59,0.58,0.59,12456.52,61702.95
1789858800,0.59,0.59,0.58,0.59,0.58,0.59,25501.21,86978.86
1789862400,0.59,0.59,0.58,0.59,0.58,0.59,13980.64,100874.3
1789866000,0.59,0.68,0.58,0.6,0.59,0.6,147400.28,234431.37
1789869600,0.6,0.66,0.19,0.48,0.47,0.48,552612.69,536488.88
1789873200,0.48,0.83,0.37,0.8,0.81,0.82,336165.16,606930.13
1789876800,0.81,0.94,0.6,0.94,0.93,0.94,604112.38,807557.06
