end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789610400,0.38,0.38,0.38,0.38,0.28,0.4,10.0,10.0
1789614000,,,,,0.28,0.39,0.0,10.0
1789621200,,,,,0.27,0.39,0.0,10.0
1789624800,,,,,0.28,0.39,0.0,10.0
1789628400,,,,,0.28,0.35,0.0,10.0
1789632000,,,,,0.2,0.37,0.0,10.0
1789639200,,,,,0.34,0.36,0.0,10.0
1789642800,,,,,0.35,0.36,0.0,10.0
1789650000,,,,,0.35,0.36,0.0,10.0
1789653600,,,,,0.35,0.36,0.0,10.0
1789660800,0.36,0.36,0.35,0.35,0.35,0.36,2.0,10.99
1789664400,,,,,0.34,0.35,0.0,10.99
1789668000,0.35,0.36,0.34,0.36,0.35,0.36,1256.51,1267.5
1789671600,0.34,0.34,0.34,0.34,0.34,0.36,16.0,1283.5
1789675200,0.34,0.34,0.34,0.34,0.33,0.35,17.01,1300.51
1789678800,,,,,0.33,0.35,0.0,1300.51
1789682400,,,,,0.33,0.35,0.0,1300.51
1789686000,,,,,0.33,0.35,0.0,1300.51
1789689600,,,,,0.33,0.35,0.0,1300.51
1789693200,,,,,0.33,0.34,0.0,1300.51
1789696800,,,,,0.33,0.34,0.0,1300.51
1789704000,,,,,0.33,0.34,0.0,1300.51
1789707600,,,,,0.33,0.34,0.0,1300.51
1789711200,,,,,0.33,0.34,0.0,1300.51
1789714800,,,,,0.33,0.34,0.0,1300.51
1789718400,,,,,0.33,0.34,0.0,1300.51
1789725600,,,,,0.33,0.34,0.0,1300.51
1789729200,,,,,0.33,0.34,0.0,1300.51
1789732800,,,,,0.33,0.34,0.0,1300.51
1789736400,,,,,0.33,0.34,0.0,1300.51
1789740000,,,,,0.33,0.34,0.0,1300.51
1789743600,,,,,0.33,0.34,0.0,1300.51
1789747200,,,,,0.33,0.34,0.0,1300.51
1789750800,0.33,0.33,0.33,0.33,0.32,0.33,0.01,1300.52
1789754400,,,,,0.32,0.33,0.0,1300.52
1789758000,0.32,0.32,0.3,0.3,0.29,0.3,6.02,1300.54
1789761600,0.3,0.3,0.3,0.3,0.29,0.3,9.73,1303.54
1789765200,,,,,0.29,0.3,0.0,1303.54
1789768800,,,,,0.29,0.3,0.0,1303.54
1789776000,0.3,0.3,0.3,0.3,0.29,0.3,178.94,1482.48
1789779600,0.29,0.29,0.27,0.27,0.26,0.27,50.64,1533.12
1789783200,0.27,0.27,0.27,0.27,0.26,0.27,100.21,1633.33
1789786800,0.27,0.27,0.27,0.27,0.26,0.27,226.89,1860.22
1789790400,0.27,0.27,0.27,0.27,0.26,0.27,173.39,1880.8
1789794000,0.26,0.26,0.24,0.26,0.25,0.26,451.61,2016.18
1789797600,0.26,0.26,0.25,0.25,0.23,0.24,1115.52,3131.7
1789801200,0.24,0.27,0.22,0.27,0.26,0.27,8694.69,11588.45
1789804800,0.27,0.27,0.26,0.27,0.26,0.27,192.05,11762.5
1789808400,0.27,0.27,0.27,0.27,0.26,0.27,5.59,11768.09
1789812000,0.27,0.27,0.27,0.27,0.26,0.27,123.93,11892.02
1789815600,0.27,0.27,0.27,0.27,0.26,0.27,191.32,12083.34
1789819200,0.26,0.26,0.26,0.26,0.25,0.26,129.94,12186.28
1789822800,0.26,0.26,0.25,0.25,0.24,0.25,1155.24,13306.52
1789826400,0.25,0.25,0.24,0.24,0.23,0.24,390.24,13667.76
1789830000,0.24,0.24,0.23,0.23,0.22,0.23,3115.1,16691.9
1789833600,0.23,0.23,0.23,0.23,0.22,0.23,4106.07,20761.97
1789837200,0.23,0.23,0.22,0.23,0.22,0.23,3732.8,24482.77
1789840800,0.23,0.23,0.23,0.23,0.22,0.23,2431.53,26914.3
1789844400,0.23,0.23,0.22,0.23,0.22,0.23,1973.98,28800.98
1789848000,0.23,0.23,0.22,0.23,0.22,0.23,2709.16,30010.14
1789851600,0.23,0.23,0.22,0.23,0.22,0.23,5058.07,34623.98
1789855200,0.23,0.23,0.22,0.23,0.22,0.23,28569.45,63145.66
1789858800,0.23,0.23,0.22,0.23,0.22,0.23,8343.4,70654.45
1789862400,0.23,0.23,0.22,0.23,0.22,0.23,8227.07,78267.64
1789866000,0.23,0.23,0.22,0.23,0.22,0.23,24342.37,102588.85
1789869600,0.23,0.3,0.05,0.22,0.22,0.23,309073.42,327800.01
1789873200,0.23,0.49,0.03,0.04,0.03,0.04,642163.55,628591.75
1789876800,0.04,0.05,0.01,0.01,0.0,0.01,444759.44,837019.11
