end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789671600,,,,,0.5,0.56,0.0,0.0
1789678800,0.56,0.57,0.56,0.57,0.5,0.57,1.72,1.72
1789682400,,,,,0.5,0.57,0.0,1.72
1789686000,0.55,0.55,0.55,0.55,0.51,0.55,4.0,5.72
1789689600,,,,,0.5,0.55,0.0,5.72
1789693200,,,,,0.5,0.56,0.0,5.72
1789696800,,,,,0.5,0.54,0.0,5.72
1789700400,,,,,0.5,0.54,0.0,5.72
1789704000,0.54,0.54,0.54,0.54,0.5,0.54,9.11,14.83
1789707600,,,,,0.5,0.54,0.0,14.83
1789711200,,,,,0.5,0.54,0.0,14.83
1789714800,,,,,0.51,0.55,0.0,14.83
1789718400,,,,,0.51,0.55,0.0,14.83
1789722000,,,,,0.51,0.55,0.0,14.83
1789725600,,,,,0.51,0.55,0.0,14.83
1789729200,,,,,0.51,0.55,0.0,14.83
1789732800,,,,,0.5,0.54,0.0,14.83
1789736400,,,,,0.5,0.54,0.0,14.83
1789740000,,,,,0.5,0.54,0.0,14.83
1789743600,,,,,0.5,0.54,0.0,14.83
1789747200,,,,,0.5,0.55,0.0,14.83
1789750800,,,,,0.51,0.54,0.0,14.83
1789754400,,,,,0.51,0.55,0.0,14.83
1789758000,,,,,0.51,0.55,0.0,14.83
1789761600,,,,,0.5,0.55,0.0,14.83
1789765200,,,,,0.5,0.55,0.0,14.83
1789768800,,,,,0.5,0.55,0.0,14.83
1789776000,,,,,0.5,0.55,0.0,14.83
1789779600,,,,,0.5,0.55,0.0,14.83
1789783200,,,,,0.5,0.54,0.0,14.83
1789786800,,,,,0.5,0.54,0.0,14.83
1789790400,,,,,0.5,0.54,0.0,14.83
1789794000,,,,,0.5,0.54,0.0,14.83
1789797600,0.53,0.53,0.53,0.53,0.5,0.54,18.0,32.83
1789801200,,,,,0.5,0.52,0.0,32.83
1789804800,,,,,0.5,0.52,0.0,32.83
1789808400,,,,,0.5,0.52,0.0,32.83
1789812000,,,,,0.5,0.52,0.0,32.83
1789815600,0.52,0.52,0.52,0.52,0.51,0.52,5.0,37.83
1789819200,,,,,0.52,0.53,0.0,37.83
1789822800,0.53,0.53,0.53,0.53,0.52,0.53,0.53,38.36
1789833600,,,,,0.52,0.53,0.0,38.36
1789837200,0.53,0.53,0.53,0.53,0.52,0.53,5.56,43.92
1789840800,0.53,0.54,0.53,0.54,0.52,0.54,36.48,80.4
1789844400,0.54,0.54,0.54,0.54,0.52,0.54,0.03,80.43
1789848000,0.52,0.52,0.52,0.52,0.52,0.53,0.03,80.4
1789851600,0.53,0.53,0.53,0.53,0.52,0.53,0.46,80.86
1789855200,0.53,0.53,0.53,0.53,0.52,0.53,5.56,86.42
1789858800,0.53,0.53,0.53,0.53,0.52,0.53,9.26,95.68
1789862400,0.53,0.53,0.53,0.53,0.52,0.53,171.14,266.82
1789866000,0.53,0.53,0.53,0.53,0.52,0.53,64.75,331.57
1789869600,0.52,0.53,0.52,0.53,0.52,0.53,156.22,449.69
1789873200,0.52,0.53,0.52,0.53,0.52,0.53,114.58,564.27
1789876800,0.53,0.53,0.53,0.53,0.52,0.53,592.12,1156.39
1789880400,0.52,0.53,0.52,0.53,0.52,0.53,502.33,1658.72
1789884000,0.53,0.53,0.53,0.53,0.52,0.53,1815.28,3474.0
1789887600,0.53,0.53,0.53,0.53,0.52,0.53,211.23,3685.23
1789891200,0.53,0.53,0.53,0.53,0.52,0.53,79.51,3764.74
1789894800,0.53,0.53,0.53,0.53,0.52,0.53,110.58,3875.32
1789898400,0.53,0.53,0.53,0.53,0.52,0.53,184.39,4059.71
1789902000,0.53,0.53,0.53,0.53,0.52,0.53,270.63,4330.34
1789905600,0.53,0.53,0.53,0.53,0.52,0.53,1185.06,5515.4
1789909200,0.53,0.53,0.52,0.53,0.52,0.53,267.03,5764.43
1789912800,0.52,0.53,0.52,0.52,0.51,0.52,1961.15,7725.58
1789916400,0.52,0.52,0.51,0.52,0.51,0.52,3807.38,11517.96
1789920000,0.52,0.52,0.51,0.52,0.51,0.52,2273.71,13787.04
1789923600,0.52,0.52,0.51,0.52,0.51,0.52,6463.27,20248.37
1789927200,0.52,0.52,0.51,0.52,0.51,0.52,13982.83,34227.52
1789930800,0.52,0.53,0.51,0.53,0.51,0.53,17194.79,51190.52
1789934400,0.53,0.53,0.51,0.53,0.52,0.53,16510.61,59736.19
1789938000,0.53,0.53,0.51,0.53,0.52,0.53,24505.33,77882.7
1789941600,0.53,0.54,0.51,0.53,0.52,0.53,28479.04,100810.42
1789945200,0.52,0.71,0.38,0.66,0.63,0.66,161947.06,201542.58
1789948800,0.66,0.98,0.63,0.98,0.97,0.98,341640.58,349450.05
