end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789671600,0.41,0.41,0.41,0.41,0.42,0.43,23.0,23.0
1789675200,0.42,0.42,0.42,0.42,0.42,0.43,25.6,48.6
1789678800,,,,,0.42,0.43,0.0,48.6
1789682400,,,,,0.42,0.43,0.0,48.6
1789686000,0.43,0.43,0.42,0.42,0.42,0.43,2.0,49.6
1789689600,,,,,0.42,0.43,0.0,49.6
1789693200,,,,,0.42,0.43,0.0,49.6
1789696800,,,,,0.42,0.43,0.0,49.6
1789700400,,,,,0.42,0.43,0.0,49.6
1789704000,0.43,0.43,0.42,0.42,0.42,0.43,2.0,50.6
1789707600,0.43,0.43,0.42,0.42,0.42,0.43,4.0,52.6
1789714800,,,,,0.42,0.43,0.0,52.6
1789722000,,,,,0.42,0.43,0.0,52.6
1789729200,,,,,0.42,0.43,0.0,52.6
1789732800,,,,,0.42,0.43,0.0,52.6
1789736400,,,,,0.42,0.43,0.0,52.6
1789740000,,,,,0.42,0.43,0.0,52.6
1789743600,,,,,0.42,0.43,0.0,52.6
1789747200,0.43,0.46,0.43,0.46,0.43,0.46,0.79,53.38
1789750800,,,,,0.43,0.45,0.0,53.38
1789754400,,,,,0.43,0.46,0.0,53.38
1789758000,,,,,0.43,0.46,0.0,53.38
1789761600,,,,,0.44,0.46,0.0,53.38
1789765200,,,,,0.44,0.46,0.0,53.38
1789768800,,,,,0.44,0.46,0.0,53.38
1789772400,,,,,0.44,0.46,0.0,53.38
1789776000,0.47,0.47,0.47,0.47,0.44,0.47,204.06,255.44
1789779600,,,,,0.45,0.47,0.0,255.44
1789783200,,,,,0.45,0.46,0.0,255.44
1789790400,,,,,0.45,0.46,0.0,255.44
1789794000,0.46,0.46,0.46,0.46,0.45,0.46,238.0,493.44
1789797600,0.46,0.46,0.46,0.46,0.45,0.46,2.13,495.57
1789801200,,,,,0.45,0.46,0.0,495.57
1789819200,,,,,0.45,0.46,0.0,495.57
1789830000,,,,,0.45,0.46,0.0,495.57
1789833600,,,,,0.45,0.46,0.0,495.57
1789837200,,,,,0.45,0.46,0.0,495.57
1789840800,,,,,0.45,0.46,0.0,495.57
1789844400,0.45,0.45,0.45,0.45,0.44,0.45,1.0,496.57
1789848000,,,,,0.44,0.45,0.0,496.57
1789851600,,,,,0.44,0.45,0.0,496.57
1789855200,0.45,0.46,0.45,0.46,0.44,0.46,53.52,550.09
1789858800,0.44,0.44,0.44,0.44,0.44,0.46,53.52,496.57
1789862400,,,,,0.44,0.46,0.0,496.57
1789866000,,,,,0.44,0.46,0.0,496.57
1789869600,0.44,0.44,0.44,0.44,0.44,0.45,98.0,496.57
1789873200,0.45,0.45,0.45,0.45,0.44,0.45,750.2,1246.77
1789876800,0.44,0.45,0.43,0.44,0.42,0.44,914.45,1366.12
1789880400,0.44,0.44,0.44,0.44,0.43,0.44,1186.86,2364.69
1789884000,0.43,0.44,0.43,0.44,0.43,0.44,1147.91,2854.69
1789887600,0.44,0.44,0.41,0.42,0.4,0.42,697.27,3073.43
1789891200,0.41,0.41,0.41,0.41,0.4,0.41,29.39,3102.82
1789894800,0.41,0.41,0.41,0.41,0.4,0.41,14.33,3117.15
1789898400,0.41,0.41,0.41,0.41,0.4,0.41,783.76,3845.7
1789902000,0.41,0.41,0.41,0.41,0.4,0.42,205.72,4028.42
1789905600,0.42,0.42,0.42,0.42,0.41,0.42,549.52,4577.94
1789909200,0.42,0.42,0.41,0.41,0.4,0.41,11638.51,16214.45
1789912800,0.41,0.41,0.4,0.4,0.39,0.4,16230.05,32381.75
1789916400,0.4,0.4,0.4,0.4,0.39,0.4,3893.65,36122.98
1789920000,0.4,0.4,0.39,0.39,0.38,0.39,2524.65,38389.63
1789923600,0.39,0.39,0.39,0.39,0.38,0.39,8422.92,46812.55
1789927200,0.39,0.39,0.38,0.39,0.38,0.39,6298.2,53088.75
1789930800,0.39,0.56,0.38,0.51,0.5,0.53,41966.0,78491.07
1789934400,0.49,0.72,0.4,0.57,0.56,0.57,78108.59,109781.34
1789938000,0.56,0.97,0.47,0.97,0.96,0.97,175393.85,207905.65
