end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789675200,0.5,0.5,0.5,0.5,0.5,0.66,40.15,40.15
1789678800,0.6,0.61,0.6,0.61,0.53,0.61,1.81,41.96
1789682400,,,,,0.53,0.61,0.0,41.96
1789686000,,,,,0.53,0.6,0.0,41.96
1789689600,,,,,0.52,0.58,0.0,41.96
1789693200,0.56,0.56,0.56,0.56,0.52,0.57,1.0,42.96
1789696800,,,,,0.52,0.56,0.0,42.96
1789700400,,,,,0.52,0.56,0.0,42.96
1789711200,,,,,0.55,0.56,0.0,42.96
1789714800,,,,,0.55,0.56,0.0,42.96
1789718400,0.56,0.56,0.56,0.56,0.55,0.56,150.0,192.96
1789722000,,,,,0.55,0.56,0.0,192.96
1789732800,,,,,0.55,0.56,0.0,192.96
1789736400,,,,,0.55,0.56,0.0,192.96
1789740000,,,,,0.55,0.56,0.0,192.96
1789743600,,,,,0.55,0.56,0.0,192.96
1789747200,0.56,0.56,0.56,0.56,0.55,0.57,34.0,226.96
1789750800,0.57,0.57,0.57,0.57,0.56,0.57,17.28,244.24
1789754400,0.57,0.57,0.57,0.57,0.56,0.57,8.45,252.69
1789758000,,,,,0.56,0.58,0.0,252.69
1789761600,,,,,0.57,0.58,0.0,252.69
1789765200,,,,,0.57,0.58,0.0,252.69
1789768800,,,,,0.57,0.58,0.0,252.69
1789772400,,,,,0.57,0.58,0.0,252.69
1789776000,,,,,0.57,0.58,0.0,252.69
1789779600,,,,,0.57,0.58,0.0,252.69
1789783200,,,,,0.57,0.58,0.0,252.69
1789786800,,,,,0.57,0.58,0.0,252.69
1789790400,0.58,0.58,0.58,0.58,0.57,0.58,10.0,262.69
1789794000,,,,,0.57,0.58,0.0,262.69
1789797600,0.58,0.58,0.58,0.58,0.57,0.58,3.0,265.69
1789801200,,,,,0.57,0.58,0.0,265.69
1789804800,,,,,0.56,0.58,0.0,265.69
1789808400,,,,,0.56,0.58,0.0,265.69
1789812000,,,,,0.56,0.58,0.0,265.69
1789819200,,,,,0.56,0.57,0.0,265.69
1789826400,0.57,0.57,0.56,0.56,0.56,0.57,16.9,274.14
1789833600,0.57,0.57,0.57,0.57,0.56,0.57,25.4,299.54
1789837200,0.57,0.57,0.57,0.57,0.56,0.57,5.18,304.72
1789840800,0.57,0.57,0.57,0.57,0.56,0.57,10.37,315.09
1789844400,0.56,0.57,0.56,0.57,0.56,0.57,23.82,338.91
1789848000,,,,,0.56,0.57,0.0,338.91
1789851600,,,,,0.56,0.57,0.0,338.91
1789855200,,,,,0.56,0.57,0.0,338.91
1789858800,,,,,0.56,0.57,0.0,338.91
1789862400,0.57,0.57,0.57,0.57,0.56,0.57,0.51,339.42
1789866000,0.57,0.59,0.57,0.59,0.59,0.6,21404.1,21625.76
1789869600,0.6,0.61,0.59,0.6,0.59,0.6,220.97,21813.86
1789873200,0.6,0.6,0.6,0.6,0.59,0.6,57.09,21870.95
1789876800,0.6,0.6,0.59,0.59,0.58,0.59,206.92,22042.31
1789880400,0.59,0.6,0.59,0.6,0.59,0.6,4575.73,26591.34
1789884000,0.59,0.6,0.59,0.6,0.59,0.6,8158.44,34232.58
1789887600,0.6,0.6,0.6,0.6,0.59,0.6,341.84,34574.42
1789891200,0.6,0.61,0.6,0.61,0.6,0.61,759.14,35227.01
1789894800,0.61,0.61,0.61,0.61,0.6,0.61,45.62,35272.63
1789898400,0.61,0.61,0.6,0.61,0.6,0.61,215.89,35407.66
1789902000,0.61,0.61,0.59,0.6,0.59,0.6,6923.47,30258.53
1789905600,0.6,0.61,0.6,0.6,0.59,0.6,195.45,30441.49
1789909200,0.6,0.6,0.59,0.6,0.59,0.6,689.25,31101.57
1789912800,0.6,0.6,0.6,0.6,0.59,0.6,524.19,31625.76
1789916400,0.6,0.6,0.59,0.6,0.59,0.6,1643.4,33264.39
1789920000,0.6,0.61,0.59,0.61,0.6,0.61,7472.6,37147.48
1789923600,0.61,0.61,0.6,0.61,0.6,0.61,1732.95,38781.68
1789927200,0.61,0.61,0.6,0.61,0.6,0.61,1157.41,39823.53
1789930800,0.61,0.61,0.59,0.6,0.59,0.6,2041.93,41858.9
1789934400,0.6,0.64,0.45,0.6,0.57,0.6,40506.86,58554.42
1789938000,0.6,0.88,0.6,0.82,0.82,0.87,66739.15,85158.68
1789941600,0.87,0.99,0.72,0.99,0.99,1.0,259973.1,213441.59
