end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789840800,,,,,0.53,0.57,0.0,0.0
1789844400,0.56,0.57,0.56,0.57,0.56,0.57,250.01,250.01
1789848000,,,,,0.56,0.57,0.0,250.01
1789869600,0.57,0.57,0.57,0.57,0.56,0.58,0.2,250.21
1789873200,0.58,0.59,0.58,0.59,0.56,0.59,0.75,250.96
1789876800,0.59,0.59,0.58,0.58,0.53,0.58,11.49,262.45
1789880400,0.59,0.59,0.59,0.59,0.53,0.59,9.67,272.12
1789884000,,,,,0.53,0.58,0.0,272.12
1789887600,,,,,0.53,0.58,0.0,272.12
1789891200,,,,,0.53,0.58,0.0,272.12
1789894800,,,,,0.53,0.58,0.0,272.12
1789898400,,,,,0.53,0.58,0.0,272.12
1789902000,,,,,0.53,0.57,0.0,272.12
1789905600,,,,,0.53,0.58,0.0,272.12
1789909200,0.58,0.58,0.58,0.58,0.53,0.58,41.65,313.77
1789912800,0.58,0.58,0.58,0.58,0.53,0.58,16.99,330.76
1789916400,,,,,0.53,0.58,0.0,330.76
1789920000,,,,,0.52,0.57,0.0,330.76
1789923600,,,,,0.51,0.57,0.0,330.76
1789927200,0.57,0.57,0.57,0.57,0.51,0.57,3.79,334.55
1789930800,0.56,0.56,0.56,0.56,0.52,0.55,3.51,338.06
1789934400,0.51,0.58,0.51,0.58,0.5,0.58,20.0,358.06
1789938000,0.55,0.65,0.5,0.5,0.51,0.57,49.88,365.06
1789941600,0.51,0.59,0.51,0.59,0.56,0.62,30.08,378.85
1789945200,0.6,0.66,0.59,0.64,0.56,0.62,103.67,476.81
1789948800,0.62,0.63,0.58,0.61,0.57,0.61,476.11,701.35
1789952400,0.58,0.61,0.58,0.6,0.56,0.59,188.39,749.3
1789956000,0.56,0.6,0.56,0.6,0.57,0.59,28.46,777.76
1789959600,0.59,0.61,0.56,0.58,0.53,0.58,228.77,987.5
1789963200,0.59,0.6,0.58,0.59,0.59,0.61,145.0,1115.38
1789966800,0.59,0.65,0.57,0.58,0.54,0.58,296.99,1373.34
1789970400,0.58,0.59,0.54,0.58,0.58,0.59,195.85,1517.69
1789974000,0.59,0.6,0.59,0.6,0.55,0.59,54.87,1572.56
1789977600,0.6,0.6,0.6,0.6,0.58,0.6,80.43,1652.99
1789981200,0.6,0.6,0.6,0.6,0.58,0.6,116.7,1769.69
1789984800,0.6,0.6,0.6,0.6,0.58,0.6,49.3,1818.99
1789988400,0.6,0.6,0.6,0.6,0.58,0.6,0.16,1819.15
1789992000,0.6,0.6,0.58,0.58,0.58,0.59,27.11,1846.26
1789995600,0.59,0.6,0.58,0.58,0.58,0.59,75.44,1920.7
1789999200,0.59,0.6,0.58,0.6,0.58,0.6,498.48,2419.18
1790002800,0.6,0.61,0.58,0.61,0.59,0.61,727.26,2998.64
1790006400,0.59,0.61,0.59,0.59,0.59,0.61,120.37,3032.87
1790010000,0.59,0.61,0.56,0.56,0.55,0.56,830.68,3535.27
1790013600,0.56,0.56,0.56,0.56,0.55,0.56,376.73,3864.45
1790017200,0.56,0.56,0.56,0.56,0.55,0.56,78.54,3925.99
1790020800,0.55,0.56,0.54,0.55,0.54,0.55,1061.3,4584.71
1790024400,0.55,0.55,0.55,0.55,0.54,0.55,263.5,4848.21
1790028000,0.55,0.55,0.54,0.55,0.54,0.55,408.35,5184.98
1790031600,0.55,0.55,0.54,0.55,0.54,0.55,680.78,5845.75
1790035200,0.55,0.55,0.54,0.55,0.54,0.55,576.06,6298.89
1790038800,0.55,0.55,0.54,0.55,0.54,0.55,358.88,6618.54
1790042400,0.55,0.55,0.54,0.55,0.54,0.55,600.58,6865.64
1790046000,0.55,0.55,0.53,0.55,0.54,0.55,4344.61,11162.1
1790049600,0.55,0.56,0.54,0.55,0.54,0.55,28397.58,38633.72
1790053200,0.54,0.55,0.54,0.55,0.54,0.55,32308.06,44390.04
1790056800,0.55,0.55,0.53,0.55,0.53,0.55,17016.46,61385.06
1790060400,0.55,0.55,0.53,0.54,0.53,0.54,4954.84,65405.04
1790064000,0.54,0.55,0.53,0.54,0.53,0.54,3219.46,68448.93
1790067600,0.54,0.54,0.53,0.53,0.53,0.54,7473.27,75903.7
1790071200,0.54,0.54,0.53,0.54,0.53,0.54,4091.06,79697.33
1790074800,0.54,0.54,0.53,0.54,0.53,0.54,5578.56,85257.24
1790078400,0.53,0.55,0.53,0.54,0.53,0.54,15506.96,100476.11
1790082000,0.54,0.54,0.53,0.54,0.53,0.54,17995.31,116896.75
1790085600,0.54,0.54,0.52,0.54,0.53,0.54,32965.21,146384.3
1790089200,0.54,0.55,0.53,0.55,0.54,0.55,98333.29,228140.6
1790092800,0.55,0.56,0.54,0.56,0.55,0.56,112820.17,332802.84
1790096400,0.56,0.58,0.55,0.57,0.57,0.58,375095.58,702424.77
1790100000,0.58,0.85,0.47,0.85,0.84,0.85,719086.95,1296384.38
1790103600,0.84,0.96,0.67,0.96,0.95,0.96,616700.62,1571438.83
