end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789840800,,,,,0.44,0.47,0.0,0.0
1789844400,,,,,0.45,0.46,0.0,0.0
1789848000,,,,,0.45,0.46,0.0,0.0
1789851600,0.46,0.47,0.46,0.47,0.45,0.47,0.51,0.51
1789855200,,,,,0.45,0.47,0.0,0.51
1789858800,,,,,0.45,0.47,0.0,0.51
1789866000,,,,,0.45,0.47,0.0,0.51
1789869600,0.47,0.47,0.45,0.45,0.45,0.47,0.39,0.89
1789876800,0.47,0.47,0.47,0.47,0.45,0.47,2.08,2.97
1789880400,0.47,0.47,0.45,0.45,0.45,0.49,159.61,152.58
1789884000,,,,,0.45,0.48,0.0,152.58
1789887600,0.48,0.48,0.48,0.48,0.45,0.48,10.23,162.81
1789902000,,,,,0.45,0.49,0.0,162.81
1789905600,0.49,0.49,0.49,0.49,0.45,0.48,19.59,182.4
1789909200,0.45,0.45,0.45,0.45,0.45,0.48,41.65,224.05
1789912800,0.45,0.45,0.45,0.45,0.45,0.48,16.99,241.04
1789920000,0.48,0.48,0.48,0.48,0.45,0.48,135.04,376.08
1789923600,,,,,0.45,0.49,0.0,376.08
1789927200,0.46,0.46,0.46,0.46,0.46,0.48,219.79,595.87
1789930800,0.48,0.48,0.46,0.46,0.46,0.48,45.09,640.96
1789934400,0.48,0.49,0.48,0.49,0.41,0.49,18.0,640.96
1789938000,0.47,0.51,0.47,0.47,0.41,0.46,45.44,686.4
1789941600,0.46,0.46,0.45,0.45,0.4,0.45,14.15,700.55
1789945200,0.45,0.47,0.4,0.46,0.38,0.44,104.22,802.64
1789948800,0.44,0.46,0.44,0.44,0.4,0.44,50.05,852.69
1789952400,0.44,0.48,0.44,0.46,0.41,0.46,314.29,1166.98
1789956000,0.45,0.46,0.45,0.46,0.41,0.46,81.6,1248.58
1789959600,0.45,0.48,0.39,0.48,0.42,0.48,333.33,1530.71
1789963200,0.48,0.48,0.43,0.48,0.4,0.44,226.69,1745.39
1789966800,0.44,0.48,0.43,0.45,0.4,0.45,327.0,2072.39
1789970400,0.45,0.45,0.43,0.44,0.42,0.44,243.49,2309.11
1789974000,0.44,0.44,0.44,0.44,0.4,0.44,133.49,2442.6
1789977600,0.44,0.44,0.44,0.44,0.42,0.44,11.14,2453.74
1789981200,0.44,0.44,0.42,0.44,0.42,0.44,112.65,2553.03
1789984800,0.44,0.44,0.44,0.44,0.4,0.44,33.43,2586.46
1789988400,0.44,0.44,0.44,0.44,0.4,0.44,168.78,2755.24
1789992000,0.44,0.45,0.44,0.45,0.4,0.44,1177.6,3932.84
1789995600,0.43,0.45,0.43,0.45,0.4,0.45,200.86,4133.7
1789999200,0.4,0.44,0.4,0.44,0.41,0.45,42.0,4159.7
1790002800,0.45,0.45,0.41,0.44,0.41,0.44,136.44,4242.7
1790006400,0.43,0.44,0.43,0.44,0.41,0.44,90.34,4333.04
1790010000,0.44,0.45,0.43,0.45,0.44,0.45,313.07,4613.11
1790013600,0.45,0.46,0.45,0.46,0.45,0.46,54.55,4660.66
1790017200,0.46,0.46,0.46,0.46,0.45,0.46,239.02,4899.68
1790020800,0.46,0.46,0.46,0.46,0.45,0.46,492.88,5392.56
1790024400,0.46,0.46,0.45,0.45,0.45,0.46,56.27,5441.33
1790028000,0.46,0.46,0.45,0.46,0.45,0.46,227.77,5666.9
1790031600,0.46,0.46,0.45,0.46,0.45,0.46,1271.71,6930.09
1790035200,0.46,0.46,0.45,0.46,0.45,0.46,651.5,7511.87
1790038800,0.46,0.46,0.45,0.46,0.45,0.46,498.93,8001.38
1790042400,0.46,0.47,0.45,0.46,0.45,0.46,2331.45,10183.17
1790046000,0.46,0.47,0.45,0.47,0.45,0.46,7618.51,17651.28
1790049600,0.46,0.47,0.45,0.46,0.45,0.46,18921.62,35050.87
1790053200,0.46,0.46,0.45,0.46,0.45,0.46,26601.72,55854.82
1790056800,0.46,0.46,0.45,0.45,0.45,0.46,12065.53,64079.63
1790060400,0.46,0.47,0.45,0.46,0.46,0.47,5848.04,69803.13
1790064000,0.47,0.47,0.45,0.47,0.46,0.47,10799.14,78707.9
1790067600,0.46,0.47,0.46,0.47,0.46,0.47,2332.51,80838.33
1790071200,0.47,0.47,0.46,0.47,0.46,0.47,5612.29,86448.36
1790074800,0.46,0.47,0.46,0.47,0.46,0.47,5791.76,91905.12
1790078400,0.47,0.48,0.46,0.47,0.46,0.47,225121.79,316869.12
1790082000,0.47,0.47,0.46,0.47,0.46,0.47,31185.65,348034.08
1790085600,0.47,0.48,0.46,0.47,0.46,0.47,72756.59,419328.69
1790089200,0.47,0.47,0.45,0.46,0.45,0.46,64008.54,478126.44
1790092800,0.46,0.46,0.44,0.45,0.44,0.45,132078.12,600174.6
1790096400,0.45,0.45,0.42,0.43,0.42,0.43,581918.01,1142731.0
1790100000,0.43,0.57,0.12,0.16,0.15,0.16,991781.69,1975355.34
1790103600,0.16,0.23,0.04,0.05,0.04,0.05,1448259.44,2684198.13
