end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789858800,,,,,0.45,0.5,0.0,0.0
1789862400,0.5,0.5,0.5,0.5,0.44,0.5,7.18,7.18
1789873200,0.5,0.5,0.5,0.5,0.44,0.5,0.58,7.76
1789876800,0.5,0.5,0.5,0.5,0.44,0.5,351.02,358.78
1789880400,0.47,0.49,0.47,0.49,0.45,0.5,201.15,559.93
1789884000,0.49,0.5,0.49,0.5,0.47,0.5,20.25,580.18
1789887600,,,,,0.47,0.5,0.0,580.18
1789891200,,,,,0.45,0.49,0.0,580.18
1789894800,,,,,0.45,0.48,0.0,580.18
1789898400,,,,,0.45,0.48,0.0,580.18
1789902000,,,,,0.44,0.5,0.0,580.18
1789905600,,,,,0.46,0.5,0.0,580.18
1789909200,,,,,0.45,0.5,0.0,580.18
1789912800,,,,,0.46,0.48,0.0,580.18
1789916400,,,,,0.46,0.48,0.0,580.18
1789920000,,,,,0.44,0.51,0.0,580.18
1789923600,,,,,0.46,0.5,0.0,580.18
1789927200,,,,,0.44,0.49,0.0,580.18
1789930800,,,,,0.44,0.49,0.0,580.18
1789934400,,,,,0.44,0.48,0.0,580.18
1789938000,0.48,0.48,0.48,0.48,0.46,0.49,248.0,828.18
1789941600,0.45,0.49,0.45,0.49,0.45,0.49,546.0,1374.18
1789945200,0.5,0.5,0.5,0.5,0.47,0.5,23.05,1397.23
1789948800,0.5,0.5,0.5,0.5,0.47,0.5,218.18,1615.41
1789952400,0.49,0.49,0.49,0.49,0.46,0.49,10.02,1625.43
1789956000,0.49,0.49,0.49,0.49,0.45,0.49,34.24,1659.67
1789959600,0.49,0.49,0.45,0.45,0.46,0.49,122.0,1665.67
1789963200,,,,,0.45,0.49,0.0,1665.67
1789966800,0.49,0.49,0.45,0.49,0.45,0.49,262.03,1431.7
1789970400,0.49,0.49,0.49,0.49,0.45,0.49,11.72,1443.42
1789974000,0.49,0.49,0.49,0.49,0.45,0.49,22.0,1465.42
1789977600,,,,,0.46,0.49,0.0,1465.42
1789984800,0.49,0.49,0.49,0.49,0.46,0.49,24.0,1489.42
1789988400,,,,,0.46,0.49,0.0,1489.42
1789995600,0.49,0.49,0.49,0.49,0.46,0.49,12.02,1501.44
1789999200,0.49,0.49,0.49,0.49,0.46,0.49,260.39,1761.83
1790002800,,,,,0.46,0.49,0.0,1761.83
1790006400,,,,,0.47,0.49,0.0,1761.83
1790010000,0.49,0.49,0.47,0.47,0.47,0.49,80.19,1821.98
1790013600,0.48,0.48,0.48,0.48,0.47,0.49,16.36,1838.34
1790017200,0.49,0.49,0.49,0.49,0.47,0.49,69.12,1907.46
1790020800,,,,,0.47,0.48,0.0,1907.46
1790024400,0.48,0.48,0.48,0.48,0.47,0.48,4.09,1911.55
1790028000,0.48,0.48,0.48,0.48,0.47,0.48,90.92,2002.47
1790031600,0.48,0.48,0.48,0.48,0.47,0.48,109.3,2111.77
1790035200,0.48,0.48,0.47,0.48,0.47,0.48,400.17,2463.94
1790038800,0.47,0.48,0.47,0.48,0.47,0.48,105.54,2464.4
1790042400,0.48,0.48,0.47,0.48,0.47,0.48,286.44,2586.7
1790046000,0.48,0.48,0.48,0.48,0.47,0.48,375.97,2962.67
1790049600,0.48,0.48,0.48,0.48,0.47,0.48,417.82,3380.49
1790053200,0.48,0.48,0.48,0.48,0.47,0.48,2720.97,6101.46
1790056800,0.48,0.48,0.47,0.48,0.47,0.48,1349.04,7409.58
1790060400,0.48,0.48,0.46,0.48,0.47,0.48,337.11,7612.64
1790064000,0.47,0.48,0.47,0.48,0.47,0.48,343.25,7641.89
1790067600,0.48,0.48,0.48,0.48,0.47,0.48,3120.31,10762.2
1790071200,0.48,0.48,0.48,0.48,0.47,0.48,69.09,10831.29
1790074800,0.48,0.48,0.47,0.48,0.47,0.48,133.3,10954.36
1790078400,0.48,0.48,0.48,0.48,0.47,0.48,1141.37,12095.73
1790082000,0.48,0.48,0.47,0.47,0.47,0.48,1343.06,13098.63
1790085600,0.48,0.48,0.48,0.48,0.47,0.48,702.76,13801.39
1790089200,0.48,0.48,0.48,0.48,0.47,0.48,1252.76,15054.15
1790092800,0.48,0.48,0.48,0.48,0.47,0.48,4638.47,19692.62
1790096400,0.48,0.48,0.47,0.48,0.47,0.48,2915.59,22398.83
1790100000,0.48,0.48,0.46,0.47,0.47,0.48,1816.28,23876.16
1790103600,0.47,0.48,0.46,0.48,0.46,0.47,2416.73,25195.85
1790107200,0.46,0.48,0.46,0.48,0.47,0.48,4246.94,26931.05
1790110800,0.48,0.49,0.47,0.49,0.48,0.49,836.53,27545.55
1790114400,0.49,0.49,0.47,0.49,0.48,0.49,758.55,28045.4
1790118000,0.49,0.49,0.46,0.46,0.47,0.48,1595.69,26784.93
1790121600,0.48,0.49,0.47,0.48,0.47,0.48,199.7,26860.83
1790125200,0.47,0.47,0.44,0.47,0.46,0.47,3517.17,25748.59
1790128800,0.47,0.47,0.45,0.47,0.47,0.48,256.04,25733.93
1790132400,0.48,0.48,0.46,0.48,0.46,0.48,248.14,25751.85
1790136000,0.48,0.49,0.46,0.48,0.46,0.48,3281.43,26905.61
1790139600,0.48,0.48,0.46,0.47,0.45,0.46,1221.9,27900.65
1790143200,0.46,0.47,0.45,0.47,0.45,0.47,2416.92,30201.61
1790146800,0.47,0.47,0.45,0.47,0.45,0.47,847.06,30956.64
1790150400,0.47,0.47,0.44,0.46,0.44,0.46,384.46,31279.72
1790154000,0.46,0.46,0.45,0.46,0.45,0.46,711.76,31991.48
1790157600,0.46,0.46,0.46,0.46,0.45,0.46,1960.57,33866.47
1790161200,0.46,0.47,0.45,0.47,0.45,0.47,914.58,34752.75
1790164800,0.47,0.47,0.45,0.47,0.46,0.47,1520.49,36073.96
1790168400,0.47,0.47,0.46,0.47,0.46,0.47,7204.05,43140.1
1790172000,0.47,0.47,0.45,0.46,0.45,0.46,9349.73,52113.32
1790175600,0.46,0.47,0.45,0.46,0.45,0.46,16656.0,68352.86
1790179200,0.46,0.47,0.46,0.47,0.46,0.47,66819.56,134907.69
1790182800,0.46,0.47,0.45,0.46,0.45,0.46,40673.78,175326.45
1790186400,0.46,0.69,0.42,0.47,0.46,0.47,225732.34,390524.72
1790190000,0.47,0.57,0.17,0.17,0.17,0.18,423307.16,602320.82
1790193600,0.18,0.27,0.05,0.06,0.05,0.06,614870.08,873449.22
