end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789862400,,,,,0.37,0.43,0.0,0.0
1789869600,,,,,0.36,0.43,0.0,0.0
1789876800,,,,,0.36,0.41,0.0,0.0
1789880400,,,,,0.37,0.4,0.0,0.0
1789884000,,,,,0.37,0.4,0.0,0.0
1789887600,0.4,0.4,0.4,0.4,0.36,0.39,24.48,24.48
1789894800,,,,,0.36,0.39,0.0,24.48
1789898400,,,,,0.36,0.39,0.0,24.48
1789902000,,,,,0.36,0.39,0.0,24.48
1789905600,,,,,0.36,0.4,0.0,24.48
1789909200,,,,,0.36,0.4,0.0,24.48
1789912800,,,,,0.37,0.4,0.0,24.48
1789916400,,,,,0.36,0.4,0.0,24.48
1789920000,,,,,0.37,0.4,0.0,24.48
1789923600,,,,,0.36,0.38,0.0,24.48
1789927200,,,,,0.36,0.38,0.0,24.48
1789930800,,,,,0.36,0.38,0.0,24.48
1789934400,,,,,0.36,0.37,0.0,24.48
1789938000,,,,,0.36,0.37,0.0,24.48
1789945200,0.37,0.37,0.37,0.37,0.36,0.37,52.88,77.36
1789948800,0.37,0.37,0.37,0.37,0.36,0.37,71.79,149.15
1789952400,,,,,0.36,0.37,0.0,149.15
1789959600,0.37,0.37,0.37,0.37,0.36,0.37,0.26,149.41
1789966800,0.37,0.37,0.37,0.37,0.36,0.37,16.22,165.63
1789970400,0.37,0.37,0.37,0.37,0.36,0.37,5.46,171.09
1789974000,0.37,0.37,0.37,0.37,0.36,0.37,17.1,188.19
1789977600,,,,,0.36,0.37,0.0,188.19
1789981200,,,,,0.36,0.37,0.0,188.19
1789984800,0.37,0.37,0.37,0.37,0.36,0.37,8.88,197.07
1789988400,0.36,0.36,0.36,0.36,0.36,0.37,14.0,211.07
1789992000,0.36,0.37,0.36,0.37,0.36,0.37,29.44,240.51
1789995600,0.37,0.37,0.36,0.36,0.33,0.36,37.44,277.95
1789999200,0.36,0.36,0.36,0.36,0.33,0.36,58.25,336.2
1790002800,0.34,0.34,0.34,0.34,0.33,0.35,5.74,341.94
1790006400,0.35,0.35,0.35,0.35,0.33,0.35,5.58,347.52
1790010000,0.33,0.34,0.33,0.34,0.33,0.35,63.23,405.01
1790013600,0.35,0.35,0.35,0.35,0.36,0.37,2046.0,2451.01
1790017200,0.37,0.37,0.37,0.37,0.36,0.37,13.22,2464.23
1790020800,,,,,0.36,0.37,0.0,2464.23
1790024400,,,,,0.36,0.37,0.0,2464.23
1790028000,0.37,0.37,0.37,0.37,0.36,0.37,13.21,2477.44
1790031600,0.37,0.37,0.36,0.36,0.36,0.37,56.16,2496.63
1790035200,0.37,0.37,0.37,0.37,0.36,0.37,66.1,2562.73
1790038800,0.37,0.37,0.36,0.37,0.36,0.37,172.06,2708.35
1790042400,0.37,0.37,0.37,0.37,0.36,0.37,13.22,2721.57
1790046000,0.37,0.37,0.36,0.36,0.35,0.36,91.45,2813.02
1790049600,0.35,0.36,0.35,0.36,0.35,0.36,36.4,2820.34
1790053200,0.36,0.37,0.36,0.37,0.36,0.37,841.46,3634.83
1790056800,0.37,0.37,0.36,0.36,0.36,0.37,7952.27,11585.56
1790060400,0.37,0.37,0.37,0.37,0.36,0.37,26.67,11612.23
1790064000,0.37,0.37,0.37,0.37,0.36,0.37,120.05,11732.28
1790067600,0.37,0.37,0.37,0.37,0.36,0.37,56.88,11789.16
1790071200,0.37,0.37,0.37,0.37,0.36,0.37,15.86,11805.02
1790074800,0.37,0.37,0.37,0.37,0.36,0.37,55224.19,67029.21
1790078400,0.37,0.37,0.37,0.37,0.36,0.37,576.98,67029.21
1790082000,0.37,0.37,0.37,0.37,0.36,0.37,629.38,67029.21
1790085600,0.36,0.37,0.36,0.37,0.36,0.37,188.77,67043.09
1790089200,0.37,0.37,0.37,0.37,0.36,0.37,602.95,67043.09
1790092800,0.37,0.37,0.36,0.37,0.36,0.37,592.25,67582.9
1790096400,0.37,0.37,0.37,0.37,0.36,0.37,3247.87,70830.77
1790100000,0.37,0.37,0.36,0.37,0.36,0.37,539.81,71367.94
1790103600,0.37,0.37,0.36,0.37,0.36,0.37,1313.2,72136.83
1790107200,0.37,0.37,0.34,0.35,0.34,0.35,67888.53,82881.04
1790110800,0.35,0.35,0.3,0.31,0.3,0.31,265620.41,213027.12
1790114400,0.31,0.32,0.3,0.32,0.31,0.32,11213.81,223919.85
1790118000,0.32,0.32,0.31,0.32,0.31,0.32,19610.02,243121.69
1790121600,0.32,0.43,0.21,0.4,0.39,0.4,162638.06,382069.61
1790125200,0.4,0.87,0.39,0.86,0.85,0.86,144761.81,462571.45
