end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789934400,,,,,0.54,0.58,0.0,0.0
1789938000,,,,,0.54,0.58,0.0,0.0
1789941600,0.54,0.54,0.54,0.54,0.54,0.58,12.0,12.0
1789945200,,,,,0.53,0.57,0.0,12.0
1789948800,,,,,0.51,0.57,0.0,12.0
1789952400,0.56,0.56,0.56,0.56,0.51,0.56,0.52,12.52
1789956000,,,,,0.51,0.55,0.0,12.52
1789959600,,,,,0.51,0.55,0.0,12.52
1789963200,,,,,0.52,0.56,0.0,12.52
1789970400,,,,,0.52,0.55,0.0,12.52
1789974000,,,,,0.52,0.55,0.0,12.52
1789981200,,,,,0.52,0.55,0.0,12.52
1789984800,,,,,0.52,0.55,0.0,12.52
1789988400,,,,,0.51,0.55,0.0,12.52
1789992000,0.55,0.55,0.55,0.55,0.51,0.55,0.17,12.69
1789995600,0.55,0.55,0.55,0.55,0.51,0.55,42.0,54.69
1789999200,,,,,0.52,0.55,0.0,54.69
1790006400,,,,,0.54,0.55,0.0,54.69
1790010000,0.55,0.55,0.55,0.55,0.54,0.55,5.26,59.95
1790013600,,,,,0.54,0.55,0.0,59.95
1790017200,,,,,0.53,0.55,0.0,59.95
1790020800,,,,,0.53,0.55,0.0,59.95
1790024400,,,,,0.53,0.55,0.0,59.95
1790028000,0.53,0.53,0.53,0.53,0.53,0.55,0.17,59.95
1790031600,,,,,0.53,0.56,0.0,59.95
1790035200,,,,,0.53,0.56,0.0,59.95
1790038800,,,,,0.53,0.55,0.0,59.95
1790042400,,,,,0.53,0.55,0.0,59.95
1790046000,,,,,0.54,0.55,0.0,59.95
1790049600,,,,,0.54,0.55,0.0,59.95
1790053200,,,,,0.54,0.55,0.0,59.95
1790056800,0.55,0.56,0.55,0.56,0.54,0.56,45.74,105.69
1790060400,,,,,0.54,0.56,0.0,105.69
1790064000,,,,,0.54,0.57,0.0,105.69
1790067600,,,,,0.54,0.56,0.0,105.69
1790071200,,,,,0.54,0.56,0.0,105.69
1790074800,,,,,0.54,0.56,0.0,105.69
1790078400,,,,,0.54,0.56,0.0,105.69
1790082000,,,,,0.54,0.55,0.0,105.69
1790085600,0.55,0.55,0.55,0.55,0.54,0.55,5.36,111.05
1790089200,,,,,0.54,0.56,0.0,111.05
1790092800,0.56,0.56,0.56,0.56,0.54,0.56,5.27,116.15
1790096400,0.56,0.56,0.56,0.56,0.54,0.56,42.27,158.42
1790100000,,,,,0.54,0.56,0.0,158.42
1790103600,0.56,0.56,0.56,0.56,0.54,0.55,35.52,193.94
1790107200,,,,,0.54,0.56,0.0,193.94
1790110800,,,,,0.54,0.56,0.0,193.94
1790114400,0.56,0.56,0.56,0.56,0.54,0.55,52.34,246.28
1790118000,,,,,0.54,0.55,0.0,246.28
1790121600,0.55,0.55,0.54,0.55,0.54,0.56,212.0,438.28
1790125200,0.55,0.57,0.55,0.57,0.56,0.57,38.0,476.28
1790128800,0.57,0.57,0.57,0.57,0.56,0.57,560.64,1036.92
1790132400,0.57,0.57,0.57,0.57,0.56,0.57,174.58,1211.5
1790136000,0.57,0.58,0.56,0.58,0.57,0.58,1308.04,2394.62
1790139600,0.57,0.58,0.57,0.58,0.57,0.58,1046.9,2831.52
1790143200,0.58,0.58,0.57,0.58,0.57,0.58,2172.11,4167.54
1790146800,0.58,0.58,0.58,0.58,0.57,0.58,109.41,4276.95
1790150400,0.58,0.58,0.57,0.58,0.57,0.58,139.84,4366.07
1790154000,0.58,0.58,0.58,0.58,0.57,0.58,171.34,4537.41
1790157600,0.58,0.58,0.58,0.58,0.57,0.58,126.14,4663.55
1790161200,0.58,0.58,0.57,0.58,0.57,0.58,493.52,5070.67
1790164800,0.58,0.58,0.57,0.58,0.57,0.58,1115.82,6103.05
1790168400,0.58,0.58,0.57,0.58,0.57,0.58,1744.23,7657.3
1790172000,0.58,0.59,0.58,0.59,0.58,0.59,26285.14,33799.44
1790175600,0.59,0.6,0.58,0.6,0.58,0.6,9214.84,42585.05
1790179200,0.6,0.6,0.58,0.59,0.58,0.59,9846.4,52004.85
1790182800,0.59,0.59,0.58,0.59,0.58,0.59,8896.1,60867.54
1790186400,0.59,0.59,0.58,0.59,0.58,0.59,13025.69,73587.57
1790190000,0.59,0.59,0.58,0.59,0.58,0.59,40827.07,97176.95
1790193600,0.59,0.6,0.54,0.58,0.57,0.58,279017.43,350954.46
1790197200,0.58,0.78,0.3,0.57,0.56,0.57,1067759.81,968869.96
1790200800,0.57,0.93,0.4,0.89,0.89,0.9,907362.48,1376889.46
