end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789934400,,,,,0.36,0.49,0.0,0.0
1789938000,0.49,0.49,0.49,0.49,0.36,0.49,0.5,0.5
1789941600,,,,,0.42,0.49,0.0,0.5
1789945200,,,,,0.44,0.48,0.0,0.5
1789948800,,,,,0.43,0.49,0.0,0.5
1789952400,0.48,0.48,0.48,0.48,0.44,0.48,0.2,0.7
1789956000,,,,,0.44,0.48,0.0,0.7
1789959600,,,,,0.44,0.48,0.0,0.7
1789963200,,,,,0.44,0.48,0.0,0.7
1789970400,,,,,0.44,0.47,0.0,0.7
1789981200,,,,,0.44,0.47,0.0,0.7
1789988400,,,,,0.44,0.47,0.0,0.7
1789992000,0.47,0.47,0.47,0.47,0.44,0.47,0.2,0.9
1789995600,,,,,0.44,0.47,0.0,0.9
1789999200,,,,,0.44,0.46,0.0,0.9
1790006400,,,,,0.44,0.46,0.0,0.9
1790010000,,,,,0.44,0.46,0.0,0.9
1790013600,,,,,0.44,0.46,0.0,0.9
1790017200,,,,,0.44,0.46,0.0,0.9
1790020800,,,,,0.44,0.46,0.0,0.9
1790024400,,,,,0.44,0.46,0.0,0.9
1790028000,0.44,0.44,0.44,0.44,0.44,0.46,0.2,0.9
1790031600,,,,,0.44,0.47,0.0,0.9
1790035200,,,,,0.44,0.47,0.0,0.9
1790038800,,,,,0.44,0.46,0.0,0.9
1790042400,,,,,0.44,0.46,0.0,0.9
1790046000,0.46,0.46,0.44,0.44,0.44,0.46,217.34,109.57
1790049600,0.46,0.46,0.46,0.46,0.44,0.46,4.26,113.83
1790053200,0.46,0.46,0.46,0.46,0.44,0.46,10.41,124.24
1790056800,,,,,0.44,0.46,0.0,124.24
1790060400,0.46,0.46,0.46,0.46,0.44,0.46,10.39,134.63
1790064000,,,,,0.44,0.46,0.0,134.63
1790067600,,,,,0.44,0.46,0.0,134.63
1790071200,,,,,0.44,0.46,0.0,134.63
1790074800,,,,,0.44,0.46,0.0,134.63
1790078400,,,,,0.44,0.46,0.0,134.63
1790082000,0.46,0.46,0.46,0.46,0.44,0.46,10.66,134.63
1790085600,,,,,0.44,0.46,0.0,134.63
1790089200,,,,,0.44,0.46,0.0,134.63
1790092800,,,,,0.44,0.46,0.0,134.63
1790096400,0.46,0.46,0.46,0.46,0.44,0.46,48.52,134.63
1790100000,0.46,0.46,0.46,0.46,0.44,0.46,26.0,134.63
1790103600,0.46,0.46,0.46,0.46,0.44,0.47,54.19,165.13
1790107200,,,,,0.44,0.46,0.0,165.13
1790110800,0.46,0.46,0.46,0.46,0.44,0.47,30.0,195.13
1790114400,0.47,0.47,0.47,0.47,0.46,0.47,48.04,243.17
1790118000,,,,,0.46,0.47,0.0,243.17
1790121600,0.47,0.47,0.47,0.47,0.46,0.47,141.44,384.61
1790125200,0.46,0.46,0.44,0.44,0.43,0.44,369.98,745.06
1790128800,0.44,0.44,0.43,0.44,0.43,0.44,552.5,1216.53
1790132400,0.44,0.44,0.43,0.44,0.43,0.44,839.31,1810.66
1790136000,0.44,0.44,0.42,0.43,0.42,0.43,661.02,2341.24
1790139600,0.43,0.44,0.43,0.43,0.42,0.43,1353.0,3308.04
1790143200,0.43,0.43,0.42,0.43,0.42,0.43,1171.95,4477.99
1790146800,0.43,0.43,0.42,0.43,0.42,0.43,524.95,4994.92
1790150400,0.43,0.43,0.43,0.43,0.42,0.43,127.36,5112.43
1790154000,0.43,0.43,0.42,0.43,0.42,0.43,384.06,5362.76
1790157600,0.43,0.43,0.43,0.43,0.42,0.43,143.61,5506.37
1790161200,0.43,0.43,0.43,0.43,0.42,0.43,78.89,5585.26
1790164800,0.43,0.43,0.43,0.43,0.42,0.43,537.4,6122.66
1790168400,0.43,0.43,0.42,0.42,0.42,0.43,1539.42,7273.92
1790172000,0.43,0.43,0.42,0.42,0.41,0.42,2058.5,9168.26
1790175600,0.42,0.42,0.4,0.42,0.4,0.42,2072.64,11208.12
1790179200,0.42,0.42,0.41,0.42,0.41,0.42,12883.31,24079.95
1790182800,0.42,0.42,0.41,0.42,0.41,0.42,20387.26,44464.21
1790186400,0.42,0.42,0.41,0.42,0.41,0.42,12531.56,53741.8
1790190000,0.42,0.42,0.41,0.42,0.41,0.42,17973.7,71081.0
1790193600,0.42,0.47,0.41,0.43,0.42,0.43,279275.79,339717.3
1790197200,0.43,0.76,0.21,0.45,0.44,0.45,1290348.71,1048717.45
1790200800,0.45,0.62,0.07,0.11,0.1,0.11,1089961.61,1318472.28
