end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789945200,,,,,0.53,0.57,0.0,0.0
1789948800,0.53,0.6,0.53,0.6,0.53,0.6,250.6,250.6
1789952400,0.53,0.6,0.53,0.58,0.54,0.59,46.12,296.72
1789956000,,,,,0.55,0.58,0.0,296.72
1789959600,0.55,0.58,0.55,0.58,0.55,0.58,81.44,372.16
1789963200,,,,,0.55,0.58,0.0,372.16
1789966800,0.55,0.55,0.55,0.55,0.55,0.58,6.0,372.16
1789970400,0.58,0.58,0.58,0.58,0.55,0.58,42.72,414.88
1789974000,,,,,0.53,0.57,0.0,414.88
1789977600,0.57,0.57,0.57,0.57,0.53,0.57,12.09,426.97
1789981200,,,,,0.53,0.57,0.0,426.97
1789992000,0.57,0.57,0.57,0.57,0.56,0.57,5.69,432.66
1789995600,0.57,0.57,0.57,0.57,0.56,0.57,1.0,433.66
1790002800,0.57,0.57,0.57,0.57,0.56,0.57,8.47,442.13
1790006400,0.56,0.57,0.56,0.57,0.56,0.57,87.41,528.54
1790010000,0.57,0.57,0.57,0.57,0.56,0.57,7.31,535.85
1790013600,0.54,0.54,0.54,0.54,0.54,0.57,25.0,560.85
1790017200,0.57,0.57,0.57,0.57,0.54,0.57,1.72,562.57
1790020800,0.57,0.57,0.57,0.57,0.54,0.56,43.2,605.77
1790024400,,,,,0.54,0.56,0.0,605.77
1790028000,0.56,0.56,0.56,0.56,0.54,0.56,17.22,622.99
1790031600,,,,,0.54,0.56,0.0,622.99
1790035200,0.56,0.56,0.56,0.56,0.54,0.56,1.75,624.74
1790038800,0.56,0.56,0.55,0.55,0.55,0.56,37.51,645.25
1790042400,0.56,0.56,0.56,0.56,0.55,0.56,16.0,661.25
1790046000,0.56,0.56,0.56,0.56,0.54,0.56,1.85,663.1
1790049600,,,,,0.55,0.56,0.0,663.1
1790053200,,,,,0.54,0.56,0.0,663.1
1790056800,0.56,0.56,0.56,0.56,0.54,0.56,1.75,664.85
1790060400,,,,,0.54,0.56,0.0,664.85
1790064000,,,,,0.54,0.56,0.0,664.85
1790067600,,,,,0.54,0.56,0.0,664.85
1790071200,,,,,0.54,0.56,0.0,664.85
1790074800,,,,,0.54,0.56,0.0,664.85
1790078400,0.56,0.57,0.56,0.57,0.54,0.57,164.79,829.64
1790082000,0.57,0.57,0.57,0.57,0.54,0.57,8.0,837.64
1790085600,0.56,0.56,0.56,0.56,0.54,0.56,5.27,842.91
1790089200,,,,,0.54,0.57,0.0,842.91
1790092800,,,,,0.54,0.57,0.0,842.91
1790096400,,,,,0.54,0.57,0.0,842.91
1790100000,0.57,0.57,0.57,0.57,0.55,0.57,88.14,931.05
1790103600,0.57,0.57,0.54,0.54,0.54,0.57,233.97,992.2
1790107200,,,,,0.55,0.57,0.0,992.2
1790110800,0.57,0.57,0.57,0.57,0.55,0.57,5.0,997.2
1790114400,0.57,0.57,0.56,0.56,0.56,0.57,33.88,1014.14
1790118000,,,,,0.56,0.57,0.0,1014.14
1790121600,0.57,0.57,0.57,0.57,0.56,0.57,10.79,1024.93
1790125200,0.57,0.57,0.57,0.57,0.56,0.57,5.6,1030.53
1790128800,0.57,0.58,0.57,0.58,0.57,0.58,1823.76,2812.29
1790132400,0.57,0.58,0.57,0.58,0.57,0.58,298.94,3111.23
1790136000,0.58,0.58,0.57,0.58,0.57,0.58,1328.06,4423.29
1790139600,0.58,0.58,0.57,0.58,0.57,0.58,2383.32,6399.61
1790143200,0.58,0.58,0.56,0.57,0.56,0.57,3792.03,10114.54
1790146800,0.57,0.58,0.56,0.57,0.56,0.57,10567.21,20540.03
1790150400,0.57,0.58,0.57,0.57,0.56,0.57,1625.57,22165.6
1790154000,0.57,0.58,0.57,0.58,0.56,0.58,1182.76,23348.36
1790157600,0.57,0.58,0.56,0.57,0.56,0.57,543.86,23871.86
1790161200,0.57,0.58,0.57,0.57,0.56,0.57,1492.78,24964.64
1790164800,0.57,0.57,0.56,0.57,0.56,0.57,1656.32,26425.87
1790168400,0.57,0.57,0.56,0.56,0.56,0.57,2142.02,28499.24
1790172000,0.57,0.57,0.54,0.55,0.54,0.55,98618.92,119673.81
1790175600,0.55,0.55,0.53,0.53,0.53,0.54,13930.35,126428.16
1790179200,0.54,0.54,0.53,0.54,0.53,0.54,12121.32,138537.52
1790182800,0.54,0.55,0.53,0.55,0.54,0.55,24579.78,143148.83
1790186400,0.55,0.55,0.54,0.55,0.54,0.55,11581.47,154712.42
1790190000,0.55,0.55,0.54,0.55,0.54,0.55,29697.32,184317.28
1790193600,0.55,0.55,0.54,0.55,0.54,0.55,34448.46,218645.81
1790197200,0.55,0.55,0.54,0.55,0.54,0.55,80286.7,288223.44
1790200800,0.55,0.55,0.54,0.55,0.54,0.55,50149.16,337200.98
1790204400,0.55,0.65,0.5,0.64,0.63,0.64,643880.39,895979.73
1790208000,0.64,0.88,0.46,0.86,0.85,0.86,370161.8,1068667.89
1790211600,0.86,0.97,0.66,0.96,0.96,0.97,605325.17,1162320.53
