end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789945200,,,,,0.28,0.51,0.0,0.0
1789948800,0.51,0.51,0.51,0.51,0.35,0.51,9.0,9.0
1789952400,,,,,0.42,0.49,0.0,9.0
1789959600,,,,,0.44,0.47,0.0,9.0
1789970400,,,,,0.44,0.47,0.0,9.0
1789977600,,,,,0.43,0.47,0.0,9.0
1789992000,0.47,0.47,0.47,0.47,0.43,0.47,0.62,9.62
1789995600,0.47,0.47,0.47,0.47,0.43,0.47,20.4,30.02
1790006400,,,,,0.44,0.47,0.0,30.02
1790010000,,,,,0.44,0.47,0.0,30.02
1790013600,,,,,0.44,0.46,0.0,30.02
1790017200,,,,,0.44,0.46,0.0,30.02
1790020800,,,,,0.44,0.46,0.0,30.02
1790024400,,,,,0.45,0.46,0.0,30.02
1790028000,,,,,0.45,0.46,0.0,30.02
1790031600,,,,,0.45,0.46,0.0,30.02
1790035200,0.46,0.46,0.46,0.46,0.45,0.46,2.13,32.15
1790038800,,,,,0.45,0.46,0.0,32.15
1790042400,,,,,0.45,0.46,0.0,32.15
1790046000,,,,,0.44,0.46,0.0,32.15
1790049600,,,,,0.45,0.46,0.0,32.15
1790053200,,,,,0.44,0.46,0.0,32.15
1790056800,,,,,0.43,0.47,0.0,32.15
1790060400,,,,,0.45,0.47,0.0,32.15
1790064000,,,,,0.45,0.47,0.0,32.15
1790067600,,,,,0.45,0.46,0.0,32.15
1790071200,,,,,0.45,0.46,0.0,32.15
1790074800,,,,,0.45,0.46,0.0,32.15
1790078400,,,,,0.45,0.46,0.0,32.15
1790082000,,,,,0.45,0.46,0.0,32.15
1790085600,0.45,0.45,0.44,0.45,0.45,0.46,1178.0,1210.15
1790089200,,,,,0.43,0.45,0.0,1210.15
1790092800,0.45,0.45,0.45,0.45,0.44,0.45,10.0,1210.15
1790096400,,,,,0.44,0.45,0.0,1210.15
1790100000,0.45,0.45,0.45,0.45,0.44,0.45,65.4,1210.15
1790103600,0.45,0.45,0.45,0.45,0.44,0.45,54.27,1264.42
1790107200,,,,,0.44,0.45,0.0,1264.42
1790110800,,,,,0.44,0.45,0.0,1264.42
1790114400,0.45,0.46,0.45,0.46,0.44,0.45,10.77,1270.42
1790118000,,,,,0.44,0.45,0.0,1270.42
1790121600,,,,,0.44,0.46,0.0,1270.42
1790125200,,,,,0.44,0.45,0.0,1270.42
1790128800,0.45,0.45,0.45,0.45,0.44,0.45,10.0,1280.42
1790132400,0.45,0.47,0.45,0.47,0.46,0.47,1655.0,2915.98
1790136000,0.47,0.47,0.46,0.47,0.46,0.47,372.45,2915.98
1790139600,0.47,0.47,0.47,0.47,0.46,0.47,429.41,2977.46
1790143200,0.47,0.48,0.47,0.48,0.47,0.48,1127.99,3794.44
1790146800,0.48,0.49,0.48,0.48,0.47,0.48,10175.49,13932.93
1790150400,0.48,0.49,0.48,0.49,0.48,0.49,357.32,14066.29
1790154000,0.49,0.49,0.49,0.49,0.48,0.49,12.0,14078.29
1790157600,0.49,0.49,0.49,0.49,0.48,0.49,58.13,14136.42
1790161200,0.49,0.49,0.49,0.49,0.48,0.49,30.07,14166.49
1790164800,0.48,0.49,0.48,0.48,0.47,0.48,18.06,14179.55
1790168400,0.48,0.48,0.47,0.48,0.47,0.48,549.43,14647.98
1790172000,0.48,0.48,0.44,0.45,0.44,0.45,19771.59,28224.11
1790175600,0.45,0.45,0.44,0.45,0.44,0.45,363.28,28222.07
1790179200,0.45,0.45,0.44,0.44,0.43,0.44,875.95,28985.83
1790182800,0.44,0.44,0.44,0.44,0.43,0.44,1205.24,30191.07
1790186400,0.44,0.44,0.44,0.44,0.43,0.44,535.23,30726.3
1790190000,0.44,0.44,0.44,0.44,0.43,0.44,592.32,31318.62
1790193600,0.44,0.44,0.43,0.44,0.43,0.44,1297.16,32438.65
1790197200,0.44,0.44,0.43,0.44,0.43,0.44,5592.85,37657.8
1790200800,0.44,0.44,0.43,0.44,0.43,0.44,16650.63,46301.61
1790204400,0.44,0.51,0.35,0.43,0.42,0.43,143873.91,179411.28
1790208000,0.43,0.94,0.17,0.86,0.86,0.87,291543.41,294815.07
1790211600,0.84,0.97,0.8,0.97,0.96,0.97,148279.43,342111.68
