end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790020800,,,,,0.29,0.46,0.0,0.0
1790024400,,,,,0.37,0.44,0.0,0.0
1790028000,,,,,0.37,0.44,0.0,0.0
1790031600,,,,,0.39,0.44,0.0,0.0
1790035200,,,,,0.37,0.44,0.0,0.0
1790042400,,,,,0.37,0.43,0.0,0.0
1790046000,,,,,0.38,0.43,0.0,0.0
1790056800,,,,,0.38,0.43,0.0,0.0
1790060400,,,,,0.38,0.43,0.0,0.0
1790064000,,,,,0.38,0.43,0.0,0.0
1790067600,,,,,0.38,0.43,0.0,0.0
1790071200,,,,,0.38,0.43,0.0,0.0
1790074800,,,,,0.38,0.43,0.0,0.0
1790078400,,,,,0.38,0.43,0.0,0.0
1790082000,,,,,0.38,0.43,0.0,0.0
1790085600,,,,,0.38,0.43,0.0,0.0
1790089200,,,,,0.38,0.43,0.0,0.0
1790092800,,,,,0.38,0.43,0.0,0.0
1790096400,,,,,0.38,0.43,0.0,0.0
1790100000,,,,,0.38,0.43,0.0,0.0
1790103600,0.43,0.43,0.43,0.43,0.39,0.43,22.0,22.0
1790107200,,,,,0.38,0.43,0.0,22.0
1790110800,,,,,0.38,0.42,0.0,22.0
1790114400,,,,,0.39,0.43,0.0,22.0
1790118000,,,,,0.39,0.43,0.0,22.0
1790121600,,,,,0.39,0.43,0.0,22.0
1790125200,,,,,0.39,0.42,0.0,22.0
1790128800,,,,,0.39,0.42,0.0,22.0
1790132400,,,,,0.39,0.42,0.0,22.0
1790136000,,,,,0.39,0.42,0.0,22.0
1790139600,,,,,0.37,0.4,0.0,22.0
1790143200,,,,,0.36,0.39,0.0,22.0
1790146800,0.39,0.39,0.39,0.39,0.36,0.39,0.62,22.62
1790150400,,,,,0.36,0.39,0.0,22.62
1790154000,,,,,0.35,0.38,0.0,22.62
1790157600,,,,,0.35,0.38,0.0,22.62
1790161200,,,,,0.35,0.38,0.0,22.62
1790164800,,,,,0.35,0.38,0.0,22.62
1790168400,0.38,0.38,0.38,0.38,0.35,0.38,250.05,272.67
1790172000,,,,,0.35,0.38,0.0,272.67
1790175600,,,,,0.34,0.38,0.0,272.67
1790179200,,,,,0.34,0.37,0.0,272.67
1790182800,0.35,0.35,0.35,0.35,0.34,0.36,670.46,943.13
1790186400,0.36,0.36,0.36,0.36,0.34,0.37,67.92,1011.05
1790190000,,,,,0.34,0.35,0.0,1011.05
1790193600,0.36,0.36,0.36,0.36,0.36,0.38,2193.0,3204.05
1790197200,,,,,0.37,0.38,0.0,3204.05
1790200800,0.38,0.38,0.38,0.38,0.37,0.38,31.75,3235.8
1790204400,0.37,0.37,0.36,0.37,0.37,0.38,59.0,3288.8
1790208000,0.37,0.37,0.37,0.37,0.37,0.38,7.64,3291.44
1790211600,0.37,0.37,0.37,0.37,0.36,0.37,15.0,3291.44
1790215200,0.37,0.37,0.37,0.37,0.36,0.37,16.86,3307.3
1790218800,0.37,0.37,0.37,0.37,0.36,0.37,6.42,3313.72
1790222400,0.37,0.37,0.36,0.37,0.36,0.37,151.28,3465.0
1790226000,0.37,0.37,0.37,0.37,0.36,0.37,1.32,3466.32
1790229600,0.37,0.37,0.37,0.37,0.36,0.37,2986.77,6453.09
1790233200,0.37,0.37,0.37,0.37,0.36,0.37,480.3,6933.39
1790236800,,,,,0.36,0.38,0.0,6933.39
1790244000,0.37,0.37,0.36,0.37,0.36,0.37,195.16,7128.55
1790247600,0.37,0.37,0.36,0.36,0.36,0.37,166.63,7295.18
1790251200,0.37,0.37,0.36,0.37,0.36,0.37,186.02,7481.2
1790254800,0.37,0.37,0.36,0.36,0.36,0.37,810.17,8291.37
1790258400,0.37,0.37,0.37,0.37,0.36,0.37,415.2,8706.57
1790262000,0.37,0.37,0.36,0.37,0.36,0.37,10547.08,17060.65
1790265600,0.37,0.37,0.36,0.37,0.36,0.37,199.95,17260.6
1790269200,0.36,0.37,0.36,0.37,0.36,0.37,5662.47,21682.8
1790272800,0.37,0.37,0.36,0.37,0.36,0.37,3463.65,24857.03
1790276400,0.36,0.37,0.35,0.36,0.35,0.36,15262.44,35915.89
1790280000,0.36,0.36,0.02,0.03,0.02,0.03,265186.55,249173.54
1790283600,0.02,0.03,0.01,0.01,0.0,0.01,295328.81,448754.58
1790287200,0.01,0.03,0.01,0.02,0.01,0.02,703275.52,943212.51
