end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790031600,,,,,0.36,0.51,0.0,0.0
1790035200,,,,,0.36,0.53,0.0,0.0
1790038800,,,,,0.42,0.52,0.0,0.0
1790042400,,,,,0.42,0.52,0.0,0.0
1790046000,,,,,0.46,0.5,0.0,0.0
1790049600,,,,,0.45,0.51,0.0,0.0
1790053200,,,,,0.45,0.51,0.0,0.0
1790056800,,,,,0.45,0.5,0.0,0.0
1790060400,,,,,0.45,0.5,0.0,0.0
1790071200,,,,,0.46,0.5,0.0,0.0
1790074800,,,,,0.46,0.5,0.0,0.0
1790078400,,,,,0.46,0.5,0.0,0.0
1790082000,,,,,0.46,0.5,0.0,0.0
1790085600,,,,,0.45,0.49,0.0,0.0
1790089200,,,,,0.46,0.5,0.0,0.0
1790092800,,,,,0.46,0.5,0.0,0.0
1790096400,,,,,0.46,0.5,0.0,0.0
1790100000,,,,,0.45,0.5,0.0,0.0
1790103600,,,,,0.44,0.5,0.0,0.0
1790107200,0.5,0.51,0.47,0.51,0.47,0.51,76.54,38.0
1790110800,,,,,0.46,0.5,0.0,38.0
1790114400,0.51,0.51,0.51,0.51,0.46,0.5,9.63,47.63
1790118000,,,,,0.46,0.51,0.0,47.63
1790121600,,,,,0.47,0.5,0.0,47.63
1790125200,,,,,0.46,0.5,0.0,47.63
1790128800,0.49,0.49,0.49,0.49,0.47,0.51,20.05,67.68
1790132400,0.47,0.47,0.47,0.47,0.46,0.51,18.0,67.68
1790136000,,,,,0.46,0.51,0.0,67.68
1790139600,,,,,0.48,0.5,0.0,67.68
1790143200,,,,,0.46,0.5,0.0,67.68
1790146800,,,,,0.46,0.5,0.0,67.68
1790150400,,,,,0.47,0.5,0.0,67.68
1790154000,,,,,0.47,0.5,0.0,67.68
1790157600,,,,,0.46,0.48,0.0,67.68
1790164800,,,,,0.45,0.47,0.0,67.68
1790168400,,,,,0.45,0.47,0.0,67.68
1790172000,,,,,0.45,0.47,0.0,67.68
1790175600,,,,,0.45,0.47,0.0,67.68
1790179200,,,,,0.44,0.48,0.0,67.68
1790182800,0.48,0.48,0.48,0.48,0.44,0.48,10.22,77.9
1790186400,,,,,0.45,0.48,0.0,77.9
1790190000,,,,,0.44,0.48,0.0,77.9
1790193600,,,,,0.43,0.47,0.0,77.9
1790197200,0.47,0.47,0.47,0.47,0.45,0.47,4.17,82.07
1790200800,0.47,0.47,0.47,0.47,0.45,0.48,20.88,102.95
1790204400,0.48,0.48,0.48,0.48,0.46,0.48,10.23,113.18
1790208000,0.48,0.48,0.48,0.48,0.46,0.48,59.46,172.64
1790211600,0.48,0.48,0.48,0.48,0.47,0.49,30.0,202.64
1790215200,0.47,0.47,0.47,0.47,0.47,0.48,4.17,202.64
1790218800,0.48,0.52,0.48,0.52,0.51,0.52,3539.78,3699.74
1790222400,0.52,0.52,0.52,0.52,0.51,0.52,139.47,3839.21
1790226000,0.52,0.52,0.52,0.52,0.51,0.52,1471.46,5290.67
1790229600,0.52,0.52,0.52,0.52,0.51,0.52,2095.18,6954.73
1790233200,0.52,0.52,0.51,0.51,0.51,0.52,289.67,6979.73
1790236800,,,,,0.51,0.52,0.0,6979.73
1790244000,0.52,0.53,0.52,0.53,0.52,0.53,372.64,7055.25
1790247600,0.53,0.53,0.52,0.52,0.51,0.53,12112.81,16962.24
1790251200,0.52,0.52,0.51,0.52,0.52,0.53,56028.0,72970.73
1790254800,0.53,0.53,0.52,0.53,0.52,0.53,1543.87,74470.13
1790258400,0.52,0.56,0.52,0.56,0.55,0.56,29996.0,104343.65
1790262000,0.55,0.56,0.55,0.56,0.55,0.56,3964.79,108296.44
1790265600,0.56,0.56,0.55,0.56,0.55,0.56,2146.82,109929.08
1790269200,0.56,0.56,0.55,0.56,0.55,0.56,6915.8,116175.31
1790272800,0.56,0.56,0.55,0.56,0.55,0.56,4822.74,120768.62
1790276400,0.56,0.56,0.55,0.56,0.55,0.56,13494.73,122658.71
1790280000,0.56,0.56,0.55,0.56,0.55,0.56,15222.9,126505.55
1790283600,0.56,0.56,0.55,0.56,0.55,0.56,33358.17,157536.67
1790287200,0.56,0.56,0.54,0.55,0.54,0.55,140763.4,293821.86
1790290800,0.55,0.66,0.31,0.51,0.5,0.51,500447.62,708341.6
1790294400,0.51,0.65,0.35,0.36,0.35,0.36,333120.98,854388.92
1790298000,0.36,0.64,0.01,0.01,0.0,0.01,788134.75,1066805.38
