end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790118000,,,,,0.36,0.45,0.0,0.0
1790121600,0.45,0.45,0.45,0.45,0.36,0.47,65.4,65.4
1790125200,,,,,0.38,0.47,0.0,65.4
1790128800,,,,,0.38,0.47,0.0,65.4
1790132400,,,,,0.4,0.46,0.0,65.4
1790139600,0.46,0.46,0.46,0.46,0.4,0.46,0.32,65.72
1790143200,,,,,0.42,0.46,0.0,65.72
1790146800,,,,,0.42,0.46,0.0,65.72
1790150400,,,,,0.44,0.47,0.0,65.72
1790157600,,,,,0.44,0.47,0.0,65.72
1790168400,,,,,0.45,0.48,0.0,65.72
1790172000,,,,,0.45,0.48,0.0,65.72
1790175600,,,,,0.45,0.48,0.0,65.72
1790179200,,,,,0.45,0.5,0.0,65.72
1790182800,,,,,0.45,0.5,0.0,65.72
1790186400,,,,,0.45,0.5,0.0,65.72
1790190000,,,,,0.46,0.49,0.0,65.72
1790193600,,,,,0.46,0.5,0.0,65.72
1790197200,,,,,0.46,0.49,0.0,65.72
1790200800,,,,,0.46,0.5,0.0,65.72
1790204400,,,,,0.46,0.49,0.0,65.72
1790208000,0.5,0.5,0.5,0.5,0.46,0.5,2.04,67.76
1790211600,,,,,0.46,0.5,0.0,67.76
1790215200,,,,,0.45,0.49,0.0,67.76
1790218800,0.49,0.5,0.49,0.5,0.51,0.55,1151.87,1219.63
1790222400,0.55,0.55,0.55,0.55,0.51,0.55,12.74,1232.37
1790226000,,,,,0.51,0.55,0.0,1232.37
1790229600,,,,,0.51,0.55,0.0,1232.37
1790233200,,,,,0.51,0.55,0.0,1232.37
1790236800,,,,,0.51,0.64,0.0,1232.37
1790244000,,,,,0.53,0.55,0.0,1232.37
1790247600,0.55,0.55,0.55,0.55,0.53,0.55,3.57,1235.94
1790251200,0.55,0.55,0.55,0.55,0.53,0.55,8.94,1244.88
1790254800,,,,,0.54,0.57,0.0,1244.88
1790258400,,,,,0.54,0.57,0.0,1244.88
1790262000,,,,,0.55,0.57,0.0,1244.88
1790265600,,,,,0.55,0.57,0.0,1244.88
1790269200,0.57,0.57,0.57,0.57,0.55,0.57,77.77,1322.65
1790272800,0.57,0.57,0.57,0.57,0.55,0.57,1.0,1323.65
1790276400,0.56,0.56,0.56,0.56,0.57,0.59,1047.0,2370.65
1790280000,0.59,0.59,0.59,0.59,0.57,0.58,8.0,2378.65
1790283600,0.58,0.58,0.58,0.58,0.57,0.58,11.8,2390.45
1790287200,0.57,0.59,0.57,0.59,0.57,0.59,87.18,2460.65
1790290800,0.59,0.59,0.57,0.57,0.58,0.59,75.82,2519.77
1790294400,,,,,0.58,0.59,0.0,2519.77
1790298000,,,,,0.58,0.59,0.0,2519.77
1790301600,0.59,0.59,0.59,0.59,0.58,0.59,294.34,2814.11
1790305200,0.59,0.6,0.59,0.6,0.59,0.6,1822.56,4630.45
1790308800,0.6,0.61,0.6,0.61,0.6,0.61,2627.53,7257.98
1790312400,0.61,0.61,0.6,0.61,0.6,0.61,3033.67,10185.64
1790316000,0.61,0.62,0.61,0.62,0.61,0.62,7702.28,17884.74
1790319600,0.62,0.62,0.62,0.62,0.61,0.62,2318.68,20203.42
1790323200,0.62,0.62,0.61,0.62,0.61,0.62,314.67,20514.12
1790326800,0.62,0.62,0.62,0.62,0.61,0.62,1797.27,22311.39
1790330400,0.62,0.62,0.62,0.62,0.61,0.62,1116.19,23427.58
1790334000,0.62,0.62,0.62,0.62,0.61,0.62,1369.66,24797.24
1790337600,0.62,0.62,0.62,0.62,0.61,0.62,3090.67,27887.91
1790341200,0.62,0.62,0.61,0.62,0.61,0.62,1922.15,29810.06
1790344800,0.62,0.62,0.61,0.62,0.61,0.62,6854.55,35965.01
1790348400,0.62,0.62,0.61,0.62,0.61,0.62,8565.76,44356.02
1790352000,0.62,0.62,0.61,0.62,0.61,0.62,7072.07,51426.5
1790355600,0.62,0.62,0.61,0.62,0.61,0.62,6990.07,58360.08
1790359200,0.62,0.62,0.61,0.62,0.61,0.62,14949.28,72487.18
1790362800,0.62,0.62,0.61,0.62,0.61,0.62,15782.06,88141.26
1790366400,0.62,0.62,0.61,0.62,0.61,0.62,12880.67,100783.58
1790370000,0.62,0.62,0.61,0.62,0.61,0.62,72347.53,172243.85
1790373600,0.62,0.62,0.61,0.62,0.61,0.62,47181.98,218244.55
1790377200,0.62,0.67,0.42,0.48,0.43,0.48,208958.02,408352.82
1790380800,0.43,0.49,0.23,0.25,0.24,0.25,289270.93,572557.46
1790384400,0.25,0.62,0.04,0.05,0.04,0.05,660399.59,955380.0
