end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790118000,,,,,0.52,0.62,0.0,0.0
1790121600,,,,,0.52,0.62,0.0,0.0
1790125200,,,,,0.53,0.57,0.0,0.0
1790128800,0.57,0.57,0.57,0.57,0.54,0.59,0.5,0.5
1790132400,,,,,0.54,0.57,0.0,0.5
1790139600,,,,,0.53,0.56,0.0,0.5
1790143200,,,,,0.56,0.57,0.0,0.5
1790146800,,,,,0.54,0.56,0.0,0.5
1790150400,,,,,0.54,0.55,0.0,0.5
1790157600,,,,,0.52,0.55,0.0,0.5
1790161200,,,,,0.52,0.55,0.0,0.5
1790164800,,,,,0.52,0.55,0.0,0.5
1790168400,,,,,0.52,0.54,0.0,0.5
1790172000,,,,,0.52,0.54,0.0,0.5
1790175600,,,,,0.52,0.54,0.0,0.5
1790179200,,,,,0.51,0.55,0.0,0.5
1790182800,,,,,0.51,0.55,0.0,0.5
1790186400,,,,,0.51,0.55,0.0,0.5
1790190000,,,,,0.51,0.53,0.0,0.5
1790193600,,,,,0.51,0.53,0.0,0.5
1790197200,,,,,0.51,0.53,0.0,0.5
1790200800,,,,,0.51,0.53,0.0,0.5
1790204400,,,,,0.5,0.52,0.0,0.5
1790208000,0.53,0.53,0.53,0.53,0.5,0.53,18.56,19.06
1790211600,,,,,0.5,0.53,0.0,19.06
1790215200,0.53,0.53,0.53,0.53,0.5,0.53,3.71,22.77
1790218800,0.53,0.53,0.53,0.53,0.47,0.48,0.59,23.36
1790222400,0.48,0.48,0.48,0.48,0.47,0.48,20.46,43.82
1790236800,,,,,0.47,0.48,0.0,43.82
1790244000,,,,,0.47,0.48,0.0,43.82
1790247600,0.48,0.48,0.48,0.48,0.47,0.48,40.92,84.74
1790251200,,,,,0.44,0.48,0.0,84.74
1790254800,0.45,0.45,0.45,0.45,0.43,0.44,10.9,95.64
1790258400,0.44,0.44,0.44,0.44,0.43,0.44,1.0,96.64
1790262000,0.44,0.44,0.44,0.44,0.43,0.44,12.0,108.64
1790265600,,,,,0.43,0.44,0.0,108.64
1790269200,0.45,0.45,0.45,0.45,0.43,0.45,2.18,110.82
1790272800,0.45,0.45,0.45,0.45,0.43,0.45,32.7,143.52
1790276400,,,,,0.42,0.43,0.0,143.52
1790280000,0.43,0.43,0.43,0.43,0.42,0.43,25.08,168.6
1790283600,0.43,0.43,0.43,0.43,0.42,0.43,67.22,235.82
1790287200,0.43,0.43,0.43,0.43,0.42,0.43,6.86,242.68
1790290800,0.43,0.43,0.43,0.43,0.42,0.43,61.56,304.24
1790294400,0.42,0.42,0.42,0.42,0.42,0.43,2.28,304.24
1790298000,0.43,0.43,0.43,0.43,0.42,0.43,51.0,355.24
1790301600,0.42,0.42,0.41,0.41,0.4,0.41,2229.53,2492.45
1790305200,0.41,0.41,0.41,0.41,0.4,0.41,458.09,2950.54
1790308800,0.41,0.41,0.4,0.4,0.39,0.4,10395.92,8543.21
1790312400,0.4,0.4,0.4,0.4,0.39,0.4,1049.38,9108.85
1790316000,0.4,0.4,0.39,0.39,0.39,0.4,1363.74,10472.59
1790319600,0.39,0.4,0.39,0.39,0.39,0.4,901.53,11374.12
1790323200,0.39,0.4,0.38,0.38,0.38,0.39,358.67,11523.25
1790326800,0.39,0.39,0.38,0.38,0.38,0.39,1350.26,11724.57
1790330400,0.38,0.39,0.38,0.38,0.38,0.39,88.81,11813.38
1790334000,0.38,0.39,0.38,0.38,0.38,0.4,974.5,12787.88
1790337600,0.38,0.4,0.38,0.39,0.38,0.39,1128.87,13916.69
1790341200,0.39,0.39,0.38,0.39,0.38,0.39,1594.8,15292.23
1790344800,0.39,0.39,0.38,0.38,0.38,0.39,8828.62,23588.11
1790348400,0.39,0.39,0.38,0.39,0.38,0.39,1601.92,25153.0
1790352000,0.39,0.39,0.38,0.39,0.38,0.39,3577.47,28494.47
1790355600,0.39,0.39,0.38,0.39,0.38,0.39,9012.57,37507.04
1790359200,0.39,0.39,0.38,0.39,0.38,0.39,10679.42,48015.75
1790362800,0.39,0.39,0.38,0.39,0.38,0.39,7083.93,55007.41
1790366400,0.39,0.39,0.38,0.39,0.38,0.39,9446.97,63389.67
1790370000,0.39,0.39,0.38,0.39,0.38,0.39,9297.49,72549.09
1790373600,0.39,0.39,0.38,0.39,0.38,0.39,35767.72,107554.2
1790377200,0.39,0.58,0.33,0.57,0.52,0.56,152550.32,243661.86
1790380800,0.56,0.81,0.55,0.76,0.75,0.76,252780.37,405773.21
1790384400,0.76,0.96,0.41,0.96,0.95,0.96,771490.33,788550.13
