end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1788667200,,,,,0.07,0.8,0.0,0.0
1788753600,,,,,0.08,0.72,0.0,0.0
1788840000,,,,,0.09,0.79,0.0,0.0
1788926400,0.22,0.22,0.22,0.22,0.22,0.29,0.11,0.11
1789012800,0.22,0.22,0.22,0.22,0.08,0.29,4.89,5.0
1789099200,0.3,0.3,0.3,0.3,0.09,0.29,0.15,5.15
1789185600,,,,,0.26,0.3,0.0,5.15
1789272000,0.26,0.26,0.11,0.11,0.1,0.27,20.85,22.0
1789358400,0.19,0.19,0.1,0.1,0.09,0.1,311.83,333.78
1789444800,0.1,0.11,0.1,0.11,0.1,0.11,1426.71,1756.69
1789531200,0.11,0.11,0.1,0.11,0.1,0.11,568.78,2282.69
1789617600,0.11,0.11,0.11,0.11,0.1,0.11,130.67,2413.36
1789704000,0.11,0.11,0.1,0.11,0.1,0.11,663.65,3077.01
1789790400,0.11,0.11,0.1,0.1,0.1,0.11,14376.9,17453.91
1789876800,0.11,0.22,0.01,0.01,0.0,0.01,177222.39,129654.44
