end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1788753600,,,,,0.17,0.82,0.0,0.0
1788840000,,,,,0.42,0.82,0.0,0.0
1788926400,,,,,0.52,0.71,0.0,0.0
1789012800,0.5,0.5,0.5,0.5,0.45,0.65,4.0,4.0
1789099200,0.6,0.6,0.6,0.6,0.45,0.57,1.62,5.62
1789185600,0.46,0.46,0.46,0.46,0.46,0.57,2.0,7.62
1789272000,0.55,0.56,0.46,0.46,0.44,0.5,14.74,13.36
1789358400,0.52,0.55,0.51,0.54,0.53,0.54,2910.51,2916.87
1789444800,0.54,0.55,0.54,0.55,0.54,0.55,415.4,3332.27
1789531200,0.55,0.55,0.55,0.55,0.54,0.55,65.41,3397.68
1789617600,0.55,0.55,0.55,0.55,0.54,0.55,28.21,3425.89
1789704000,0.55,0.55,0.54,0.54,0.53,0.54,1412.53,4838.42
1789790400,0.54,0.54,0.54,0.54,0.53,0.54,640.01,5478.43
1789876800,0.54,0.58,0.05,0.08,0.07,0.08,754703.83,535659.9
