end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1788753600,0.07,0.07,0.07,0.07,0.06,0.69,300.0,300.0
1788840000,,,,,0.05,0.38,0.0,300.0
1788926400,,,,,0.05,0.1,0.0,300.0
1789012800,,,,,0.05,0.11,0.0,300.0
1789099200,0.12,0.12,0.12,0.12,0.05,0.1,0.15,300.15
1789185600,,,,,0.1,0.13,0.0,300.15
1789272000,0.06,0.08,0.05,0.07,0.05,0.07,275.98,576.13
1789358400,0.04,0.05,0.02,0.03,0.02,0.03,1926.66,2502.79
1789444800,0.03,0.03,0.02,0.02,0.01,0.02,4432.94,6935.73
1789531200,0.02,0.02,0.02,0.02,0.01,0.02,889.01,7824.74
1789617600,0.02,0.02,0.02,0.02,0.01,0.02,1275.24,9099.98
1789704000,0.02,0.02,0.02,0.02,0.01,0.02,9232.75,18332.73
1789790400,0.02,0.02,0.02,0.02,0.01,0.02,4016.65,22349.38
1789876800,0.02,0.18,0.01,0.01,0.0,0.01,1563976.01,1333529.54
