end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1788753600,,,,,0.08,0.71,0.0,0.0
1788840000,,,,,0.07,0.74,0.0,0.0
1788926400,0.07,0.07,0.07,0.07,0.07,0.23,0.53,0.53
1789012800,0.24,0.24,0.2,0.2,0.07,0.2,4.95,5.48
1789099200,0.2,0.2,0.2,0.2,0.07,0.21,0.14,5.62
1789185600,,,,,0.08,0.2,0.0,5.62
1789272000,,,,,0.07,0.2,0.0,5.62
1789358400,0.2,0.25,0.1,0.1,0.09,0.17,204.86,210.48
1789444800,0.14,0.15,0.06,0.06,0.05,0.06,976.08,1011.23
1789531200,0.06,0.07,0.05,0.05,0.04,0.05,1198.61,2162.84
1789617600,0.05,0.06,0.05,0.06,0.05,0.06,2810.03,4972.87
1789704000,0.06,0.07,0.05,0.06,0.05,0.06,2866.01,7704.45
1789790400,0.05,0.07,0.05,0.07,0.05,0.07,6288.5,13926.96
1789876800,0.07,0.24,0.03,0.05,0.04,0.05,1322866.25,1050409.07
