end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.31,0.31,0.31,0.31,0.25,0.38,2.0,2.0
1787803200,,,,,0.25,0.33,0.0,2.0
1787889600,0.33,0.33,0.33,0.33,0.23,0.27,2.89,4.89
1787976000,0.27,0.27,0.27,0.27,0.25,0.28,276.66,281.55
1788062400,0.27,0.29,0.26,0.28,0.26,0.28,524.72,670.27
1788148800,0.28,0.28,0.26,0.28,0.25,0.28,295.82,704.97
1788235200,0.27,0.28,0.27,0.28,0.25,0.27,1319.05,2024.02
1788321600,0.27,0.27,0.26,0.26,0.24,0.26,76.09,2100.11
1788408000,0.24,0.27,0.24,0.27,0.24,0.27,104.9,2139.68
1788494400,0.27,0.28,0.26,0.28,0.24,0.27,135.51,2275.19
1788580800,0.27,0.28,0.24,0.26,0.24,0.27,605.26,2584.45
1788667200,0.24,0.27,0.24,0.26,0.25,0.26,19.17,2587.62
1788753600,0.27,0.27,0.24,0.24,0.24,0.26,38.61,2608.23
1788840000,0.26,0.27,0.25,0.27,0.25,0.27,297.09,2810.09
1788926400,0.27,0.28,0.26,0.28,0.27,0.28,3120.83,4151.86
1789012800,0.28,0.29,0.27,0.28,0.27,0.28,330.42,4316.28
1789099200,0.28,0.29,0.27,0.29,0.28,0.29,316.87,4474.68
1789185600,0.29,0.29,0.28,0.29,0.28,0.29,125.96,4559.84
1789272000,0.29,0.3,0.28,0.3,0.28,0.3,719.28,5172.13
1789358400,0.29,0.33,0.28,0.28,0.27,0.28,2427.55,7405.98
1789444800,0.28,0.29,0.26,0.27,0.25,0.27,5175.06,11724.28
1789531200,0.27,0.28,0.25,0.28,0.27,0.28,4879.11,15848.32
1789617600,0.27,0.28,0.27,0.28,0.27,0.28,2679.42,18335.63
1789704000,0.28,0.28,0.27,0.28,0.27,0.28,3611.31,21289.65
1789790400,0.28,0.28,0.27,0.28,0.27,0.28,7131.1,28153.02
1789876800,0.28,0.29,0.27,0.29,0.28,0.29,17542.83,44843.16
1789963200,0.29,0.75,0.01,0.01,0.0,1.0,41346193.17,17852126.59
