end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,,,,,0.43,0.6,0.0,0.0
1787803200,0.6,0.6,0.6,0.6,0.56,0.6,25.17,25.17
1787889600,0.64,0.64,0.64,0.64,0.56,0.6,15.16,40.33
1787976000,0.56,0.58,0.56,0.58,0.55,0.58,112.37,148.33
1788062400,0.57,0.58,0.57,0.58,0.55,0.58,164.51,312.84
1788148800,0.55,0.57,0.55,0.57,0.55,0.57,313.65,533.71
1788235200,0.57,0.57,0.57,0.57,0.56,0.57,146.39,680.1
1788321600,0.57,0.58,0.57,0.57,0.56,0.57,46.07,726.17
1788408000,0.57,0.59,0.57,0.59,0.56,0.59,42.14,768.31
1788494400,0.59,0.59,0.56,0.56,0.56,0.58,161.99,850.3
1788580800,0.59,0.6,0.59,0.6,0.57,0.6,51.31,901.61
1788667200,0.61,0.61,0.6,0.6,0.57,0.6,44.92,946.53
1788753600,0.6,0.6,0.57,0.59,0.57,0.59,191.23,990.24
1788840000,0.59,0.6,0.59,0.6,0.57,0.6,288.23,1278.47
1788926400,0.6,0.6,0.58,0.58,0.57,0.58,131.74,1410.21
1789012800,0.58,0.59,0.58,0.58,0.57,0.58,198.7,1608.91
1789099200,0.58,0.59,0.57,0.59,0.57,0.58,339.27,1827.47
1789185600,0.59,0.59,0.58,0.58,0.57,0.59,168.91,1996.38
1789272000,0.59,0.61,0.57,0.6,0.57,0.6,270.22,2207.08
1789358400,0.59,0.61,0.53,0.57,0.56,0.57,1738.11,3730.65
1789444800,0.57,0.58,0.47,0.56,0.54,0.56,6465.91,9282.81
1789531200,0.56,0.59,0.54,0.59,0.58,0.59,35771.69,43981.1
1789617600,0.58,0.59,0.57,0.59,0.58,0.59,7066.26,50540.94
1789704000,0.59,0.59,0.58,0.59,0.58,0.59,12268.08,61588.1
1789790400,0.59,0.59,0.58,0.59,0.58,0.59,17234.15,77941.98
1789876800,0.59,0.59,0.58,0.59,0.58,0.59,56762.45,133472.57
