end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.23,0.77,0.16,0.16,0.16,0.23,641.6,616.31
1787803200,0.23,0.23,0.19,0.19,0.15,0.19,79.52,695.83
1787889600,0.19,0.19,0.19,0.19,0.15,0.22,4.0,699.83
1787976000,0.2,0.2,0.18,0.18,0.15,0.19,353.46,1053.29
1788062400,0.19,0.19,0.15,0.18,0.17,0.18,908.4,1927.69
1788148800,0.18,0.18,0.18,0.18,0.17,0.18,551.66,2479.35
1788235200,0.18,0.18,0.17,0.17,0.15,0.17,2634.41,5112.76
1788321600,0.17,0.18,0.17,0.18,0.16,0.18,155.36,5268.12
1788408000,0.18,0.19,0.17,0.19,0.16,0.17,596.52,5864.64
1788494400,0.17,0.19,0.17,0.17,0.16,0.17,254.16,6118.8
1788580800,0.17,0.2,0.16,0.18,0.15,0.17,282.92,6390.62
1788667200,0.17,0.19,0.15,0.15,0.15,0.16,726.88,7048.91
1788753600,0.16,0.17,0.15,0.17,0.15,0.17,594.15,7635.73
1788840000,0.16,0.17,0.15,0.16,0.15,0.16,193.39,7811.07
1788926400,0.16,0.17,0.14,0.15,0.14,0.15,3751.98,8127.68
1789012800,0.15,0.16,0.13,0.15,0.14,0.15,1993.87,8930.68
1789099200,0.15,0.16,0.13,0.14,0.13,0.14,4557.97,12132.02
1789185600,0.14,0.17,0.13,0.15,0.13,0.15,10693.83,21522.13
1789272000,0.14,0.16,0.12,0.14,0.13,0.14,9915.18,28914.27
1789358400,0.14,0.18,0.11,0.12,0.11,0.12,18525.99,40328.46
1789444800,0.11,0.12,0.1,0.12,0.11,0.12,33002.27,68718.21
1789531200,0.12,0.12,0.1,0.12,0.11,0.12,30845.98,96211.7
1789617600,0.12,0.12,0.11,0.11,0.11,0.12,40449.42,134694.07
1789704000,0.12,0.12,0.1,0.11,0.1,0.11,63420.65,191499.41
1789790400,0.11,0.11,0.1,0.11,0.1,0.11,55382.88,241401.27
1789876800,0.11,0.11,0.1,0.11,0.1,0.11,86446.34,320291.97
