end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,,,,,0.74,0.77,0.0,0.0
1787803200,0.77,0.77,0.77,0.77,0.68,0.76,82.9,82.9
1787889600,,,,,0.73,0.77,0.0,82.9
1787976000,0.76,0.76,0.73,0.76,0.73,0.76,53.98,136.88
1788062400,0.76,0.77,0.73,0.77,0.73,0.77,193.28,317.58
1788148800,0.77,0.77,0.74,0.77,0.74,0.77,140.85,428.43
1788235200,0.77,0.77,0.77,0.77,0.74,0.76,364.24,792.67
1788321600,0.76,0.77,0.74,0.76,0.74,0.76,117.1,889.83
1788408000,0.76,0.78,0.76,0.78,0.74,0.78,96.51,986.34
1788494400,0.77,0.77,0.74,0.74,0.74,0.76,14.0,995.34
1788580800,0.76,0.77,0.74,0.77,0.74,0.77,145.69,1125.67
1788667200,0.76,0.78,0.76,0.77,0.74,0.77,156.86,1259.27
1788753600,0.77,0.77,0.76,0.76,0.74,0.76,71.84,1331.11
1788840000,0.74,0.78,0.74,0.77,0.74,0.77,285.68,1566.3
1788926400,0.77,0.78,0.76,0.78,0.76,0.78,1298.8,2772.13
1789012800,0.78,0.79,0.77,0.78,0.77,0.78,592.78,3347.75
1789099200,0.78,0.79,0.77,0.79,0.78,0.79,1733.01,4890.96
1789185600,0.79,0.79,0.78,0.79,0.78,0.79,380.08,5206.17
1789272000,0.79,0.8,0.77,0.79,0.78,0.79,580.59,5779.52
1789358400,0.79,0.82,0.77,0.79,0.79,0.8,10325.28,13685.88
1789444800,0.8,0.8,0.78,0.8,0.79,0.8,10715.11,22782.54
1789531200,0.8,0.8,0.78,0.79,0.78,0.79,16705.46,37756.11
1789617600,0.79,0.79,0.78,0.79,0.78,0.79,21735.22,56340.99
1789704000,0.79,0.79,0.78,0.79,0.78,0.79,16954.28,70319.31
1789790400,0.79,0.79,0.78,0.79,0.78,0.79,35652.19,102037.36
1789876800,0.79,0.79,0.78,0.79,0.78,0.79,58182.41,150046.06
