end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,,,,,0.23,0.25,0.0,0.0
1787803200,,,,,0.23,0.29,0.0,0.0
1787889600,0.29,0.29,0.29,0.29,0.23,0.26,9.85,9.85
1787976000,0.27,0.27,0.23,0.27,0.24,0.27,272.32,267.17
1788062400,0.25,0.27,0.25,0.26,0.25,0.26,407.44,674.61
1788148800,0.27,0.27,0.23,0.25,0.23,0.25,3845.91,4475.52
1788235200,0.23,0.25,0.23,0.23,0.24,0.25,252.0,4637.52
1788321600,0.25,0.26,0.23,0.26,0.24,0.26,193.3,4795.82
1788408000,0.26,0.26,0.23,0.26,0.23,0.26,132.94,4860.76
1788494400,0.26,0.26,0.25,0.26,0.23,0.26,145.99,5006.75
1788580800,0.26,0.26,0.23,0.26,0.24,0.25,124.86,5082.05
1788667200,0.26,0.26,0.23,0.25,0.23,0.25,161.85,5241.9
1788753600,0.25,0.26,0.25,0.25,0.24,0.25,320.37,5559.27
1788840000,0.24,0.26,0.23,0.25,0.23,0.26,119.06,5630.37
1788926400,0.25,0.25,0.23,0.25,0.23,0.25,285.52,5887.79
1789012800,0.24,0.24,0.21,0.22,0.22,0.24,824.18,6691.97
1789099200,0.24,0.24,0.21,0.22,0.21,0.22,705.29,7396.64
1789185600,0.22,0.23,0.22,0.22,0.22,0.23,1266.64,8618.18
1789272000,0.23,0.23,0.21,0.22,0.21,0.22,1670.12,9555.24
1789358400,0.22,0.24,0.18,0.22,0.21,0.22,17847.67,20105.17
1789444800,0.22,0.22,0.2,0.22,0.21,0.22,21377.81,38316.48
1789531200,0.21,0.22,0.21,0.22,0.21,0.22,14714.69,52520.62
1789617600,0.22,0.22,0.21,0.22,0.21,0.22,25233.69,76933.18
1789704000,0.22,0.22,0.21,0.22,0.21,0.22,19334.67,94685.18
1789790400,0.22,0.22,0.21,0.22,0.21,0.22,29567.06,121594.81
1789876800,0.22,0.22,0.21,0.22,0.21,0.22,51456.54,170161.11
