end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.7,0.7,0.68,0.68,0.5,0.68,37.06,37.06
1787803200,0.68,0.68,0.65,0.67,0.65,0.67,154.17,187.63
1787889600,0.68,0.73,0.65,0.69,0.65,0.68,135.43,309.62
1787976000,0.65,0.66,0.63,0.63,0.63,0.66,149.46,397.62
1788062400,0.66,0.66,0.63,0.65,0.63,0.65,874.9,1215.82
1788148800,0.66,0.66,0.63,0.65,0.64,0.66,548.14,1735.96
1788235200,0.66,0.68,0.65,0.67,0.66,0.67,1541.1,3247.9
1788321600,0.66,0.67,0.66,0.67,0.66,0.67,180.88,3428.78
1788408000,0.68,0.68,0.64,0.67,0.64,0.67,540.25,3809.15
1788494400,0.67,0.67,0.65,0.67,0.65,0.67,160.96,3967.2
1788580800,0.67,0.69,0.66,0.67,0.65,0.67,146.36,4110.65
1788667200,0.67,0.67,0.66,0.67,0.65,0.67,200.17,4310.82
1788753600,0.67,0.68,0.65,0.66,0.65,0.66,206.73,4441.31
1788840000,0.66,0.67,0.65,0.65,0.65,0.66,1290.21,5517.46
1788926400,0.66,0.69,0.65,0.69,0.68,0.69,1844.48,6901.51
1789012800,0.69,0.7,0.67,0.7,0.69,0.7,665.0,7462.09
1789099200,0.7,0.71,0.68,0.7,0.69,0.7,1160.48,8207.96
1789185600,0.7,0.71,0.69,0.71,0.7,0.71,2042.67,10050.99
1789272000,0.71,0.72,0.69,0.72,0.71,0.72,26520.99,36104.94
1789358400,0.72,0.81,0.69,0.77,0.75,0.77,45741.14,71359.88
1789444800,0.77,0.77,0.75,0.76,0.75,0.76,56617.75,117875.52
1789531200,0.76,0.77,0.75,0.76,0.75,0.76,258349.01,358906.54
1789617600,0.76,0.76,0.75,0.76,0.75,0.76,63501.19,414909.28
1789704000,0.76,0.77,0.75,0.76,0.75,0.76,114322.01,519447.19
1789790400,0.75,0.76,0.75,0.76,0.75,0.76,444529.86,716106.62
1789876800,0.76,0.76,0.75,0.76,0.75,0.76,292193.33,920316.29
