end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,,,,,0.26,0.36,0.0,0.0
1787803200,,,,,0.3,0.37,0.0,0.0
1787889600,0.38,0.38,0.34,0.34,0.28,0.33,27.81,27.81
1787976000,0.37,0.37,0.34,0.35,0.32,0.35,283.21,311.02
1788062400,0.35,0.36,0.32,0.35,0.32,0.35,1027.02,1300.99
1788148800,0.36,0.36,0.32,0.32,0.32,0.34,411.82,1645.49
1788235200,0.32,0.34,0.32,0.34,0.32,0.34,287.87,1869.28
1788321600,0.34,0.34,0.32,0.34,0.32,0.34,420.94,2135.98
1788408000,0.34,0.35,0.34,0.35,0.31,0.35,224.16,2360.14
1788494400,0.35,0.35,0.34,0.35,0.31,0.34,280.16,2586.28
1788580800,0.32,0.34,0.32,0.33,0.32,0.34,1180.91,3739.87
1788667200,0.34,0.34,0.32,0.33,0.31,0.33,447.64,4122.18
1788753600,0.33,0.34,0.31,0.33,0.32,0.33,906.34,4820.52
1788840000,0.33,0.33,0.32,0.33,0.32,0.33,178.65,4977.57
1788926400,0.33,0.38,0.32,0.34,0.32,0.34,7289.71,11778.8
1789012800,0.34,0.37,0.32,0.36,0.35,0.36,2940.8,13810.55
1789099200,0.35,0.4,0.32,0.36,0.35,0.36,5354.38,18303.23
1789185600,0.36,0.42,0.35,0.38,0.36,0.38,6004.27,23717.72
1789272000,0.37,0.4,0.36,0.38,0.37,0.38,2510.58,25853.49
1789358400,0.38,0.42,0.31,0.32,0.31,0.32,24900.76,47552.43
1789444800,0.32,0.33,0.3,0.33,0.32,0.33,44331.39,87481.37
1789531200,0.33,0.33,0.32,0.33,0.32,0.33,46419.34,131179.0
1789617600,0.33,0.33,0.31,0.33,0.32,0.33,38825.04,167759.19
1789704000,0.33,0.33,0.31,0.32,0.31,0.32,98605.41,258230.57
1789790400,0.32,0.32,0.31,0.32,0.31,0.32,88485.26,337263.99
1789876800,0.32,0.32,0.31,0.32,0.31,0.32,140077.83,465154.73
