end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.77,0.8,0.77,0.8,0.69,0.8,302.0,302.0
1787803200,0.8,0.81,0.8,0.81,0.8,0.84,65.1,367.1
1787889600,0.85,0.85,0.83,0.83,0.79,0.84,36.0,402.1
1787976000,0.84,0.84,0.79,0.83,0.8,0.83,76.25,463.63
1788062400,0.83,0.83,0.83,0.83,0.8,0.83,281.43,744.06
1788148800,0.83,0.83,0.79,0.83,0.8,0.83,226.87,805.15
1788235200,0.83,0.83,0.83,0.83,0.81,0.83,152.82,957.97
1788321600,0.83,0.83,0.83,0.83,0.8,0.83,58.81,1016.78
1788408000,0.83,0.83,0.83,0.83,0.8,0.83,44.76,1061.54
1788494400,0.83,0.83,0.83,0.83,0.8,0.83,6.91,1068.45
1788580800,0.83,0.83,0.8,0.83,0.8,0.83,130.54,1079.93
1788667200,0.83,0.83,0.83,0.83,0.8,0.82,62.56,1142.49
1788753600,0.82,0.82,0.8,0.82,0.8,0.82,164.55,1282.47
1788840000,0.82,0.83,0.82,0.83,0.8,0.83,49.23,1331.7
1788926400,0.82,0.83,0.79,0.82,0.8,0.82,209.7,1470.71
1789012800,0.82,0.83,0.73,0.74,0.71,0.74,1287.29,2553.11
1789099200,0.74,0.77,0.71,0.76,0.75,0.76,3370.85,5306.28
1789185600,0.76,0.83,0.73,0.82,0.81,0.82,2649.3,7424.17
1789272000,0.81,0.83,0.74,0.76,0.74,0.76,3884.92,9610.73
1789358400,0.76,0.85,0.66,0.68,0.66,0.68,11752.83,16301.26
1789444800,0.68,0.68,0.66,0.67,0.66,0.67,13558.03,28320.29
1789531200,0.67,0.67,0.65,0.66,0.65,0.66,17507.05,44542.47
1789617600,0.66,0.66,0.65,0.66,0.65,0.66,21846.77,65318.59
1789704000,0.66,0.66,0.65,0.66,0.65,0.66,24594.26,89441.61
1789790400,0.66,0.66,0.65,0.66,0.65,0.66,28464.57,116738.75
1789876800,0.65,0.66,0.65,0.66,0.65,0.66,46370.48,156526.28
