end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.66,0.66,0.66,0.66,0.25,0.66,14.79,14.79
1787803200,0.66,0.67,0.66,0.66,0.61,0.66,16.69,31.48
1787889600,0.66,0.76,0.66,0.67,0.61,0.67,90.64,122.12
1787976000,0.67,0.67,0.63,0.66,0.63,0.66,316.59,438.71
1788062400,0.66,0.67,0.64,0.65,0.64,0.65,318.52,679.08
1788148800,0.65,0.66,0.65,0.66,0.64,0.66,545.18,1224.26
1788235200,0.66,0.66,0.66,0.66,0.64,0.66,376.57,1600.83
1788321600,0.66,0.66,0.66,0.66,0.64,0.66,142.31,1743.14
1788408000,0.64,0.67,0.64,0.66,0.62,0.66,78.01,1784.55
1788494400,0.66,0.66,0.66,0.66,0.63,0.66,229.12,2013.67
1788580800,0.65,0.66,0.63,0.66,0.63,0.66,177.78,2163.45
1788667200,0.66,0.66,0.62,0.63,0.63,0.66,234.05,2305.95
1788753600,0.67,0.67,0.63,0.63,0.63,0.66,413.02,2602.43
1788840000,0.65,0.66,0.63,0.66,0.64,0.66,178.84,2778.8
1788926400,0.65,0.67,0.65,0.67,0.65,0.67,1093.54,3845.87
1789012800,0.67,0.69,0.65,0.68,0.65,0.67,3773.94,7585.87
1789099200,0.67,0.69,0.65,0.68,0.66,0.68,591.21,7973.92
1789185600,0.68,0.7,0.66,0.68,0.66,0.68,286.74,8237.38
1789272000,0.68,0.69,0.66,0.68,0.66,0.67,1434.18,9557.68
1789358400,0.67,0.78,0.43,0.59,0.57,0.59,42023.14,26249.37
1789444800,0.59,0.66,0.59,0.66,0.65,0.66,17881.51,35943.34
1789531200,0.66,0.66,0.64,0.66,0.65,0.66,10818.73,44516.71
1789617600,0.66,0.66,0.65,0.66,0.65,0.66,11744.16,55717.91
1789704000,0.66,0.66,0.65,0.66,0.65,0.66,22298.52,69201.46
1789790400,0.66,0.66,0.65,0.66,0.65,0.66,31269.53,98571.77
1789876800,0.66,0.66,0.65,0.66,0.65,0.66,41228.73,137677.11
