end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1787716800,0.24,0.59,0.24,0.39,0.26,0.39,23.23,21.94
1787803200,,,,,0.34,0.4,0.0,21.94
1787889600,0.38,0.39,0.38,0.39,0.35,0.39,125.18,147.12
1787976000,0.38,0.38,0.36,0.36,0.35,0.36,94.23,241.35
1788062400,0.36,0.37,0.35,0.36,0.35,0.36,244.07,435.42
1788148800,0.36,0.37,0.36,0.36,0.35,0.36,111.75,547.17
1788235200,0.36,0.36,0.36,0.36,0.35,0.36,26.58,573.75
1788321600,0.36,0.36,0.36,0.36,0.35,0.36,177.82,751.57
1788408000,0.35,0.38,0.34,0.38,0.34,0.38,86.35,765.49
1788494400,0.37,0.38,0.37,0.38,0.34,0.36,2.5,766.0
1788580800,0.36,0.37,0.36,0.37,0.34,0.36,60.92,826.92
1788667200,0.37,0.37,0.34,0.36,0.34,0.36,81.04,895.45
1788753600,0.36,0.36,0.34,0.36,0.34,0.37,176.81,979.22
1788840000,0.37,0.37,0.34,0.36,0.34,0.36,33.7,1007.75
1788926400,0.37,0.37,0.34,0.35,0.34,0.35,229.72,1205.89
1789012800,0.35,0.35,0.32,0.35,0.34,0.35,169.97,1239.13
1789099200,0.35,0.35,0.31,0.35,0.32,0.35,240.51,1426.56
1789185600,0.34,0.35,0.31,0.34,0.33,0.34,154.54,1551.98
1789272000,0.35,0.35,0.32,0.34,0.32,0.34,173.79,1676.59
1789358400,0.34,0.45,0.25,0.44,0.42,0.44,8440.48,6918.31
1789444800,0.42,0.42,0.35,0.36,0.35,0.36,20913.23,25019.0
1789531200,0.36,0.36,0.34,0.34,0.34,0.35,21085.48,43970.38
1789617600,0.35,0.36,0.34,0.34,0.34,0.35,14528.92,58034.37
1789704000,0.35,0.36,0.34,0.35,0.34,0.35,19677.32,75373.51
1789790400,0.35,0.35,0.34,0.35,0.34,0.35,111449.16,168222.05
1789876800,0.35,0.35,0.34,0.35,0.34,0.35,52698.08,216666.65
