end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789783200,,,,,0.1,0.9,0.0,0.0
1789786800,,,,,0.11,0.82,0.0,0.0
1789790400,,,,,0.11,0.82,0.0,0.0
1789794000,,,,,0.11,0.82,0.0,0.0
1789797600,,,,,0.14,0.82,0.0,0.0
1789801200,,,,,0.16,0.82,0.0,0.0
1789804800,,,,,0.16,0.82,0.0,0.0
1789808400,,,,,0.17,0.82,0.0,0.0
1789812000,0.27,0.27,0.22,0.22,0.36,0.81,2.0,2.0
1789815600,,,,,0.13,0.81,0.0,2.0
1789819200,,,,,0.15,0.81,0.0,2.0
1789822800,,,,,0.16,0.81,0.0,2.0
1789826400,,,,,0.18,0.6,0.0,2.0
1789830000,,,,,0.3,0.6,0.0,2.0
1789833600,,,,,0.32,0.46,0.0,2.0
1789840800,,,,,0.32,0.64,0.0,2.0
1789844400,,,,,0.32,0.46,0.0,2.0
1789848000,,,,,0.32,0.46,0.0,2.0
1789862400,,,,,0.36,0.42,0.0,2.0
1789866000,,,,,0.37,0.42,0.0,2.0
1789884000,,,,,0.39,0.42,0.0,2.0
1789898400,,,,,0.39,0.43,0.0,2.0
1789902000,,,,,0.39,0.43,0.0,2.0
1789905600,,,,,0.4,0.42,0.0,2.0
1789909200,,,,,0.4,0.43,0.0,2.0
1789927200,,,,,0.4,0.43,0.0,2.0
1789930800,,,,,0.4,0.43,0.0,2.0
1789934400,,,,,0.4,0.43,0.0,2.0
1789941600,,,,,0.4,0.43,0.0,2.0
1789948800,,,,,0.4,0.43,0.0,2.0
1789952400,,,,,0.4,0.43,0.0,2.0
1789956000,,,,,0.4,0.43,0.0,2.0
1789959600,,,,,0.4,0.43,0.0,2.0
1789963200,,,,,0.4,0.43,0.0,2.0
1789966800,0.43,0.43,0.43,0.43,0.4,0.44,6.7,8.7
1789984800,,,,,0.4,0.44,0.0,8.7
1789988400,,,,,0.4,0.44,0.0,8.7
1789992000,,,,,0.4,0.44,0.0,8.7
1789999200,,,,,0.4,0.44,0.0,8.7
1790006400,,,,,0.4,0.44,0.0,8.7
1790010000,,,,,0.39,0.43,0.0,8.7
1790013600,,,,,0.39,0.43,0.0,8.7
1790017200,,,,,0.39,0.43,0.0,8.7
1790020800,,,,,0.39,0.43,0.0,8.7
1790024400,,,,,0.39,0.43,0.0,8.7
1790028000,,,,,0.4,0.43,0.0,8.7
1790031600,,,,,0.39,0.43,0.0,8.7
1790035200,,,,,0.39,0.43,0.0,8.7
1790038800,,,,,0.4,0.44,0.0,8.7
1790042400,,,,,0.4,0.44,0.0,8.7
1790046000,0.44,0.44,0.43,0.43,0.4,0.43,17.84,26.54
1790049600,,,,,0.4,0.43,0.0,26.54
1790053200,,,,,0.39,0.41,0.0,26.54
1790056800,0.39,0.39,0.38,0.38,0.37,0.38,22.05,48.59
1790060400,,,,,0.37,0.38,0.0,48.59
1790064000,0.37,0.38,0.37,0.38,0.37,0.38,34.78,61.32
1790067600,,,,,0.37,0.38,0.0,61.32
1790071200,,,,,0.37,0.38,0.0,61.32
1790074800,,,,,0.37,0.38,0.0,61.32
1790078400,,,,,0.37,0.38,0.0,61.32
1790082000,,,,,0.37,0.38,0.0,61.32
1790085600,0.35,0.35,0.31,0.34,0.26,0.3,478.0,505.54
1790089200,0.29,0.29,0.29,0.29,0.26,0.3,30.0,528.84
1790092800,0.3,0.3,0.27,0.28,0.27,0.28,33.89,559.56
1790096400,0.28,0.28,0.28,0.28,0.26,0.28,10.0,569.56
1790100000,0.28,0.28,0.28,0.28,0.26,0.28,8.4,577.96
1790103600,0.28,0.28,0.28,0.28,0.27,0.28,679.6,1257.56
1790107200,0.28,0.28,0.28,0.28,0.26,0.28,100.0,1357.56
1790110800,0.27,0.28,0.27,0.27,0.26,0.27,134.35,1491.91
1790114400,0.27,0.29,0.27,0.29,0.29,0.3,12522.33,13967.89
1790118000,0.3,0.3,0.29,0.3,0.29,0.3,761.98,14729.87
1790121600,0.3,0.35,0.25,0.33,0.32,0.33,3866.28,18346.93
1790125200,0.33,0.38,0.02,0.03,0.02,0.03,9403.88,21842.17
1790128800,0.02,0.03,0.01,0.01,0.0,1.0,6633.56,27437.43
