end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789783200,,,,,0.1,0.9,0.0,0.0
1789786800,,,,,0.1,0.82,0.0,0.0
1789790400,,,,,0.11,0.82,0.0,0.0
1789794000,,,,,0.12,0.82,0.0,0.0
1789797600,,,,,0.15,0.82,0.0,0.0
1789801200,,,,,0.16,0.82,0.0,0.0
1789804800,,,,,0.16,0.82,0.0,0.0
1789808400,,,,,0.17,0.82,0.0,0.0
1789812000,,,,,0.17,0.82,0.0,0.0
1789815600,,,,,0.16,0.82,0.0,0.0
1789819200,,,,,0.16,0.82,0.0,0.0
1789822800,,,,,0.16,0.82,0.0,0.0
1789826400,,,,,0.41,0.48,0.0,0.0
1789830000,,,,,0.41,0.48,0.0,0.0
1789833600,,,,,0.41,0.48,0.0,0.0
1789837200,,,,,0.41,0.48,0.0,0.0
1789840800,,,,,0.41,0.49,0.0,0.0
1789844400,,,,,0.41,0.47,0.0,0.0
1789848000,,,,,0.41,0.61,0.0,0.0
1789851600,,,,,0.41,0.61,0.0,0.0
1789855200,,,,,0.31,0.49,0.0,0.0
1789858800,,,,,0.41,0.49,0.0,0.0
1789862400,,,,,0.42,0.6,0.0,0.0
1789866000,,,,,0.42,0.56,0.0,0.0
1789869600,,,,,0.43,0.53,0.0,0.0
1789884000,,,,,0.44,0.53,0.0,0.0
1789887600,,,,,0.45,0.54,0.0,0.0
1789905600,,,,,0.45,0.54,0.0,0.0
1789920000,,,,,0.45,0.6,0.0,0.0
1789923600,0.58,0.58,0.58,0.58,0.42,0.63,3.0,3.0
1789927200,,,,,0.49,0.58,0.0,3.0
1789930800,,,,,0.49,0.56,0.0,3.0
1789934400,0.52,0.52,0.52,0.52,0.5,0.56,6.0,8.0
1789938000,,,,,0.5,0.56,0.0,8.0
1789941600,,,,,0.49,0.56,0.0,8.0
1789945200,,,,,0.48,0.55,0.0,8.0
1789948800,,,,,0.51,0.56,0.0,8.0
1789952400,0.5,0.5,0.46,0.46,0.45,0.49,56.53,61.53
1789956000,0.48,0.48,0.48,0.48,0.44,0.48,6.0,55.53
1789959600,,,,,0.44,0.47,0.0,55.53
1789963200,,,,,0.43,0.49,0.0,55.53
1789966800,0.49,0.49,0.49,0.49,0.43,0.5,51.0,56.0
1789970400,,,,,0.43,0.5,0.0,56.0
1789974000,0.49,0.49,0.49,0.49,0.43,0.49,38.0,94.0
1789977600,0.49,0.49,0.49,0.49,0.44,0.49,49.0,143.0
1789981200,,,,,0.43,0.48,0.0,143.0
1789984800,,,,,0.43,0.47,0.0,143.0
1789988400,,,,,0.42,0.46,0.0,143.0
1789992000,,,,,0.43,0.46,0.0,143.0
1789995600,,,,,0.43,0.46,0.0,143.0
1789999200,,,,,0.43,0.46,0.0,143.0
1790002800,,,,,0.43,0.46,0.0,143.0
1790006400,0.47,0.48,0.47,0.48,0.45,0.48,68.05,211.05
1790010000,,,,,0.45,0.48,0.0,211.05
1790013600,0.48,0.48,0.48,0.48,0.45,0.48,9.0,220.05
1790017200,,,,,0.45,0.48,0.0,220.05
1790020800,,,,,0.45,0.48,0.0,220.05
1790024400,0.47,0.48,0.47,0.48,0.45,0.48,118.04,338.09
1790028000,,,,,0.45,0.48,0.0,338.09
1790031600,0.48,0.48,0.48,0.48,0.45,0.48,79.0,417.09
1790035200,0.48,0.49,0.48,0.49,0.47,0.5,347.0,764.09
1790038800,0.49,0.5,0.49,0.5,0.47,0.49,326.79,1090.88
1790042400,,,,,0.46,0.49,0.0,1090.88
1790046000,0.46,0.49,0.39,0.39,0.37,0.39,891.12,1575.43
1790049600,0.39,0.42,0.39,0.42,0.34,0.39,124.72,1697.87
1790053200,0.4,0.41,0.4,0.41,0.35,0.42,10.0,1702.87
1790056800,0.41,0.41,0.41,0.41,0.36,0.4,7.02,1709.89
1790060400,,,,,0.36,0.4,0.0,1709.89
1790064000,,,,,0.37,0.4,0.0,1709.89
1790067600,,,,,0.36,0.4,0.0,1709.89
1790071200,0.4,0.4,0.4,0.4,0.36,0.4,11.99,1721.88
1790074800,0.4,0.4,0.4,0.4,0.36,0.39,23.99,1745.87
1790078400,0.39,0.4,0.39,0.4,0.36,0.4,55.28,1801.15
1790082000,0.4,0.45,0.39,0.45,0.37,0.4,835.76,2631.91
1790085600,0.4,0.41,0.31,0.31,0.31,0.32,115.54,2722.61
1790089200,0.32,0.34,0.32,0.34,0.32,0.34,140.34,2862.95
1790092800,0.34,0.35,0.32,0.32,0.31,0.32,503.35,3339.93
1790096400,0.32,0.32,0.32,0.32,0.31,0.32,93.72,3433.65
1790100000,0.31,0.31,0.28,0.3,0.28,0.3,2269.87,3983.18
1790103600,0.3,0.3,0.28,0.28,0.28,0.29,1185.58,5165.76
1790107200,0.28,0.3,0.28,0.3,0.28,0.3,303.74,5442.5
1790110800,0.3,0.3,0.28,0.29,0.28,0.29,754.27,6193.77
1790114400,0.29,0.3,0.29,0.3,0.29,0.3,48649.06,53594.09
1790118000,0.3,0.3,0.29,0.3,0.29,0.3,1524.34,54744.97
1790121600,0.3,0.33,0.12,0.21,0.18,0.22,5832.12,59497.56
1790125200,0.22,0.42,0.12,0.37,0.34,0.37,11307.67,68154.97
1790128800,0.38,0.99,0.36,0.99,0.99,1.0,37462.26,87840.79
