end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789873200,,,,,0.13,0.87,0.0,0.0
1789876800,0.87,0.87,0.87,0.87,0.13,0.87,1.13,1.13
1789887600,,,,,0.13,0.87,0.0,1.13
1789891200,,,,,0.4,0.85,0.0,1.13
1789898400,0.85,0.87,0.85,0.87,0.4,0.87,114.0,115.13
1789902000,,,,,0.4,0.87,0.0,115.13
1789905600,,,,,0.4,0.87,0.0,115.13
1789909200,,,,,0.41,0.87,0.0,115.13
1789912800,,,,,0.76,0.81,0.0,115.13
1789916400,,,,,0.77,0.81,0.0,115.13
1789920000,,,,,0.77,0.81,0.0,115.13
1789923600,0.81,0.81,0.81,0.81,0.77,0.81,45.93,161.06
1789927200,,,,,0.77,0.81,0.0,161.06
1789930800,0.81,0.81,0.81,0.81,0.77,0.81,5.0,166.06
1789934400,,,,,0.77,0.81,0.0,166.06
1789938000,0.81,0.81,0.81,0.81,0.77,0.81,6.0,172.06
1789941600,0.77,0.81,0.77,0.81,0.77,0.81,67.09,238.15
1789945200,0.81,0.81,0.81,0.81,0.77,0.81,49.27,287.42
1789948800,0.81,0.81,0.81,0.81,0.77,0.81,32.0,319.42
1789952400,0.81,0.83,0.81,0.83,0.83,0.84,1439.94,1709.36
1789956000,0.84,0.84,0.83,0.83,0.83,0.84,215.63,1841.43
1789959600,0.83,0.83,0.83,0.83,0.83,0.84,65.4,1906.83
1789963200,0.83,0.83,0.75,0.79,0.79,0.8,263.11,2040.46
1789966800,0.8,0.81,0.78,0.81,0.79,0.81,126.74,2061.43
1789970400,0.8,0.81,0.8,0.81,0.81,0.83,29.36,2088.49
1789974000,0.83,0.83,0.83,0.83,0.81,0.83,35.16,2088.49
1789977600,,,,,0.8,0.83,0.0,2088.49
1789981200,,,,,0.81,0.83,0.0,2088.49
1789984800,0.83,0.83,0.83,0.83,0.81,0.83,1.0,2088.49
1789988400,0.83,0.83,0.83,0.83,0.81,0.83,158.0,2232.65
1789992000,0.83,0.87,0.83,0.87,0.86,0.87,3467.42,5655.9
1789995600,0.87,0.87,0.87,0.87,0.86,0.87,6.13,5662.03
1789999200,0.85,0.85,0.84,0.84,0.85,0.87,6.23,5667.03
1790002800,0.86,0.86,0.86,0.86,0.85,0.86,11.51,5678.54
1790006400,0.86,0.87,0.86,0.87,0.86,0.87,42.51,5721.05
1790010000,,,,,0.86,0.87,0.0,5721.05
1790013600,0.87,0.87,0.87,0.87,0.86,0.87,102.18,5823.23
1790017200,0.87,0.87,0.87,0.87,0.86,0.87,39.86,5863.09
1790020800,0.87,0.88,0.87,0.88,0.88,0.89,6833.23,12696.32
1790024400,0.89,0.89,0.89,0.89,0.88,0.89,536.51,13232.83
1790028000,0.89,0.89,0.87,0.87,0.88,0.89,268.58,13331.99
1790031600,0.89,0.89,0.87,0.87,0.88,0.89,633.64,13544.99
1790035200,0.89,0.9,0.86,0.9,0.88,0.89,1594.46,14308.01
1790038800,0.89,0.92,0.88,0.89,0.9,0.91,1775.43,15127.23
1790042400,0.91,0.91,0.91,0.91,0.9,0.91,27.56,15154.79
1790046000,0.91,0.91,0.9,0.91,0.9,0.91,4447.26,14741.21
1790049600,0.91,0.92,0.9,0.92,0.91,0.92,5616.41,18472.63
1790053200,0.92,0.92,0.91,0.92,0.91,0.92,1603.63,20059.54
1790056800,0.92,0.92,0.92,0.92,0.91,0.92,1819.35,21878.89
1790060400,0.92,0.92,0.91,0.91,0.91,0.92,85.24,21915.97
1790064000,0.92,0.92,0.92,0.92,0.91,0.92,5373.89,27289.86
1790067600,0.92,0.92,0.92,0.92,0.91,0.92,459.55,27749.41
1790071200,0.92,0.92,0.92,0.92,0.91,0.92,5.0,27754.41
1790074800,0.92,0.92,0.91,0.92,0.91,0.92,1921.68,29234.84
1790078400,0.92,0.92,0.91,0.92,0.91,0.92,1770.58,30991.27
1790082000,0.92,0.92,0.91,0.92,0.91,0.92,361.58,31352.85
1790085600,0.92,0.92,0.91,0.92,0.91,0.92,290.6,31643.45
1790089200,0.92,0.92,0.92,0.92,0.91,0.92,451.89,32095.34
1790092800,0.92,0.92,0.91,0.91,0.91,0.92,4787.68,36854.91
1790096400,0.92,0.93,0.91,0.93,0.92,0.93,2177.26,38967.33
1790100000,0.93,0.93,0.92,0.93,0.92,0.93,1035.13,39928.43
1790103600,0.93,0.93,0.92,0.93,0.92,0.93,941.31,40806.36
1790107200,0.93,0.93,0.93,0.93,0.92,0.93,484.73,41087.82
1790110800,0.92,0.93,0.92,0.93,0.92,0.93,1140.29,41986.0
1790114400,0.93,0.93,0.93,0.93,0.92,0.93,881.58,42867.58
1790118000,0.93,0.93,0.92,0.93,0.92,0.93,2363.45,45193.58
1790121600,0.93,0.94,0.92,0.94,0.93,0.94,1932.16,47043.3
1790125200,0.94,0.94,0.93,0.94,0.93,0.94,12576.1,51159.62
1790128800,0.94,0.94,0.92,0.93,0.92,0.93,24294.88,74550.4
1790132400,0.93,0.99,0.89,0.95,0.94,0.95,166870.85,197845.0
1790136000,0.95,0.99,0.92,0.99,0.99,1.0,111590.96,279219.93
