end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789952400,,,,,0.45,0.8,0.0,0.0
1789956000,0.45,0.45,0.45,0.45,0.45,0.6,7.0,7.0
1789959600,0.6,0.63,0.6,0.63,0.44,0.59,15.82,22.82
1789963200,,,,,0.45,0.55,0.0,22.82
1789966800,0.45,0.45,0.44,0.44,0.44,0.51,16.47,39.29
1789970400,,,,,0.44,0.5,0.0,39.29
1789974000,0.5,0.5,0.45,0.45,0.45,0.51,33.59,72.88
1789977600,0.45,0.45,0.45,0.45,0.45,0.51,9.59,72.88
1789981200,0.51,0.54,0.51,0.54,0.46,0.54,116.66,144.48
1789984800,,,,,0.47,0.53,0.0,144.48
1789988400,0.54,0.55,0.54,0.54,0.47,0.54,118.0,262.48
1789992000,0.54,0.54,0.54,0.54,0.47,0.52,8.97,271.45
1789995600,0.52,0.52,0.48,0.52,0.49,0.51,93.69,333.14
1789999200,0.52,0.52,0.52,0.52,0.48,0.51,10.0,343.14
1790002800,0.51,0.53,0.51,0.53,0.49,0.53,45.76,388.9
1790006400,0.52,0.52,0.52,0.52,0.49,0.52,1.0,389.9
1790010000,0.52,0.52,0.52,0.52,0.49,0.52,14.4,404.3
1790013600,0.52,0.52,0.49,0.49,0.48,0.52,22.34,426.64
1790017200,0.52,0.52,0.52,0.52,0.5,0.52,5.48,432.12
1790020800,0.53,0.54,0.5,0.53,0.49,0.53,304.63,708.26
1790024400,0.47,0.5,0.45,0.45,0.45,0.49,104.64,747.9
1790028000,0.5,0.5,0.5,0.5,0.48,0.5,159.41,907.31
1790031600,0.5,0.5,0.5,0.5,0.49,0.5,38.64,945.95
1790035200,0.5,0.5,0.5,0.5,0.49,0.5,96.61,1042.56
1790038800,0.51,0.52,0.48,0.48,0.48,0.5,138.34,1034.32
1790042400,0.48,0.48,0.46,0.47,0.47,0.5,161.7,887.62
1790046000,0.47,0.49,0.47,0.49,0.49,0.51,65.23,841.91
1790049600,0.49,0.49,0.47,0.47,0.46,0.48,14.88,827.77
1790053200,0.49,0.49,0.49,0.49,0.47,0.49,39.4,867.17
1790056800,0.49,0.49,0.47,0.47,0.47,0.48,137.92,965.69
1790060400,0.48,0.48,0.48,0.48,0.46,0.48,6.0,971.69
1790064000,,,,,0.47,0.48,0.0,971.69
1790067600,0.48,0.48,0.48,0.48,0.47,0.48,149.98,1121.67
1790071200,,,,,0.47,0.48,0.0,1121.67
1790074800,,,,,0.47,0.48,0.0,1121.67
1790078400,0.48,0.48,0.48,0.48,0.47,0.48,174.88,1296.55
1790082000,0.48,0.48,0.48,0.48,0.49,0.5,2439.18,3735.73
1790085600,0.5,0.5,0.5,0.5,0.49,0.5,13.52,3749.25
1790089200,0.5,0.5,0.5,0.5,0.49,0.5,42.0,3791.25
1790092800,0.5,0.5,0.5,0.5,0.49,0.5,10.0,3801.25
1790096400,0.5,0.5,0.5,0.5,0.49,0.5,8.0,3803.73
1790100000,0.5,0.5,0.5,0.5,0.5,0.51,57.3,3827.15
1790103600,0.51,0.51,0.51,0.51,0.5,0.51,206.0,3981.71
1790107200,0.51,0.53,0.51,0.53,0.51,0.52,25.11,4006.82
1790110800,,,,,0.51,0.53,0.0,4006.82
1790114400,0.51,0.51,0.51,0.51,0.51,0.52,43.47,4006.82
1790118000,0.52,0.52,0.52,0.52,0.51,0.53,18.6,4006.82
1790121600,0.53,0.53,0.52,0.52,0.51,0.53,18.99,4025.81
1790125200,0.52,0.53,0.51,0.52,0.51,0.52,644.73,4577.26
1790128800,0.52,0.53,0.52,0.53,0.52,0.53,10427.5,14947.85
1790132400,0.53,0.54,0.53,0.54,0.53,0.54,7756.07,22439.18
1790136000,0.54,0.55,0.53,0.55,0.54,0.55,3132.15,25437.47
1790139600,0.55,0.56,0.54,0.56,0.54,0.55,1939.95,26912.78
1790143200,0.54,0.57,0.54,0.57,0.56,0.57,26280.05,53105.85
1790146800,0.57,0.57,0.56,0.56,0.55,0.56,598.49,53704.34
1790150400,0.56,0.56,0.54,0.55,0.54,0.55,864.88,54525.65
1790154000,0.55,0.55,0.54,0.55,0.54,0.55,142.94,54616.63
1790157600,0.55,0.55,0.55,0.55,0.54,0.55,501.77,55118.4
1790161200,0.55,0.55,0.54,0.55,0.54,0.55,1040.07,55840.03
1790164800,0.56,0.56,0.55,0.56,0.55,0.56,10675.45,65180.13
1790168400,0.55,0.57,0.55,0.55,0.55,0.56,4079.18,68790.0
1790172000,0.56,0.56,0.55,0.56,0.55,0.56,1174.87,69868.9
1790175600,0.56,0.56,0.56,0.56,0.55,0.56,13013.03,82881.93
1790179200,0.56,0.57,0.55,0.56,0.55,0.56,12849.56,95239.1
1790182800,0.56,0.56,0.55,0.56,0.55,0.56,14743.68,109940.8
1790186400,0.56,0.56,0.42,0.43,0.42,0.43,75541.71,145363.8
1790190000,0.43,0.43,0.42,0.43,0.42,0.43,8771.53,152204.76
1790193600,0.43,0.43,0.42,0.43,0.42,0.43,12252.77,163322.21
1790197200,0.43,0.43,0.41,0.42,0.41,0.42,7876.04,168273.19
1790200800,0.42,0.42,0.39,0.4,0.39,0.4,25251.55,176853.2
1790204400,0.4,0.4,0.36,0.38,0.37,0.38,46781.45,189766.98
1790208000,0.38,0.38,0.34,0.35,0.34,0.35,74442.15,248689.69
1790211600,0.35,0.46,0.07,0.08,0.07,0.08,617803.56,670597.22
1790215200,0.08,0.13,0.01,0.07,0.07,0.08,615430.91,966337.92
