end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789959600,,,,,0.14,0.87,0.0,0.0
1789963200,0.87,0.87,0.87,0.87,0.14,0.87,1.13,1.13
1789966800,0.74,0.74,0.74,0.74,0.72,0.74,1.32,2.45
1789970400,0.74,0.74,0.74,0.74,0.7,0.75,43.27,45.72
1789974000,0.75,0.75,0.75,0.75,0.73,0.75,10.0,55.72
1789977600,,,,,0.71,0.75,0.0,55.72
1789981200,,,,,0.71,0.75,0.0,55.72
1789984800,,,,,0.73,0.75,0.0,55.72
1789988400,,,,,0.73,0.75,0.0,55.72
1789992000,0.75,0.75,0.75,0.75,0.73,0.75,6.56,62.28
1789995600,0.75,0.75,0.75,0.75,0.73,0.75,1.3,63.58
1789999200,0.75,0.75,0.75,0.75,0.73,0.75,12.0,75.58
1790002800,0.75,0.77,0.75,0.77,0.74,0.77,716.95,792.5
1790006400,0.77,0.77,0.77,0.77,0.74,0.77,13.78,806.28
1790010000,0.77,0.77,0.77,0.77,0.74,0.77,25.57,831.85
1790013600,,,,,0.74,0.77,0.0,831.85
1790017200,,,,,0.74,0.77,0.0,831.85
1790020800,,,,,0.75,0.77,0.0,831.85
1790024400,0.77,0.77,0.77,0.77,0.75,0.77,125.0,956.85
1790028000,0.77,0.77,0.77,0.77,0.75,0.77,2.0,958.85
1790031600,0.77,0.77,0.77,0.77,0.75,0.77,12.0,970.85
1790035200,0.75,0.77,0.75,0.77,0.75,0.77,48.0,1018.85
1790038800,0.77,0.77,0.77,0.77,0.74,0.77,18.98,1037.83
1790042400,,,,,0.74,0.77,0.0,1037.83
1790046000,0.77,0.77,0.77,0.77,0.74,0.77,43.55,1081.38
1790049600,0.77,0.84,0.77,0.81,0.78,0.81,1577.01,2658.39
1790053200,0.81,0.81,0.79,0.8,0.78,0.79,132.55,2785.94
1790056800,0.79,0.79,0.79,0.79,0.78,0.79,121.09,2907.03
1790060400,0.78,0.78,0.78,0.78,0.78,0.79,2.0,2907.03
1790064000,0.79,0.79,0.79,0.79,0.79,0.8,23.33,2930.36
1790067600,0.8,0.8,0.8,0.8,0.79,0.8,18.28,2948.64
1790071200,0.8,0.8,0.8,0.8,0.79,0.8,1.0,2949.64
1790074800,0.8,0.8,0.8,0.8,0.79,0.8,151.0,3100.64
1790078400,0.8,0.81,0.8,0.81,0.8,0.81,5861.74,8957.38
1790082000,0.81,0.81,0.81,0.81,0.8,0.81,204.64,9162.02
1790085600,0.81,0.81,0.81,0.81,0.8,0.81,2.42,9164.44
1790089200,0.81,0.81,0.81,0.81,0.8,0.81,53.73,9218.17
1790092800,0.8,0.81,0.8,0.81,0.8,0.81,60.26,9203.91
1790096400,0.81,0.81,0.81,0.81,0.8,0.81,36.58,9240.49
1790100000,0.81,0.81,0.81,0.81,0.8,0.81,6.09,9246.58
1790103600,0.81,0.81,0.81,0.81,0.8,0.81,46.29,9292.87
1790107200,0.81,0.81,0.81,0.81,0.8,0.81,110.1,9402.97
1790110800,0.81,0.81,0.8,0.8,0.8,0.81,189.51,9585.18
1790114400,0.81,0.81,0.81,0.81,0.8,0.81,79.19,9664.37
1790118000,0.81,0.81,0.81,0.81,0.8,0.81,15.83,9680.2
1790121600,0.81,0.81,0.81,0.81,0.8,0.81,9.73,9689.93
1790125200,0.81,0.81,0.81,0.81,0.8,0.81,390.06,10079.99
1790128800,0.81,0.81,0.81,0.81,0.8,0.81,451.27,10531.26
1790132400,0.8,0.81,0.8,0.81,0.8,0.81,1680.59,12052.43
1790136000,0.81,0.81,0.79,0.81,0.8,0.81,1916.52,13963.8
1790139600,0.81,0.81,0.8,0.81,0.8,0.81,4955.89,18911.05
1790143200,0.81,0.88,0.8,0.83,0.82,0.83,88783.78,107693.83
1790146800,0.83,0.83,0.82,0.83,0.82,0.83,1714.76,108190.23
1790150400,0.83,0.83,0.83,0.83,0.82,0.83,106.18,108296.41
1790154000,0.83,0.83,0.83,0.83,0.82,0.83,1990.55,110286.96
1790157600,0.83,0.88,0.83,0.84,0.83,0.84,30667.13,140953.37
1790161200,0.83,0.84,0.82,0.83,0.82,0.83,749.39,141454.58
1790164800,0.83,0.83,0.82,0.83,0.82,0.83,3265.07,144604.49
1790168400,0.83,0.83,0.82,0.83,0.82,0.83,3118.94,147702.43
1790172000,0.83,0.83,0.83,0.83,0.82,0.83,5311.94,152814.07
1790175600,0.83,0.83,0.82,0.83,0.82,0.83,6970.96,159489.21
1790179200,0.83,0.83,0.82,0.83,0.82,0.83,9603.7,167980.23
1790182800,0.83,0.83,0.81,0.82,0.81,0.82,6016.46,169318.69
1790186400,0.82,0.82,0.8,0.8,0.79,0.8,29950.39,176097.54
1790190000,0.8,0.8,0.79,0.8,0.79,0.8,9381.69,184867.37
1790193600,0.8,0.8,0.79,0.79,0.78,0.79,19873.01,203536.91
1790197200,0.79,0.79,0.78,0.79,0.78,0.79,84102.23,287046.88
1790200800,0.79,0.79,0.78,0.79,0.78,0.79,6224.21,291959.03
1790204400,0.79,0.79,0.78,0.79,0.78,0.79,9478.34,301128.83
1790208000,0.79,0.79,0.78,0.79,0.78,0.79,9179.94,309439.89
1790211600,0.79,0.79,0.78,0.79,0.78,0.79,17938.94,314551.43
1790215200,0.79,0.79,0.74,0.75,0.74,0.75,199775.17,398742.19
1790218800,0.75,0.96,0.71,0.85,0.84,0.85,742940.85,887891.1
1790222400,0.85,0.99,0.76,0.99,0.99,1.0,857202.19,1064002.92
