end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789959600,,,,,0.13,0.87,0.0,0.0
1789963200,,,,,0.13,0.87,0.0,0.0
1789966800,,,,,0.15,0.8,0.0,0.0
1789970400,,,,,0.2,0.35,0.0,0.0
1789974000,,,,,0.23,0.28,0.0,0.0
1789977600,,,,,0.24,0.28,0.0,0.0
1789981200,,,,,0.24,0.3,0.0,0.0
1789984800,,,,,0.24,0.28,0.0,0.0
1789988400,,,,,0.24,0.28,0.0,0.0
1789992000,,,,,0.24,0.28,0.0,0.0
1789995600,,,,,0.24,0.28,0.0,0.0
1789999200,,,,,0.24,0.28,0.0,0.0
1790002800,0.23,0.23,0.23,0.23,0.23,0.27,1.07,1.07
1790006400,0.27,0.27,0.27,0.27,0.23,0.27,3.52,4.59
1790010000,,,,,0.23,0.27,0.0,4.59
1790013600,,,,,0.23,0.27,0.0,4.59
1790017200,,,,,0.23,0.26,0.0,4.59
1790020800,0.27,0.27,0.27,0.27,0.23,0.26,34.44,37.96
1790024400,,,,,0.23,0.26,0.0,37.96
1790028000,,,,,0.23,0.26,0.0,37.96
1790031600,0.26,0.26,0.26,0.26,0.23,0.26,7.0,44.96
1790035200,0.27,0.27,0.27,0.27,0.23,0.25,7.0,44.96
1790038800,,,,,0.23,0.26,0.0,44.96
1790042400,,,,,0.23,0.27,0.0,44.96
1790046000,0.23,0.27,0.23,0.27,0.23,0.27,46.22,91.18
1790049600,,,,,0.21,0.23,0.0,91.18
1790053200,0.21,0.21,0.21,0.21,0.21,0.22,88.27,179.45
1790056800,0.22,0.22,0.22,0.22,0.21,0.22,21.55,196.0
1790060400,,,,,0.21,0.22,0.0,196.0
1790064000,,,,,0.21,0.22,0.0,196.0
1790071200,,,,,0.21,0.22,0.0,196.0
1790074800,,,,,0.21,0.22,0.0,196.0
1790078400,0.21,0.21,0.21,0.21,0.19,0.2,191.73,387.73
1790082000,,,,,0.19,0.2,0.0,387.73
1790085600,0.19,0.19,0.19,0.19,0.19,0.2,1.0,388.73
1790089200,,,,,0.19,0.2,0.0,388.73
1790092800,0.2,0.2,0.2,0.2,0.19,0.2,116.69,505.42
1790096400,,,,,0.19,0.2,0.0,505.42
1790100000,,,,,0.19,0.2,0.0,505.42
1790103600,0.2,0.2,0.2,0.2,0.19,0.2,1.18,506.6
1790107200,0.2,0.2,0.2,0.2,0.19,0.2,26.03,532.63
1790110800,,,,,0.19,0.2,0.0,532.63
1790114400,0.2,0.2,0.2,0.2,0.19,0.2,25.37,558.0
1790118000,,,,,0.19,0.2,0.0,558.0
1790121600,0.2,0.2,0.2,0.2,0.19,0.2,45.0,603.0
1790125200,,,,,0.19,0.2,0.0,603.0
1790128800,0.2,0.2,0.19,0.19,0.19,0.2,107.34,710.34
1790132400,0.2,0.21,0.2,0.21,0.2,0.21,269.37,979.71
1790136000,0.21,0.21,0.21,0.21,0.2,0.21,49.0,1028.71
1790139600,0.2,0.2,0.2,0.2,0.19,0.2,328.02,1356.73
1790143200,0.2,0.21,0.18,0.18,0.17,0.18,2528.2,3658.12
1790146800,0.18,0.18,0.17,0.18,0.17,0.18,937.98,4572.53
1790150400,0.18,0.18,0.18,0.18,0.17,0.18,152.56,4725.09
1790154000,0.18,0.18,0.18,0.18,0.17,0.19,630.46,5355.55
1790157600,0.18,0.18,0.18,0.18,0.17,0.18,33.75,5355.55
1790161200,0.18,0.18,0.17,0.17,0.17,0.18,355.85,5433.95
1790164800,0.18,0.18,0.17,0.17,0.17,0.18,6611.62,11951.81
1790168400,0.18,0.18,0.18,0.18,0.17,0.18,461.94,12413.75
1790172000,0.18,0.18,0.18,0.18,0.17,0.18,754.47,13168.22
1790175600,0.18,0.18,0.18,0.18,0.17,0.18,1809.66,14977.88
1790179200,0.18,0.18,0.17,0.18,0.17,0.18,1193.28,16124.74
1790182800,0.18,0.19,0.17,0.19,0.18,0.19,28998.14,44991.81
1790186400,0.19,0.2,0.19,0.2,0.19,0.2,7401.74,52393.55
1790190000,0.2,0.21,0.19,0.21,0.2,0.21,2813.13,53783.4
1790193600,0.21,0.22,0.21,0.22,0.21,0.22,42958.14,96741.54
1790197200,0.22,0.22,0.21,0.22,0.21,0.22,15756.55,112495.85
1790200800,0.22,0.22,0.21,0.22,0.21,0.22,1304.67,113405.06
1790204400,0.22,0.22,0.21,0.21,0.21,0.22,2598.88,115793.3
1790208000,0.22,0.22,0.21,0.22,0.21,0.22,8525.5,123834.03
1790211600,0.22,0.22,0.21,0.22,0.21,0.22,16670.77,139893.79
1790215200,0.22,0.27,0.21,0.27,0.26,0.27,99272.44,235557.0
1790218800,0.27,0.28,0.04,0.17,0.15,0.16,589641.48,652852.28
1790222400,0.16,0.26,0.01,0.01,0.0,0.01,630504.63,983996.9
