end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
1754539200,,,,,,,0.0,0.06,0.0,0.0
1754625600,,,,,,,0.0,0.05,0.0,0.0
1754712000,,,,,,,0.0,0.05,0.0,0.0
1754798400,,,,,,,0.0,0.05,0.0,0.0
1754884800,,,,,,,0.0,0.05,0.0,0.0
1754971200,,,,,,,0.0,0.05,0.0,0.0
1755057600,,,,,,,0.0,0.05,0.0,0.0
1755144000,,,,,,,0.0,0.05,0.0,0.0
1755230400,,,,,,,0.0,0.05,0.0,0.0
1755316800,,,,,,,0.0,0.05,0.0,0.0
1755403200,,,,,,,0.0,0.05,0.0,0.0
1755489600,,,,,,,0.0,0.05,0.0,0.0
1755576000,,,,,,,0.0,0.05,0.0,0.0
1755662400,,,,,,,0.0,0.05,0.0,0.0
1755748800,,,,,,,0.0,0.05,0.0,0.0
1755835200,,,,,,,0.0,0.05,0.0,0.0
1755921600,,,,,,,0.0,0.05,0.0,0.0
1756008000,,,,,,,0.0,0.05,0.0,0.0
1756094400,,,,,,,0.0,0.05,0.0,0.0
1756180800,,,,,,,0.0,0.06,0.0,0.0
1756267200,,,,,,,0.0,0.06,0.0,0.0
1756353600,,,,,,,0.0,0.06,0.0,0.0
1756440000,,,,,,,0.0,0.06,0.0,0.0
1756526400,,,,,,,0.0,0.06,0.0,0.0
1756612800,,,,,,,0.0,0.06,0.0,0.0
1756699200,,,,,,,0.0,0.06,0.0,0.0
1756785600,,,,,,,0.0,0.06,0.0,0.0
1756872000,,,,,,,0.0,0.06,0.0,0.0
1756958400,,,,,,,0.0,0.06,0.0,0.0
1757044800,,,,,,,0.0,0.06,0.0,0.0
1757131200,,,,,,,0.0,0.05,0.0,0.0
1757217600,,,,,,,0.0,0.05,0.0,0.0
1757304000,,,,,,,0.0,0.05,0.0,0.0
1757390400,,,,,,,0.0,0.05,0.0,0.0
1757476800,,,,,,,0.0,0.06,0.0,0.0
1757563200,,,,,,,0.0,0.06,0.0,0.0
1757649600,,,,,,,0.0,0.06,0.0,0.0
1757736000,,,,,,,0.0,0.06,0.0,0.0
1757822400,,,,,,,0.0,0.06,0.0,0.0
1757908800,,,,,,,0.0,0.06,0.0,0.0
1757995200,,,,,,,0.0,0.06,0.0,0.0
1758081600,,,,,,,0.0,0.06,0.0,0.0
1758168000,,,,,,,0.0,0.06,0.0,0.0
1758254400,,,,,,,0.0,0.06,0.0,0.0
1758340800,,,,,,,0.0,0.06,0.0,0.0
1758427200,,,,,,,0.0,0.06,0.0,0.0
1758513600,,,,,,,0.0,0.06,0.0,0.0
1758600000,,,,,,,0.0,0.06,0.0,0.0
1758686400,,,,,,,0.0,0.06,0.0,0.0
1758772800,,,,,,,0.0,0.04,0.0,0.0
1758859200,,,,,,,0.0,0.04,0.0,0.0
1758945600,,,,,,,0.0,0.04,0.0,0.0
1759032000,,,,,,,0.0,0.04,0.0,0.0
1759118400,,,,,,,0.0,0.04,0.0,0.0
1759204800,,,,,,,0.0,0.04,0.0,0.0
1759291200,,,,,,,0.0,0.04,0.0,0.0
1759377600,,,,,,,0.0,0.05,0.0,0.0
1759464000,,,,,,,0.0,0.05,0.0,0.0
1759550400,,,,,,,0.0,0.05,0.0,0.0
1759636800,,,,,,,0.0,0.05,0.0,0.0
1759723200,,,,,,,0.0,0.05,0.0,0.0
1759809600,,,,,,,0.0,0.05,0.0,0.0
1759896000,,,,,,,0.0,0.06,0.0,0.0
1759982400,,,,,,,0.0,0.06,0.0,0.0
1760068800,,,,,,,0.0,0.06,0.0,0.0
1760155200,,,,,,,0.0,0.05,0.0,0.0
1760241600,,,,,,,0.0,0.05,0.0,0.0
