# Source: GET https://external-api.kalshi.com/trade-api/v2/markets/KXBTC-26SEP2017-T90749.99/orderbook?depth=40
# Retrieved: 2026-09-19 (UTC), session window 23:42-00:20Z. Binary book: bids for YES and NO only.
# YES ask = 1 - best NO bid; NO ask = 1 - best YES bid (documented reciprocal rule).
# yes_dollars was empty in the raw response.
side,price_dollars,size_fp
no,0.01,33333.00
no,0.04,12.00
no,0.05,400.00
no,0.10,3333.00
no,0.30,1111.00
no,0.31,1518.00
no,0.50,666.00
no,0.51,501.00
no,0.70,476.00
no,0.80,416.00
no,0.90,370.00
no,0.95,350.00
no,0.97,5000.00
no,0.98,342.00
no,0.99,5999.00
